Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,IW,M01,F02,AIWM01F02,AIWM01F02,04/16/2014,04/17/2014,2,1388,1312,2,25,Construct,.,,,
A,IW,M01,F01,AIWM01F01,AIWM01F01,05/12/2014,06/07/2014,27,808,663,2,10,Construct,Code 02.,"Joining ""F01 (Kicker b)"" and ""F01"" under the name of ""F01"".",Code 02a.,A-P-S-4201-0001
A,IW,M01,C04,AIWM01C04,AIWM01C04,06/17/2014,06/17/2014,1,296,322,1,7,Construct,,,,
A,IW,M01,P1-03,AIWM01P1-03,AIWM01P1-03,06/24/2014,06/24/2014,1,80,81,1,2,Construct,Code 05.,"Lift ""P01-03"" will be renamed as ""P1-03"".",Code 05a.,A-P-S-4202-0001
A,IW,M01,C03,AIWM01C03,AIWM01C03,06/26/2014,06/26/2014,1,288,319,1,8,Construct,,,,
A,IW,M01,P1-02,AIWM01P1-02,AIWM01P1-02,07/04/2014,07/04/2014,1,71,81,1,6,Construct,Code 05.,"Lift ""P01-02"" will be renamed as ""P1-02"".",Code 05a.,A-P-S-4202-0001
A,IW,M01,C02,AIWM01C02,AIWM01C02,07/10/2014,07/10/2014,1,160,178,1,0,Construct,,,,
A,IW,M01,P1-01,AIWM01P1-01,AIWM01P1-01,07/10/2014,03/07/2015,241,80,51,3,-229,Construct,Code 02.,"Joining ""P01 c""  and ""P01"" under the name of ""P01"".",Code 02a.,A-P-S-4202-0001
A,IW,M01,C01 ,AIWM01C01,AIWM01C01,07/21/2014,12/15/2014,148,504,382,3,-126,Construct,Code 02.,"Joining ""C01b"", ""C01(I) and ""C01(II)"" under the name of ""C01"".",Code 02a.,A-P-S-4202-0001
A,IW,M01,W06 ,AIWM01W06,AIWM01W06,08/11/2014,08/11/2014,1,154,170,1,158,Construct,Code 05.,"Lift ""W06 (I)"" will be renamed as ""W06"".",Code 05a.,A-P-S-4202-0001
A,IW,M01,W05,AIWM01W05,AIWM01W05,01/16/2015,01/16/2015,1,266,251,1,11,Construct,,,,
A,IW,M01,W04,AIWM01W04,AIWM01W04,01/27/2015,01/28/2015,2,470,487,2,9,Construct,,,,
A,IW,M01,W03,AIWM01W03,AIWM01W03,02/06/2015,02/06/2015,1,452,453,1,14,Construct,,,,
A,IW,M01,W02,AIWM01W02,AIWM01W02,02/20/2015,02/20/2015,1,426,442,1,10,Construct,,,,
A,IW,M01,W01,AIWM01W01,AIWM01W01,03/02/2015,03/02/2015,1,253,260,1,-292,Construct,,,,
A,IW,M02,F02,AIWM02F02,AIWM02F02,05/14/2014,05/15/2014,2,1500,1459,2,5,Construct,,,,
A,IW,M02,F01,AIWM02F01,AIWM02F01,05/20/2014,06/19/2014,31,878,730,5,4,Construct,Code 02.,"Joining ""F01 (Kicker P2)"" , ""F01 (Kicker P1)"" and ""F01"" under the name of ""F01"".",Code 02a.,A-P-S-4206-0001
A,IW,M02,C04,AIWM02C04,AIWM02C04,06/23/2014,06/23/2014,1,256,267,1,9,Construct,,,,
A,IW,M02,C03,AIWM02C03,AIWM02C03,07/02/2014,07/02/2014,1,176,266,1,5,Construct,,,,
A,IW,M02,P2-03,AIWM02P2-03,AIWM02P2-03,07/07/2014,07/07/2014,1,70,83,1,5,Construct,Code 05.,"Lift ""P02-03"" will be renamed as ""P2-03"".",Code 05a.,A-P-S-4206-0001
A,IW,M02,P2-02,AIWM02P2-02,AIWM02P2-02,07/12/2014,07/12/2014,1,80,83,1,2,Construct,Code 05.,"Lift ""P02-02"" will be renamed as ""P2-02"".",Code 05a.,A-P-S-4206-0001
A,IW,M02,P1-03,AIWM02P1-03,AIWM02P1-03,07/14/2014,07/14/2014,1,166,172,1,8,Construct,Code 05.,"Lift ""P01-03"" will be renamed as ""P1-03"".",Code 05a.,A-P-S-4206-0001
A,IW,M02,P2-01,AIWM02P2-01,AIWM02P2-01,07/22/2014,08/04/2014,14,113,126,3,-10,Construct,Code 02.,"Joining ""P02-01""  and ""P02-C01"" under the name of ""P2-01"".",Code 02a.,A-P-S-4206-0001
A,IW,M02,P1-02,AIWM02P1-02,AIWM02P1-02,07/25/2014,08/14/2014,21,191,221,2,-8,Construct,Code 02.,"Joining ""P01-02""  and ""P01-C02"" under the name of ""P1-02"".",Code 02a.,A-P-S-4206-0001
A,IW,M02,C02 ,AIWM02C02 ,AIWM02C02 ,08/06/2014,10/09/2014,65,175,270,2,5,Construct,Code 02.,"Joining ""C02 b""  and ""C02"" under the name of ""C02"".",Code 02a.,A-P-S-4206-0001
A,IW,M02,C01 ,AIWM02C01,AIWM02C01,10/14/2014,10/24/2014,11,711,695,3,18,Construct,Code 02.,"Joining ""C01 (II)""  and ""C01 (I)"" under the name of ""C01"".",Code 02a.,A-P-S-4206-0001
A,IW,M02,W06,AIWM02W06,AIWM02W06,11/11/2014,11/11/2014,1,268,350,1,29,Construct,Code 05.,"Lift ""C01 (III)/W06"" will be renamed as ""W06"".",Code 05a.,A-P-S-4206-0001
A,IW,M02,W05,AIWM02W05,AIWM02W05,12/10/2014,12/10/2014,1,179,184,1,12,Construct,,,,
A,IW,M02,W04,AIWM02W04,AIWM02W04,12/22/2014,12/22/2014,1,269,275,1,42,Construct,,,,
A,IW,M02,W03,AIWM02W03,AIWM02W03,02/02/2015,02/02/2015,1,243,238,1,9,Construct,,,,
A,IW,M02,W02,AIWM02W02,AIWM02W02,02/11/2015,02/11/2015,1,223,213,1,14,Construct,,,,
A,IW,M02,W01,AIWM02W01,AIWM02W01,02/25/2015,02/25/2015,1,121,116,1,-275,Construct,,,,
A,IW,M03,F02,AIWM03F02,AIWM03F02,05/26/2014,05/28/2014,3,1760,1726,3,5,Construct,,,,
