Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,CU3,2E,16,ACU32E16,ACU32E16,8/4/2012,8/4/2012,1,96,65,1,14,Construct,.,,,
A,CU3,2E,15,ACU32E15,ACU32E15,8/18/2012,8/18/2012,1,87,68,1,60,Construct,,,,
A,CU3,2E,14,ACU32E14,ACU32E14,10/17/2012,10/18/2012,2,429,427,2,89,Construct,,,,
A,CU3,2E,13,ACU32E13,ACU32E13,1/15/2013,1/28/2013,14,388,363,3,1,Construct,Code 02.,"Joining lift ""13"" and ""13 a"", under the name of ""13"".",Code 02a.,A-P-S-5833-0001
A,CU3,2E,12c,ACU32E12c,ACU32E12c,1/29/2013,1/29/2013,1,0,0,0,7,Construct,Code 01.,"A new row was created under the name of 12 c"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,A-P-S-5833-0001
A,CU3,2E,12b,ACU32E12b,ACU32E12b,2/5/2013,2/5/2013,1,64,40,1,244,Construct,,,,
A,CU3,2E,12a,ACU32E12a,ACU32E12a,10/7/2013,10/8/2013,2,429,370,2,14,Construct,Code 05.,"Lift ""C05&C04 a (I)"" will be renamed as ""C05 a"".",Code 05a.,A-P-S-5833-0001
A,CU3,2E,11,ACU32E11,ACU32E11,10/22/2013,10/23/2013,2,303,271,2,-1,Construct,Code 03.,"Lift ""10/11"" will be divided in ""10"" and ""11"". All quantities will be assigned to ""11"".",Code 03a.,A-P-S-5834-0002
A,CU3,2E,10,ACU32E10,ACU32E10,10/22/2013,10/23/2013,2,0,0,0,7,Construct,Code 03.,"Lift ""10/11"" will be divided in ""10"" and ""11"". All quantities will be assigned to ""11"".",Code 03a.,A-P-S-5834-0002
A,CU3,2E,9,ACU32E09,ACU32E09,10/30/2013,10/31/2013,2,292,276,2,8,Construct,,,,
A,CU3,2E,08b,ACU32E08b,ACU32E08b,11/8/2013,11/9/2013,2,157,138,2,6,Construct,,,,
A,CU3,2E,08a,ACU32E08a,ACU32E08a,11/15/2013,11/15/2013,1,149,76,1,6,Construct,,,,
A,CU3,2E,7,ACU32E07,ACU32E07,11/21/2013,11/27/2013,7,242,174,2,9,Construct,,,,
A,CU3,2E,6,ACU32E06,ACU32E06,12/6/2013,12/6/2013,1,200,174,1,10,Construct,,,,
A,CU3,2E,5,ACU32E05,ACU32E05,12/16/2013,12/16/2013,1,196,174,1,26,Construct,,,,
A,CU3,2E,4,ACU32E04,ACU32E04,1/11/2014,1/11/2014,1,126,142,1,126,Construct,,,,
A,CU3,2E,3,ACU32E03,ACU32E03,5/17/2014,5/17/2014,1,104,110,1,11,Construct,,,,
A,CU3,2E,02a,ACU32E02a,ACU32E02a,5/28/2014,5/29/2014,2,88,110,2,-1,Construct,Code 03.,"Lift ""02"" will be divided into ""02a"" and ""02b"". All quantities will be assigned to ""02a"".",Code 03a.,A-P-S-5834-0002
A,CU3,2E,02b,ACU32E02b,ACU32E02b,5/28/2014,5/29/2014,2,0,0,0,285,Construct,Code 03.,"Lift ""02"" will be divided into ""02a"" and ""02b"". All quantities will be assigned to ""02a"".",Code 03a.,A-P-S-5834-0002
A,CU3,2E,1,ACU32E01,ACU32E01,3/10/2015,3/10/2015,1,58,57,1,42,Construct,,,,
A,CU3,2E,IW,ACU32EIW,ACU32EIW,4/21/2015,8/15/2015,117,204.75,199,16,-1103,Construct,Code 08.,"Several lifts corresponding to internal walls and stairs were joined as ""IW"" of monolith 2E.",Code 08a.,A-P-S-5834-0002
A,CU3,1E,4,ACU31E04,ACU31E04,8/7/2012,8/8/2012,2,468,463,2,27,Construct,,,,
A,CU3,1E,03a-N,ACU31E03a-N,ACU31E03a-N,9/4/2012,9/4/2012,1,78,72,1,3,Construct,,,,
A,CU3,1E,03b-S,ACU31E03b-S,ACU31E03b-S,9/7/2012,9/7/2012,1,78,72,1,4,Construct,,,,
A,CU3,1E,03a-S,ACU31E03a-S,ACU31E03a-S,9/11/2012,9/11/2012,1,72,72,1,0,Construct,,,,
A,CU3,1E,03b-N,ACU31E03b-N,ACU31E03b-N,9/11/2012,9/12/2012,2,72,72,2,6,Construct,,,,
A,CU3,1E,03c-N,ACU31E03c-N,ACU31E03c-N,9/18/2012,9/18/2012,1,112,72,1,0,Construct,,,,
A,CU3,1E,03c-S,ACU31E03c-S,ACU31E03c-S,9/18/2012,9/18/2012,1,80,72,1,204,Construct,,,,
