Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,LE,M01,F02,ALEM01F02,ALEM01F02,07/23/2012,07/23/2012,1,624,595,1,3,Construct,.,,,
A,LE,M01,F01,ALEM01F01,ALEM01F01,07/26/2012,07/27/2012,2,390,391,2,26,Construct,,,,
A,LE,M01,C10,ALEM01C10,ALEM01C10,08/22/2012,08/23/2012,2,648,654,2,8,Construct,,,,
A,LE,M01,C09,ALEM01C09,ALEM01C09,08/31/2012,01/10/2013,133,821,742,4,-120,Construct,Code 02.,"Joining lifts ""C09"", ""C09b"" and ""C09a"" under the name of ""C09"".",Code 02a.,A-P-S-3701-0001
A,LE,M01,C08,ALEM01C08,ALEM01C08,09/12/2012,09/13/2012,2,456,432,2,11,Construct,,,,
A,LE,M01,C07,ALEM01C07,ALEM01C07,09/24/2012,09/24/2012,1,148,183,1,163,Construct,,,,
A,LE,M01,C06b,ALEM01C06b,ALEM01C06b,03/06/2013,03/06/2013,1,256,232,1,7,Construct,,,,
A,LE,M01,C06a,ALEM01C06a,ALEM01C06a,03/13/2013,03/13/2013,1,48,32,1,3,Construct,,,,
A,LE,M01,C05b,ALEM01C05b,ALEM01C05b,03/16/2013,03/16/2013,1,536,480,1,5,Construct,,,,
A,LE,M01,C04b,ALEM01C04b,ALEM01C04b,03/21/2013,03/22/2013,2,516,559,2,10,Construct,,,,
A,LE,M01,C03b,ALEM01C03b,ALEM01C03b,04/01/2013,04/02/2013,2,224,209,2,0,Construct,,,,
A,LE,M01,C05a,ALEM01C05a,ALEM01C05a,04/02/2013,04/02/2013,1,180,80,1,21,Construct,,,,
A,LE,M01,C04a,ALEM01C04a,ALEM01C04a,04/23/2013,04/23/2013,1,148,105,1,10,Construct,,,,
A,LE,M01,C03a,ALEM01C03a,ALEM01C03a,05/03/2013,05/03/2013,1,72,33,1,85,Construct,,,,
A,LE,M01,C02,ALEM01C02,ALEM01C02,07/27/2013,07/28/2013,2,392,320,2,4,Construct,,,,
A,LE,M01,C01,ALEM01C01,ALEM01C01,08/01/2013,08/02/2013,2,1079,1059,2,27,Construct,,,,
A,LE,M01,W06,ALEM01W06,ALEM01W06,08/29/2013,08/29/2013,1,64,46,1,12,Construct,,,,
A,LE,M01,W05,ALEM01W05,ALEM01W05,09/10/2013,09/10/2013,1,264,245,1,8,Construct,,,,
A,LE,M01,W04,ALEM01W04,ALEM01W04,09/18/2013,09/19/2013,2,280,277,2,5,Construct,,,,
A,LE,M01,W03b,ALEM01W03b,ALEM01W03b,09/24/2013,09/24/2013,1,192,173,1,8,Construct,,,,
A,LE,M01,W03a,ALEM01W03a,ALEM01W03a,10/02/2013,10/02/2013,1,164,144,1,7,Construct,,,,
A,LE,M01,W02,ALEM01W02,ALEM01W02,10/09/2013,10/10/2013,2,136,111,2,298,Construct,,,,
A,LE,M01,W01,ALEM01W01,ALEM01W01,08/04/2014,08/04/2014,1,56,57,1,-767,Construct,,,,
A,LE,M02,F02b,ALEM02F02b,ALEM02F02b,06/28/2012,06/28/2012,1,476,420,1,1,Construct,,,,
A,LE,M02,F02a,ALEM02F02a,ALEM02F02a,06/29/2012,07/06/2012,8,511,333,3,6,Construct,,,,
A,LE,M02,F01b,ALEM02F01b,ALEM02F01b,07/12/2012,04/02/2013,265,484,467,2,-260,Construct,Code 02.,"Joining lifts ""F01 b"" and ""F01 b+c"" under the name of ""F01"".",Code 02a.,A-P-S-3720-0002
A,LE,M02,F01a,ALEM02F01a,ALEM02F01a,07/16/2012,04/02/2013,261,352,363,2,24,Construct,,,,
A,LE,M02,C06b,ALEM02C06b,ALEM02C06b,04/26/2013,04/27/2013,2,432,392,2,-24,Construct,,,,
A,LE,M02,C06c,ALEM02C06c,ALEM02C06c,04/03/2013,04/03/2013,1,0,0,0,34,Construct,Code 01.,"A new lift was created under the name of ""C06c"", with 0 quantities and the dates of the preivous lift plus one day.",Code 01a.,A-P-S-3721-0002
A,LE,M02,C05b,ALEM02C05b,ALEM02C05b,05/07/2013,05/07/2013,1,364,354,1,-33,Construct,,,,
A,LE,M02,C05c,ALEM02C05c,ALEM02C05c,04/04/2013,04/04/2013,1,0,0,0,37,Construct,Code 01.,"A new lift was created under the name of ""C05c"", with 0 quantities and the dates of the preivous lift plus one day.",Code 01a.,A-P-S-3721-0002
A,LE,M02,C04,ALEM02C04,ALEM02C04,05/11/2013,05/11/2013,1,224,253,1,2,Construct,Code 05.,"Lift ""C04 b"" will be renamed as ""C04""",Code 05a.,A-P-S-3721-0002
A,LE,M02,C06a,ALEM02C06a,ALEM02C06a,05/13/2013,05/13/2013,1,64,47,1,5,Construct,,,,
A,LE,M02,C03,ALEM02C03,ALEM02C03,05/18/2013,06/07/2013,21,392,420,4,-13,Construct,Code 02.,"Joining lifts ""C03 b"" and ""C03 a"" under the name of ""C03"".",Code 02a.,A-P-S-3721-0002
A,LE,M02,C05a,ALEM02C05a,ALEM02C05a,05/25/2013,05/25/2013,1,127,160,1,38,Construct,Code 05.,"Lift ""C05 & C04a"" will be renamed as ""C05 a"".",Code 05a.,A-P-S-3721-0002
A,LE,M02,C02,ALEM02C02,ALEM02C02,07/02/2013,07/03/2013,2,620,675,2,7,Construct,,,,
A,LE,M02,C01,ALEM02C01,ALEM02C01,07/10/2013,07/11/2013,2,726,718,2,14,Construct,,,,
A,LE,M02,W07,ALEM02W07,ALEM02W07,07/25/2013,07/25/2013,1,173,167,1,13,Construct,,,,
A,LE,M02,W06,ALEM02W06,ALEM02W06,08/07/2013,08/07/2013,1,320,335,1,9,Construct,,,,
A,LE,M02,W05,ALEM02W05,ALEM02W05,08/16/2013,08/17/2013,2,317,301,2,9,Construct,,,,
A,LE,M02,W04,ALEM02W04,ALEM02W04,08/26/2013,08/26/2013,1,266,252,1,8,Construct,,,,
A,LE,M02,W03b,ALEM02W03b,ALEM02W03b,09/03/2013,09/04/2013,2,167,162,2,6,Construct,,,,
A,LE,M02,W03a,ALEM02W03a,ALEM02W03a,09/10/2013,09/11/2013,2,158,146,2,7,Construct,,,,
A,LE,M02,W02,ALEM02W02,ALEM02W02,09/18/2013,09/18/2013,1,135,125,1,336,Construct,,,,
A,LE,M02,W01,ALEM02W01,ALEM02W01,08/20/2014,08/20/2014,1,72,67,1,-880,Construct,,,,
A,LE,M03,F02,ALEM03F02,ALEM03F02,03/23/2012,03/24/2012,2,1045.5,1000,2,10,Construct,,,,
A,LE,M03,F01,ALEM03F01,ALEM03F01,04/03/2012,06/26/2012,85,855,817,5,-46,Construct,Code 02.,"Joining lifts ""F01"" and ""F01 a"" under the name of ""F01"".",Code 02a.,A-P-S-3740-0001
A,LE,M03,C04c,ALEM03C04c,ALEM03C04c,05/11/2012,05/11/2012,1,96,96,1,24,Construct,,,,
A,LE,M03,C03c,ALEM03C03c,ALEM03C03c,06/04/2012,06/04/2012,1,97,97,1,19,Construct,,,,
A,LE,M03,C04b,ALEM03C04b,ALEM03C04b,06/23/2012,06/23/2012,1,193,193,1,4,Construct,,,,
A,LE,M03,C03b,ALEM03C03b,ALEM03C03b,06/27/2012,06/28/2012,2,198,198,2,1,Construct,,,,
A,LE,M03,C04a,ALEM03C04a,ALEM03C04a,06/29/2012,06/29/2012,1,111,75,1,5,Construct,,,,
A,LE,M03,C03a,ALEM03C03a,ALEM03C03a,07/04/2012,07/04/2012,1,104,96,1,21,Construct,,,,
A,LE,M03,C02,ALEM03C02,ALEM03C02,07/25/2012,07/26/2012,2,303,283,2,16,Construct,,,,
A,LE,M03,C01,ALEM03C01,ALEM03C01,08/11/2012,08/12/2012,2,1107,956,2,375,Construct,,,,
A,LE,M03,W07,ALEM03W07,ALEM03W07,08/22/2013,08/23/2013,2,409,399,2,7,Construct,,,,
A,LE,M03,W06,ALEM03W06,ALEM03W06,08/30/2013,08/31/2013,2,357,350,2,5,Construct,,,,
A,LE,M03,W05,ALEM03W05,ALEM03W05,09/05/2013,09/05/2013,1,296,302,1,8,Construct,,,,
A,LE,M03,W04,ALEM03W04,ALEM03W04,09/13/2013,09/13/2013,1,288,253,1,7,Construct,,,,
A,LE,M03,W03b,ALEM03W03b,ALEM03W03b,09/20/2013,09/21/2013,2,189,162,2,10,Construct,,,,
A,LE,M03,W03a,ALEM03W03a,ALEM03W03a,10/01/2013,10/01/2013,1,153,144,1,9,Construct,,,,
A,LE,M03,W02,ALEM03W02,ALEM03W02,10/10/2013,10/10/2013,1,135,120,1,328,Construct,,,,
A,LE,M03,W01,ALEM03W01,ALEM03W01,09/03/2014,09/03/2014,1,64,78,1,-852,Construct,,,,
A,LE,M04,F02,ALEM04F02,ALEM04F02,05/04/2012,05/05/2012,2,1009,999,2,6,Construct,,,,
A,LE,M04,F01,ALEM04F01,ALEM04F01,05/11/2012,06/29/2012,50,855,855,5,-23,Construct,Code 02.,"Joining lifts ""F01"", ""F01 a"", ""F01 c"" and ""F01 b"" under the name of ""F01"".",Code 02a.,A-P-S-3760-0001
A,LE,M04,C04a,ALEM04C04a,ALEM04C04a,06/06/2012,06/06/2012,1,104,104,1,9,Construct,,,,
A,LE,M04,C03a,ALEM04C03a,ALEM04C03a,06/15/2012,06/15/2012,1,118,118,1,4,Construct,,,,
A,LE,M04,C04c,ALEM04C04c,ALEM04C04c,06/19/2012,06/19/2012,1,80,80,1,3,Construct,,,,
A,LE,M04,C03c,ALEM04C03c,ALEM04C03c,06/22/2012,06/22/2012,1,88,88,1,19,Construct,,,,
A,LE,M04,C04b,ALEM04C04b,ALEM04C04b,07/11/2012,07/11/2012,1,204,180,1,5,Construct,,,,
A,LE,M04,C03b,ALEM04C03b,ALEM04C03b,07/16/2012,07/16/2012,1,198,185,1,19,Construct,,,,
A,LE,M04,C02,ALEM04C02,ALEM04C02,08/04/2012,08/04/2012,1,292,283,1,13,Construct,,,,
A,LE,M04,C01,ALEM04C01,ALEM04C01,08/17/2012,08/17/2012,1,967,956,1,14,Construct,,,,
A,LE,M04,W07,ALEM04W07,ALEM04W07,08/31/2012,08/31/2012,1,388,399,1,11,Construct,,,,
A,LE,M04,W06,ALEM04W06,ALEM04W06,09/11/2012,09/11/2012,1,362,350,1,11,Construct,,,,
A,LE,M04,W05,ALEM04W05,ALEM04W05,09/22/2012,09/22/2012,1,320,301,1,12,Construct,,,,
A,LE,M04,W04,ALEM04W04,ALEM04W04,10/04/2012,10/04/2012,1,272,253,1,12,Construct,,,,
A,LE,M04,W03b,ALEM04W03b,ALEM04W03b,10/16/2012,10/16/2012,1,160,163,1,22,Construct,,,,
A,LE,M04,W03a,ALEM04W03a,ALEM04W03a,11/07/2012,11/07/2012,1,160,144,1,17,Construct,,,,
A,LE,M04,W02,ALEM04W02,ALEM04W02,11/24/2012,11/27/2012,4,152,121,2,651,Construct,,,,
A,LE,M04,W01,ALEM04W01,ALEM04W01,09/09/2014,09/10/2014,2,64,68,2,-828,Construct,,,,
A,LE,M05,F02,ALEM05F02,ALEM05F02,06/04/2012,06/04/2012,1,1012,999,1,4,Construct,,,,
A,LE,M05,F01,ALEM05F01,ALEM05F01,06/08/2012,07/17/2012,40,859,817,5,-14,Construct,Code 02.,"Joining lifts ""F01"", ""F01 c"" and ""F01 b"" under the name of ""F01"".",Code 02a.,A-P-S-3780-0001
A,LE,M05,C04a,ALEM05C04a,ALEM05C04a,07/03/2012,07/04/2012,2,120,120,2,-1,Construct,,,,
A,LE,M05,C04c,ALEM05C04c,ALEM05C04c,07/03/2012,07/03/2012,1,104,104,1,3,Construct,,,,
A,LE,M05,C03c,ALEM05C03c,ALEM05C03c,07/06/2012,07/06/2012,1,70,70,1,3,Construct,,,,
A,LE,M05,C03a,ALEM05C03a,ALEM05C03a,07/09/2012,07/10/2012,2,136,136,2,14,Construct,,,,
A,LE,M05,C04b,ALEM05C04b,ALEM05C04b,07/24/2012,07/25/2012,2,183,140,2,6,Construct,,,,
A,LE,M05,C03b,ALEM05C03b,ALEM05C03b,07/31/2012,07/31/2012,1,200,185,1,13,Construct,,,,
A,LE,M05,C02,ALEM05C02,ALEM05C02,08/13/2012,08/14/2012,2,302,283,2,8,Construct,,,,
A,LE,M05,C01,ALEM05C01,ALEM05C01,08/22/2012,08/23/2012,2,942,956,2,32,Construct,,,,
A,LE,M05,W07,ALEM05W07,ALEM05W07,09/24/2012,09/25/2012,2,368,399,2,9,Construct,,,,
A,LE,M05,W06,ALEM05W06,ALEM05W06,10/04/2012,10/05/2012,2,352,350,2,11,Construct,,,,
A,LE,M05,W05,ALEM05W05,ALEM05W05,10/16/2012,10/17/2012,2,304,301,2,21,Construct,,,,
A,LE,M05,W04,ALEM05W04,ALEM05W04,11/07/2012,11/07/2012,1,256,253,1,26,Construct,,,,
A,LE,M05,W03b,ALEM05W03b,ALEM05W03b,12/03/2012,12/03/2012,1,144,162,1,8,Construct,,,,
A,LE,M05,W03a,ALEM05W03a,ALEM05W03a,12/11/2012,12/11/2012,1,144,144,1,16,Construct,,,,
