Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,FS,L01,E,AFSL01E,AFSL01E,02/13/2012,02/13/2012,0,104,103,1,15,Construct,,,,
A,FS,L01,B,AFSL01B,AFSL01B,02/28/2012,02/28/2012,0,112,103,1,4,Construct,,,,
A,FS,L01,A,AFSL01A,AFSL01A,03/03/2012,03/03/2012,0,104,103,1,2,Construct,,,,
A,FS,L01,F,AFSL01F,AFSL01F,03/05/2012,03/05/2012,0,104,103,1,172,Construct,,,,
A,FS,L01,C,AFSL01C,AFSL01C,08/24/2012,08/24/2012,0,112,103,1,6,Construct,,,,
A,FS,L01,D,AFSL01D,AFSL01D,08/30/2012,10/31/2012,62,112,103,2,-58,Construct,,,,
A,FS,L01,G,AFSL01G,AFSL01G,09/03/2012,09/03/2012,0,96,103,1,8,Construct,,,,
A,FS,L01,H,AFSL01H,AFSL01H,09/11/2012,09/11/2012,0,104,103,1,-217,Construct,,,,
A,FS,L02,A,AFSL02A,AFSL02A,02/07/2012,02/07/2012,0,99,97,1,3,Construct,,,,
A,FS,L02,F,AFSL02F,AFSL02F,02/10/2012,02/10/2012,0,88,97,1,12,Construct,,,,
A,FS,L02,B,AFSL02B,AFSL02B,02/22/2012,02/22/2012,0,96,97,1,0,Construct,,,,
A,FS,L02,E,AFSL02E,AFSL02E,02/22/2012,02/22/2012,0,105,97,1,185,Construct,,,,
A,FS,L02,C,AFSL02C,AFSL02C,08/25/2012,08/25/2012,0,96,97,1,4,Construct,,,,
A,FS,L02,D,AFSL02D,AFSL02D,08/29/2012,08/29/2012,0,96,97,1,48,Construct,,,,
A,FS,L02,G,AFSL02G,AFSL02G,10/16/2012,10/16/2012,0,96,97,1,11,Construct,,,,
A,FS,L02,H,AFSL02H,AFSL02H,10/27/2012,10/27/2012,0,96,97,1,-263,Construct,,,,
A,FS,L03,A,AFSL03A,AFSL03A,02/07/2012,02/07/2012,0,81,97,1,5,Construct,,,,
A,FS,L03,F,AFSL03F,AFSL03F,02/12/2012,02/12/2012,0,96,97,1,12,Construct,,,,
A,FS,L03,B,AFSL03B,AFSL03B,02/24/2012,02/24/2012,0,96,97,1,0,Construct,,,,
A,FS,L03,E,AFSL03E,AFSL03E,02/24/2012,02/24/2012,0,96,97,1,234,Construct,,,,
A,FS,L03,D,AFSL03D,AFSL03D,10/15/2012,10/16/2012,1,128,97,2,4,Construct,,,,
A,FS,L03,C,AFSL03C,AFSL03C,10/20/2012,10/20/2012,0,104,97,1,12,Construct,,,,
A,FS,L03,G,AFSL03G,AFSL03G,11/01/2012,11/01/2012,0,96,97,1,6,Construct,,,,
A,FS,L03,H,AFSL03H,AFSL03H,11/07/2012,11/07/2012,0,104,97,1,-83,Construct,,,,
A,FS,L04,A,AFSL04A,AFSL04A,08/16/2012,08/16/2012,0,127,119,1,5,Construct,,,,
A,FS,L04,E,AFSL04E,AFSL04E,08/21/2012,08/21/2012,0,96,76,1,2,Construct,,,,
A,FS,L04,B,AFSL04B,AFSL04B,08/23/2012,08/23/2012,0,112,119,1,15,Construct,,,,
A,FS,L04,F,AFSL04F,AFSL04F,09/07/2012,09/08/2012,1,80,76,1,81,Construct,,,,
A,FS,L04,D,AFSL04D,AFSL04D,11/28/2012,11/29/2012,1,104,119,1,4,Construct,,,,
A,FS,L04,C,AFSL04C,AFSL04C,12/03/2012,12/03/2012,0,128,119,1,242,Construct,,,,
A,FS,L04,G,AFSL04G,AFSL04G,08/02/2013,08/02/2013,0,136,133,1,-349,Construct,Code 03.,"Lift ""L04-G+H"" will be separated into ""L04-G"" and ""L04-H"".  All quantities will be assigned to ""L04-G"".",Code 03a.,A-P-S-7875-0001
A,FS,L05,A,AFSL05A,AFSL05A,08/18/2012,08/16/2012,-2,96,97,1,9,Construct,,,,
A,FS,L05,E,AFSL05E,AFSL05E,08/25/2012,08/21/2012,-4,96,97,1,312,Construct,,,,
A,FS,L05,B,AFSL05B,AFSL05B,06/29/2013,08/23/2012,-310,111,119,1,310,Construct,Code 03.,"Lift ""L05-B+F"" will be separated in ""L05-B"" and ""L05-F"". All quantities will be assigned to ""L05-B"".",Code 03a.,A-P-S-7876-0001
A,FS,L05,F,AFSL05F,AFSL05F,06/29/2013,08/23/2012,-310,0,0,0,349,Construct,Code 03.,"Lift ""L05-B+F"" will be separated in ""L05-B"" and ""L05-F"". All quantities will be assigned to ""L05-B"".",Code 03a.,A-P-S-7876-0001
A,FS,L05,H,AFSL05H,AFSL05H,08/07/2013,09/08/2012,-333,24,59,1,328,Construct,,,,
A,FS,L04,H,AFSL04H,AFSL04H,08/02/2013,08/02/2013,0,0,0,0,-339,Construct,Code 05.,"Lift ""G+H"" will be renamed as ""H"".",Code 05a.,A-P-S-7875-0001
A,FS,L06,A,AFSL06A,AFSL06A,08/28/2012,07/16/2013,322,116,137,2,20,Construct,,,,
A,FS,L06,D,AFSL06D,AFSL06D,08/05/2013,08/05/2013,0,100,106,1,-54,Construct,,,,
A,FS,L07,B,AFSL07B,AFSL07B,06/12/2013,06/12/2013,0,152,142,1,0,Construct,Code 03.,"Lift ""L07- B+F"" will be divided in ""L07-B"" and ""L07-F"". All quantities will be assigned to ""L07-B"".",Code 03a.,A-P-S-7878-0001
A,FS,L07,F,AFSL07F,AFSL07F,06/12/2013,06/12/2013,0,0,0,0,22,Construct,Code 03.,"Lift ""L07- B+F"" will be divided in ""L07-B"" and ""L07-F"". All quantities will be assigned to ""L07-B"".",Code 03a.,A-P-S-7878-0001
A,FS,L07,E,AFSL07E,AFSL07E,07/04/2013,07/04/2013,0,96,96,1,11,Construct,,,,
A,FS,L07,A,AFSL07A,AFSL07A,07/15/2013,07/15/2013,0,72,79,1,11,Construct,,,,
A,FS,L07,C,AFSL07C,AFSL07C,07/26/2013,07/26/2013,0,48,51,1,3,Construct,,,,
A,FS,L07,G,AFSL07G,AFSL07G,07/29/2013,07/29/2013,0,88,90,1,10,Construct,,,,
A,FS,L07,H,AFSL07H,AFSL07H,08/08/2013,08/08/2013,0,96,96,1,1,Construct,,,,
A,FS,L07,D,AFSL07D,AFSL07D,08/09/2013,08/09/2013,0,88,79,1,-60,Construct,,,,
A,FS,L08,B,AFSL08B,AFSL08B,06/10/2013,06/10/2013,0,88,86,1,30,Construct,,,,
A,FS,L08,A,AFSL08A,AFSL08A,07/10/2013,07/10/2013,0,56,60,1,14,Construct,,,,
A,FS,L08,C,AFSL08C,AFSL08C,07/24/2013,07/24/2013,0,93,86,1,9,Construct,,,,
A,FS,L08,D,AFSL08D,AFSL08D,08/02/2013,08/12/2013,10,88,111,2,-473,Construct,,,,
A,FS,L09,A,AFSL09A,AFSL09A,04/26/2012,08/10/2013,471,231,239,3,-424,Construct,,,,
A,FS,L09,F,AFSL09F,AFSL09F,06/12/2012,06/12/2012,0,92,97,1,301,Construct,,,,
A,FS,L09,G,AFSL09G,AFSL09G,04/09/2013,04/09/2013,0,104,97,1,4,Construct,,,,
A,FS,L09,D,AFSL09D,AFSL09D,04/13/2013,06/21/2013,69,128,122,2,-364,Construct,,,,
A,FS,L09,E,AFSL09E,AFSL09E,06/22/2012,06/22/2012,0,0,0,0,305,Construct,Code 01.,"A new row was created under the name of ""L09-E"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,A-P-S-7880-0001
A,FS,L09,H,AFSL09H,AFSL09H,04/23/2013,04/24/2013,1,80,97,2,24,Construct,,,,
A,FS,L09,B,AFSL09B,AFSL09B,05/18/2013,05/18/2013,0,128,129,1,5,Construct,,,,
A,FS,L09,C,AFSL09C,AFSL09C,05/23/2013,05/24/2013,1,120,129,2,-391,Construct,,,,
A,FS,L10,E,AFSL10E,AFSL10E,04/28/2012,04/28/2012,0,108,97,1,7,Construct,,,,
A,FS,L10,A,AFSL10A,AFSL10A,05/05/2012,05/05/2012,0,95,97,1,40,Construct,,,,
A,FS,L10,F,AFSL10F,AFSL10F,06/14/2012,06/14/2012,0,120,97,1,1,Construct,,,,
A,FS,L10,G,AFSL10G,AFSL10G,06/15/2012,06/15/2012,0,0,0,0,1,Construct,Code 01.,"A new row was created under the name of ""G"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,A-P-S-7881-0001
A,FS,L10,B,AFSL10B,AFSL10B,06/16/2012,06/16/2012,0,114,97,1,93,Construct,,,,
A,FS,L10,H,AFSL10H,AFSL10H,09/17/2012,09/18/2012,1,96,97,2,10,Construct,,,,
A,FS,L10,C,AFSL10C,AFSL10C,09/28/2012,09/28/2012,0,96,97,1,8,Construct,,,,
A,FS,L10,D,AFSL10D,AFSL10D,10/06/2012,10/06/2012,0,104,97,1,-116,Construct,,,,
A,FS,L11,A,AFSL11A,AFSL11A,06/12/2012,06/12/2012,0,72,81,1,6,Construct,,,,
A,FS,L11,B,AFSL11B,AFSL11B,06/18/2012,06/18/2012,0,78,81,1,43,Construct,,,,
A,FS,L11,C,AFSL11C,AFSL11C,07/31/2012,07/31/2012,0,80,81,1,42,Construct,,,,
A,FS,L11,D,AFSL11D,AFSL11D,09/11/2012,09/11/2012,0,96,81,1,-90,Construct,,,,
A,FS,L12,A,AFSL12A,AFSL12A,06/13/2012,06/13/2012,0,96,97,1,6,Construct,,,,
A,FS,L12,B,AFSL12B,AFSL12B,06/19/2012,06/19/2012,0,103,97,1,14,Construct,,,,
A,FS,L12,E,AFSL12E,AFSL12E,07/03/2012,07/03/2012,0,104,97,1,3,Construct,,,,
A,FS,L12,F,AFSL12F,AFSL12F,07/06/2012,07/07/2012,1,101,97,2,21,Construct,,,,
A,FS,L12,C,AFSL12C,AFSL12C,07/28/2012,07/28/2012,0,96,97,1,3,Construct,,,,
A,FS,L12,G,AFSL12G,AFSL12G,07/31/2012,07/31/2012,0,90,97,1,34,Construct,,,,
A,FS,L12,D,AFSL12D,AFSL12D,09/03/2012,09/03/2012,0,96,97,1,2,Construct,,,,
A,FS,L12,H,AFSL12H,AFSL12H,09/05/2012,09/05/2012,0,96,97,1,-64,Construct,,,,
A,FS,L13,B,AFSL13B,AFSL13B,07/03/2012,07/03/2012,0,104,97,1,2,Construct,,,,
A,FS,L13,E,AFSL13E,AFSL13E,07/05/2012,07/05/2012,0,96,97,1,4,Construct,,,,
A,FS,L13,A,AFSL13A,AFSL13A,07/09/2012,07/09/2012,0,96,97,1,1,Construct,,,,
A,FS,L13,F,AFSL13F,AFSL13F,07/10/2012,07/10/2012,0,96,97,1,16,Construct,,,,
A,FS,L13,C,AFSL13C,AFSL13C,07/26/2012,07/26/2012,0,94,97,1,2,Construct,,,,
A,FS,L13,G,AFSL13G,AFSL13G,07/28/2012,07/30/2012,2,112,97,2,33,Construct,,,,
A,FS,L13,D,AFSL13D,AFSL13D,09/01/2012,09/01/2012,0,88,97,1,6,Construct,,,,
A,FS,L13,H,AFSL13H,AFSL13H,09/07/2012,09/07/2012,0,112,97,1,-65,Construct,,,,
A,FS,L14,E,AFSL14E,AFSL14E,07/04/2012,07/04/2012,0,112,97,1,3,Construct,,,,
A,FS,L14,B,AFSL14B,AFSL14B,07/07/2012,07/07/2012,0,84,97,1,2,Construct,,,,
