Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F02b,ALWM01F02b,ALWM01F02b,06/30/2012,07/11/2012,12,720,827,2,0,Construct,.,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F02a,ALWM01F02a,ALWM01F02a,07/11/2012,07/11/2012,1,357,380,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F01b,ALWM01F01b,ALWM01F01b,07/17/2012,03/13/2013,240,658,510,2,-237,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F01a,ALWM01F01a,ALWM01F01a,07/19/2012,03/04/2013,229,410,412,2,42,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C06a,ALWM01C06a,ALWM01C06a,04/15/2013,04/15/2013,1,72,45,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C06b,ALWM01C06b,ALWM01C06b,04/15/2013,04/15/2013,1,48,59,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C05b,ALWM01C05b,ALWM01C05b,04/25/2013,04/25/2013,1,360,357,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C04b,ALWM01C04b,ALWM01C04b,05/03/2013,05/04/2013,2,508,441,2,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C05a,ALWM01C05a,ALWM01C05a,05/06/2013,05/06/2013,1,88,70,1,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C03b,ALWM01C03b,ALWM01C03b,05/08/2013,05/09/2013,2,160,208,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C04a,ALWM01C04a,ALWM01C04a,05/13/2013,05/13/2013,1,88,73,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C03a,ALWM01C03a,ALWM01C03a,05/21/2013,05/21/2013,1,40,33,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C02,ALWM01C02,ALWM01C02,06/05/2013,06/06/2013,2,304,342,2,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C01,ALWM01C01,ALWM01C01,06/12/2013,06/13/2013,2,1052,1038,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W08,ALWM01W08,ALWM01W08,06/20/2013,06/20/2013,1,208,218,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W07,ALWM01W07,ALWM01W07,06/27/2013,06/28/2013,2,452,432,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W06,ALWM01W06,ALWM01W06,07/05/2013,07/05/2013,1,400,380,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W05,ALWM01W05,ALWM01W05,07/16/2013,07/16/2013,1,357,328,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W04,ALWM01W04,ALWM01W04,07/22/2013,07/22/2013,1,298,276,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W03b,ALWM01W03b,ALWM01W03b,07/29/2013,07/29/2013,1,202,172,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W03a,ALWM01W03a,ALWM01W03a,08/07/2013,08/07/2013,1,146,144,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W02,ALWM01W02,ALWM01W02,08/13/2013,08/13/2013,1,116,111,1,539,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W01,ALWM01W01,ALWM01W01,02/03/2015,02/03/2015,1,47,51,1,-1022,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F03,ALWM02F03,ALWM02F03,04/17/2012,04/18/2012,2,1134,1000,2,-1,Construct,Code 03.,"Lift ""F02+F03"" will be divided in ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,A-P-S-3220-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F02,ALWM02F02,ALWM02F02,04/17/2012,04/18/2012,2,0,0,0,13,Construct,Code 03.,"Lift ""F02+F03"" will be divided in ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,A-P-S-3220-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F01,ALWM02F01,ALWM02F01,05/01/2012,02/05/2013,281,629,846,3,-206,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04a,ALWM02C04a,ALWM02C04a,07/14/2012,07/14/2012,1,133,104,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03a,ALWM02C03a,ALWM02C03a,07/21/2012,07/21/2012,1,118,107,1,228,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04b,ALWM02C04b,ALWM02C04b,03/06/2013,03/07/2013,2,504,484,2,-1,Construct,Code 03.,"Lift ""C04 b&c"" will be divided in ""C04b"" and ""C04c"".    All quantities will be assigned to ""C04b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04c,ALWM02C04c,ALWM02C04c,03/06/2013,03/07/2013,2,0,0,0,6,Construct,Code 03.,"Lift ""C04 b&c"" will be divided in ""C04b"" and ""C04c"".    All quantities will be assigned to ""C04b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03b,ALWM02C03b,ALWM02C03b,03/13/2013,03/14/2013,2,548,523,2,-1,Construct,Code 03.,"Lift ""C03 b&c"" will be divided in ""C03b"" and ""C03c"".    All quantities will be assigned to ""C03b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03c,ALWM02C03c,ALWM02C03c,03/13/2013,03/14/2013,2,0,0,0,5,Construct,Code 03.,"Lift ""C03 b&c"" will be divided in ""C03b"" and ""C03c"".    All quantities will be assigned to ""C03b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C02,ALWM02C02,ALWM02C02,03/19/2013,03/20/2013,2,316,305,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C01,ALWM02C01,ALWM02C01,03/23/2013,03/23/2013,1,924,955,1,129,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W07,ALWM02W07,ALWM02W07,07/30/2013,07/31/2013,2,453,398,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
