Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,H4W,1A,F03,AH4W1AF03,AH4W1AF03,08/07/2012,08/10/2012,4,1251,1167,2,17,Construct,Code 02.,"Joining ""F03a"" and ""F03b"" under the name ""F03"".",Code 02a.,A-P-S-0910-0004
A,H4W,1A,F02,AH4W1AF02,AH4W1AF02,08/27/2012,09/11/2012,16,1088,1047,2,20,Construct,Code 02.,"Joining ""F02a"" and ""F02b"" under the name ""F02"".",Code 02a.,A-P-S-0910-0004
A,H4W,1A,F01,AH4W1AF01,AH4W1AF01,10/01/2012,10/01/2012,1,576,523,1,14,Construct,,,,
A,H4W,1A,W13,AH4W1AW13,AH4W1AW13,10/15/2012,10/16/2012,2,768,744,2,17,Construct,,,,
A,H4W,1A,W12,AH4W1AW12,AH4W1AW12,11/02/2012,11/02/2012,1,740,702,1,12,Construct,,,,
A,H4W,1A,W11,AH4W1AW11,AH4W1AW11,11/14/2012,11/15/2012,2,660,661,2,18,Construct,,,,
A,H4W,1A,W10,AH4W1AW10,AH4W1AW10,12/03/2012,12/04/2012,2,632,621,2,29,Construct,,,,
A,H4W,1A,W09,AH4W1AW09,AH4W1AW09,01/02/2013,01/03/2013,2,560,526,2,13,Construct,,,,
A,H4W,1A,W07,AH4W1AW07,AH4W1AW07,01/16/2013,01/16/2013,1,184,184,1,1,Construct,Code 05.,"Lift ""W07/W08"" (Jan 16, 2013) will be renamed as ""W07"".",Code 05a.,A-P-S-0911-0012
A,H4W,1A,W08,AH4W1AW08,AH4W1AW08,01/17/2013,01/17/2013,1,296,296,1,-13,Construct,Code 05.,"Lift ""W07/W08"" (Jan 17, 2013) will be renamed as ""W08"".",Code 05a.,A-P-S-0911-0012
A,H4W,1A,W08a,AH4W1AW08a,AH4W1AW08a,01/04/2013,01/04/2013,1,48,30,1,57,Construct,Code 05.,"Lift ""W07/W08b"" will be renamed as ""W08a"".",Code 05a.,A-P-S-0911-0012
A,H4W,1A,W06,AH4W1AW06,AH4W1AW06,03/02/2013,03/02/2013,1,508,479,1,66,Construct,,,,
A,H4W,1A,W05,AH4W1AW05,AH4W1AW05,05/07/2013,10/02/2013,149,592,588,2,15,Construct,,,,
A,H4W,1A,W04,AH4W1AW04,AH4W1AW04,10/17/2013,11/20/2013,35,495,447,6,8,Construct,Code 02.,"Joining lifts ""1A/1B W04b"", ""W04"", ""W04c"", ""W04d/ W03 (I)"" under the name ""W04"".",Code 02a.,A-P-S-0911-0012
A,H4W,1A,W03,AH4W1AW03,AH4W1AW03,11/28/2013,11/28/2013,1,224,288,1,8,Construct,,,,
A,H4W,1A,W02,AH4W1AW02,AH4W1AW02,12/06/2013,09/30/2014,299,217,234,4,13,Construct,,,,
A,H4W,1A,W01,AH4W1AW01,AH4W1AW01,10/13/2014,10/14/2014,2,143,140,2,-754,Construct,,,,
A,H4W,1B,F03,AH4W1BF03,AH4W1BF03,09/20/2012,09/21/2012,2,1212,1153,2,124,Construct,,,,
A,H4W,1B,F02,AH4W1BF02,AH4W1BF02,01/23/2013,01/24/2013,2,1112,1107,2,61,Construct,,,,
A,H4W,1B,F01,AH4W1BF01,AH4W1BF01,03/26/2013,03/26/2013,1,576,568,1,21,Construct,,,,
A,H4W,1B,W13,AH4W1BW13,AH4W1BW13,04/16/2013,04/17/2013,2,908,941,2,9,Construct,,,,
A,H4W,1B,W12,AH4W1BW12,AH4W1BW12,04/26/2013,04/27/2013,2,952,993,2,6,Construct,,,,
A,H4W,1B,W11,AH4W1BW11,AH4W1BW11,05/03/2013,05/04/2013,2,956,1002,2,5,Construct,,,,
A,H4W,1B,W10,AH4W1BW10,AH4W1BW10,05/09/2013,05/10/2013,2,1016,997,2,5,Construct,,,,
A,H4W,1B,W09,AH4W1BW09,AH4W1BW09,05/15/2013,05/16/2013,2,924,899,2,15,Construct,,,,
A,H4W,1B,W08,AH4W1BW08,AH4W1BW08,05/31/2013,05/31/2013,1,408,440,1,1,Construct,Code 05.,"Lift ""W07/W08a"" will be renamed as ""W08"".",Code 05.,A-P-S-0911-0012
A,H4W,1B,W08a,AH4W1BW08a,AH4W1BW08a,06/01/2013,06/01/2013,1,0,0,0,1,Construct,Code 01.,"A new row was created under the name of ""W08a"" with 0 quantities and with dates of the previous lift plus one day.",Code 01a.,A-P-S-0911-0012
