Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,CC3,A,05,ACC3A05,ACC3A05,04/20/2012,05/08/2012,19,911,828,4,14,Construct,Code 02.,"Joining ""05"", ""05 a (kicker)"", ""05 b (kicker)"" under the name of ""05"".",Code 02a.,A-P-S-5350-0001
A,CC3,A,04a,ACC3A04a,ACC3A04a,05/22/2012,05/23/2012,2,214,154,2,0,Construct,,,,
A,CC3,A,04b,ACC3A04b,ACC3A04b,05/23/2012,05/23/2012,1,184,154,1,13,Construct,,,,
A,CC3,A,03a,ACC3A03a,ACC3A03a,06/05/2012,06/06/2012,2,176,160,2,0,Construct,,,,
A,CC3,A,03b,ACC3A03b,ACC3A03b,06/06/2012,06/06/2012,1,174,160,1,114,Construct,,,,
A,CC3,B,05,ACC3B05,ACC3B05,09/28/2012,11/01/2012,35,594,588,5,32,Construct,Code 02.,"Joining ""05"", ""05b"", ""05a"", ""05c"" under the name of ""05"".",Code 02a.,A-P-S-5355-0001
A,CC3,B,04b,ACC3B04b,ACC3B04b,12/03/2012,12/04/2012,2,152,134,2,0,Construct,,,,
A,CC3,B,04a,ACC3B04a,ACC3B04a,12/04/2012,12/04/2012,1,80,76,1,9,Construct,,,,
A,CC3,B,04c,ACC3B04c,ACC3B04c,12/13/2012,12/13/2012,1,64,72,1,1,Construct,,,,
A,CC3,B,03a,ACC3B03a,ACC3B03a,12/14/2012,12/14/2012,1,56,65,1,4,Construct,,,,
A,CC3,B,03b,ACC3B03b,ACC3B03b,12/18/2012,12/18/2012,1,120,115,1,4,Construct,,,,
A,CC3,B,03c,ACC3B03c,ACC3B03c,12/22/2012,12/22/2012,1,80,62,1,25,Construct,,,,
A,CC3,B,02,ACC3B02,ACC3B02,01/16/2013,01/16/2013,1,488,490,1,6,Construct,,,,
A,CC3,B,01,ACC3B01,ACC3B01,01/22/2013,01/23/2013,2,800,684,2,-256,Construct,,,,
A,CC3,C,05,ACC3C05,ACC3C05,05/12/2012,08/14/2012,95,666,620,4,10,Construct,Code 02.,"Joining ""05"", ""05b"", ""05a"" under the name of ""05"".",Code 02a.,A-P-S-5358-0001
A,CC3,C,04b,ACC3C04b,ACC3C04b,08/24/2012,08/25/2012,2,136,132,2,0,Construct,,,,
A,CC3,C,04c,ACC3C04c,ACC3C04c,08/25/2012,08/25/2012,1,86,75,1,3,Construct,,,,
A,CC3,C,04a,ACC3C04a,ACC3C04a,08/28/2012,08/29/2012,2,160,68,2,7,Construct,,,,
