Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,ME,M01,F02,AMEM01F02,AMEM01F02,02/01/2012,02/02/2012,2,508,495,2,9,Construct,.,,,
A,ME,M01,F01,AMEM01F01,AMEM01F01,02/11/2012,04/10/2012,60,463,439,3,34,Construct,Code 02.,"Joining ""F01b"" with ""F01"" under the name of ""F01"".",Code 02a.,A-P-S-2700-0001
A,ME,M01,C12,AMEM01C12,AMEM01C12,05/14/2012,05/15/2012,2,663,616,2,15,Construct,,,,
A,ME,M01,C11,AMEM01C11,AMEM01C11,05/30/2012,06/21/2012,23,921,754,6,-15,Construct,Code 02.,"Joining ""C11a"" ""C11b"" with ""C11"" under the name of ""C11"".",Code 02a.,A-P-S-2701-0001
A,ME,M01,C10,AMEM01C10,AMEM01C10,06/06/2012,06/08/2012,3,457,428,2,4,Construct,,,,
A,ME,M01,C09,AMEM01C09,AMEM01C09,06/12/2012,06/12/2012,1,191,205,1,14,Construct,,,,
A,ME,M01,C08b,AMEM01C08b,AMEM01C08b,06/26/2012,06/27/2012,2,272,239,2,7,Construct,,,,
A,ME,M01,C07b,AMEM01C07b,AMEM01C07b,07/04/2012,07/05/2012,2,481,481,2,-1,Construct,,,,
A,ME,M01,C08a,AMEM01C08a,AMEM01C08a,07/04/2012,07/04/2012,1,40,0,1,6,Construct,,,,
A,ME,M01,C07a,AMEM01C07a,AMEM01C07a,07/10/2012,07/11/2012,2,122,22,2,3,Construct,,,,
A,ME,M01,C06b,AMEM01C06b,AMEM01C06b,07/14/2012,07/14/2012,1,453,455,1,10,Construct,,,,
A,ME,M01,C05b,AMEM01C05b,AMEM01C05b,07/24/2012,07/24/2012,1,282,291,1,0,Construct,,,,
A,ME,M01,C06a,AMEM01C06a,AMEM01C06a,07/24/2012,07/24/2012,1,96,91,1,8,Construct,,,,
A,ME,M01,C05a,AMEM01C05a,AMEM01C05a,08/01/2012,08/01/2012,1,56,61,1,205,Construct,,,,
A,ME,M01,C04,AMEM01C04,AMEM01C04,02/22/2013,02/23/2013,2,416,432,2,6,Construct,,,,
A,ME,M01,C01,AMEM01C01,AMEM01C01,03/01/2013,03/02/2013,2,952,978,2,-1,Construct,Code 03.,"Lift ""C03/C02/C01"" will be divided into ""C01"" ""C02"" ""C03"". All quantities will be assigned to ""C01"".",Code 03a.,A-P-S-2703-0001
A,ME,M01,C02,AMEM01C02,AMEM01C02,03/01/2013,03/02/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""C03/C02/C01"" will be divided into ""C01"" ""C02"" ""C03"". All quantities will be assigned to ""C01"".",Code 03a.,A-P-S-2703-0001
A,ME,M01,C03,AMEM01C03,AMEM01C03,03/01/2013,03/02/2013,2,0,0,0,188,Construct,Code 03.,"Lift ""C03/C02/C01"" will be divided into ""C01"" ""C02"" ""C03"". All quantities will be assigned to ""C01"".",Code 03a.,A-P-S-2703-0001
A,ME,M01,W07,AMEM01W07,AMEM01W07,09/06/2013,09/06/2013,1,56,42,1,7,Construct,,,,
A,ME,M01,W06,AMEM01W06,AMEM01W06,09/13/2013,09/13/2013,1,241,249,1,7,Construct,,,,
A,ME,M01,W05,AMEM01W05,AMEM01W05,09/20/2013,09/21/2013,2,280,285,2,16,Construct,,,,
A,ME,M01,W04,AMEM01W04,AMEM01W04,10/07/2013,10/07/2013,1,194,174,1,8,Construct,,,,
A,ME,M01,W03,AMEM01W03,AMEM01W03,10/15/2013,10/15/2013,1,164,145,1,15,Construct,,,,
A,ME,M01,W02,AMEM01W02,AMEM01W02,10/30/2013,10/30/2013,1,156,123,1,73,Construct,,,,
A,ME,M01,W01,AMEM01W01,AMEM01W01,01/11/2014,01/11/2014,1,48,61,1,-685,Construct,,,,
A,ME,M02,F02b,AMEM02F02b,AMEM02F02b,02/26/2012,02/26/2012,1,548,548,1,5,Construct,Code 05,"Lift ""F02"" will be renamed as ""F02b"".",Code 05,A-P-S-2720-0002
A,ME,M02,F02a,AMEM02F02a,AMEM02F02a,03/02/2012,03/02/2012,1,187,171,1,7,Construct,,,,
A,ME,M02,F01b,AMEM02F01b,AMEM02F01b,03/09/2012,03/10/2012,2,448,448,2,11,Construct,,,,
A,ME,M02,F01a,AMEM02F01a,AMEM02F01a,03/21/2012,05/09/2012,50,319,322,3,-21,Construct,Code 02.,"Joining ""F01c"" with ""F01a"" under the name of ""F01a"".",Code 02a.,A-P-S-2720-0002
A,ME,M02,C06a,AMEM02C06a,AMEM02C06a,04/18/2012,06/19/2012,63,199,199,2,-54,Construct,Code 02.,"Joining ""F01a&C06a"" with ""C06a"" under the name of ""C06a"".",Code 02a.,A-P-S-2721-0001
A,ME,M02,C05a,AMEM02C05a,AMEM02C05a,04/26/2012,08/23/2012,120,160,160,2,-7,Construct,,,,
A,ME,M02,C06b,AMEM02C06b,AMEM02C06b,08/16/2012,08/17/2012,2,326,326,2,-1,Construct,,,,
A,ME,M02,C06c,AMEM02C06c,AMEM02C06c,08/16/2012,08/17/2012,2,140,158,2,17,Construct,,,,
A,ME,M02,C05c,AMEM02C05c,AMEM02C05c,09/03/2012,09/03/2012,1,76,76,1,0,Construct,,,,
A,ME,M02,C05b,AMEM02C05b,AMEM02C05b,09/03/2012,09/04/2012,2,516,408,2,73,Construct,,,,
A,ME,M02,C04,AMEM02C04,AMEM02C04,11/16/2012,11/28/2012,13,352,301,2,8,Construct,Code 02.,"Joining ""C04b"" ""C04a"" with ""C04"" under the name of ""C04"".",Code 02a.,A-P-S-2722-0001
A,ME,M02,C03,AMEM02C03,AMEM02C03,12/06/2012,12/07/2012,2,232,232,3,54,Construct,Code 02.,"Joining ""C03a"" and C03b"" under the name of ""C03"".",Code 02a.,A-P-S-2722-0001
A,ME,M02,C02,AMEM02C02,AMEM02C02,01/30/2013,01/31/2013,2,304,312,2,13,Construct,,,,
A,ME,M02,C01,AMEM02C01,AMEM02C01,02/13/2013,02/15/2013,3,992,978,3,172,Construct,,,,
A,ME,M02,W08,AMEM02W08,AMEM02W08,08/06/2013,08/07/2013,2,125,137,2,8,Construct,,,,
A,ME,M02,W07,AMEM02W07,AMEM02W07,08/15/2013,08/16/2013,2,349,342,2,7,Construct,,,,
A,ME,M02,W06,AMEM02W06,AMEM02W06,08/23/2013,08/23/2013,1,327,310,1,10,Construct,,,,
A,ME,M02,W05,AMEM02W05,AMEM02W05,09/02/2013,09/03/2013,2,235,261,2,7,Construct,,,,
A,ME,M02,W04,AMEM02W04,AMEM02W04,09/10/2013,09/11/2013,2,206,162,2,5,Construct,,,,
A,ME,M02,W03,AMEM02W03,AMEM02W03,09/16/2013,09/16/2013,1,167,146,1,9,Construct,,,,
A,ME,M02,W02,AMEM02W02,AMEM02W02,09/25/2013,09/25/2013,1,165,136,1,121,Construct,,,,
A,ME,M02,W01,AMEM02W01,AMEM02W01,01/24/2014,01/24/2014,1,64,67,1,-764,Construct,,,,
A,ME,M03,F02,AMEM03F02,AMEM03F02,12/22/2011,12/23/2011,2,936,932,2,20,Construct,,,,
A,ME,M03,F01,AMEM03F01,AMEM03F01,01/12/2012,04/03/2012,83,858,834,4,-5,Construct,Code 02.,"Joining ""F01a"" ""F01b"" ""F01c"" ""F01"" under the name of ""F01"".",Code 02a.,A-P-S-2740-0001
A,ME,M03,C04c,AMEM03C04c,AMEM03C04c,03/29/2012,03/29/2012,1,95,95,1,5,Construct,,,,
A,ME,M03,C04b,AMEM03C04b,AMEM03C04b,04/03/2012,06/09/2012,68,216,151,2,-66,Construct,,,,
A,ME,M03,C04a,AMEM03C04a,AMEM03C04a,04/04/2012,04/04/2012,1,144,144,1,11,Construct,,,,
A,ME,M03,C03c,AMEM03C03c,AMEM03C03c,04/15/2012,04/15/2012,1,80,80,1,2,Construct,,,,
A,ME,M03,C03a,AMEM03C03a,AMEM03C03a,04/17/2012,04/17/2012,1,135,135,1,60,Construct,,,,
A,ME,M03,C03b,AMEM03C03b,AMEM03C03b,06/16/2012,06/16/2012,1,244,203,1,42,Construct,,,,
A,ME,M03,C02,AMEM03C02,AMEM03C02,07/28/2012,07/28/2012,1,289,291,1,6,Construct,,,,
A,ME,M03,C01,AMEM03C01,AMEM03C01,08/03/2012,08/04/2012,2,997,978,2,9,Construct,,,,
A,ME,M03,W08,AMEM03W08,AMEM03W08,08/13/2012,08/13/2012,1,432,408,1,40,Construct,,,,
A,ME,M03,W07,AMEM03W07,AMEM03W07,09/22/2012,09/22/2012,1,416,361,1,11,Construct,,,,
A,ME,M03,W06,AMEM03W06,AMEM03W06,10/03/2012,10/03/2012,1,328,311,1,24,Construct,,,,
A,ME,M03,W05,AMEM03W05,AMEM03W05,10/27/2012,10/27/2012,1,256,261,1,285,Construct,,,,
A,ME,M03,W04,AMEM03W04,AMEM03W04,08/08/2013,08/08/2013,1,192,262,1,13,Construct,,,,
A,ME,M03,W03,AMEM03W03,AMEM03W03,08/21/2013,08/21/2013,1,145,144,1,9,Construct,,,,
A,ME,M03,W02,AMEM03W02,AMEM03W02,08/30/2013,08/31/2013,2,144,132,2,175,Construct,,,,
A,ME,M03,W01,AMEM03W01,AMEM03W01,02/22/2014,02/22/2014,1,78,78,1,-757,Construct,,,,
A,ME,M04,F02,AMEM04F02,AMEM04F02,01/27/2012,01/28/2012,2,936,932,2,7,Construct,,,,
A,ME,M04,F01,AMEM04F01,AMEM04F01,02/04/2012,03/01/2012,27,822,834,3,19,Construct,Code 02.,"Joining ""F01a"" ""F01c"" ""F01"" under the name of""F01"".",Code 02a.,A-P-S-2760-0001
A,ME,M04,C04c,AMEM04C04c,AMEM04C04c,03/20/2012,03/20/2012,1,80,80,1,9,Construct,,,,
A,ME,M04,C04a,AMEM04C04a,AMEM04C04a,03/29/2012,03/29/2012,1,112,112,1,13,Construct,,,,
A,ME,M04,C03c,AMEM04C03c,AMEM04C03c,04/11/2012,04/12/2012,2,148,148,2,0,Construct,,,,
A,ME,M04,C03a,AMEM04C03a,AMEM04C03a,04/12/2012,04/12/2012,1,123,123,1,42,Construct,,,,
A,ME,M04,C04b,AMEM04C04b,AMEM04C04b,05/24/2012,05/24/2012,1,203,198,1,11,Construct,,,,
