Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,FS,M01,C,AFSM01C,AFSM01C,10/22/2011,10/22/2011,1,104,103,1,6,Construct,.,,,
A,FS,M01,G,AFSM01G,AFSM01G,10/28/2011,10/28/2011,1,104,103,1,12,Construct,,,,
A,FS,M01,B,AFSM01B,AFSM01B,11/09/2011,11/09/2011,1,102,103,1,7,Construct,,,,
A,FS,M01,F,AFSM01F,AFSM01F,11/16/2011,11/16/2011,1,96,103,1,0,Construct,,,,
A,FS,M01,A,AFSM01A,AFSM01A,11/16/2011,11/16/2011,1,112,103,1,14,Construct,,,,
A,FS,M01,E,AFSM01E,AFSM01E,11/30/2011,11/30/2011,1,80,103,1,103,Construct,,,,
A,FS,M01,D,AFSM01D,AFSM01D,03/12/2012,03/12/2012,1,92,103,1,4,Construct,,,,
A,FS,M01,H,AFSM01H,AFSM01H,03/16/2012,03/16/2012,1,96,103,1,-119,Construct,,,,
A,FS,M02,A,AFSM02A,AFSM02A,11/18/2011,11/18/2011,1,98,97,1,5,Construct,,,,
A,FS,M02,B,AFSM02B,AFSM02B,11/23/2011,11/23/2011,1,96,97,1,3,Construct,,,,
A,FS,M02,E,AFSM02E,AFSM02E,11/26/2011,11/26/2011,1,98,97,1,7,Construct,,,,
A,FS,M02 ,D,AFSM02D,AFSM02D,12/03/2011,12/03/2011,1,96,97,1,2,Construct,,,,
A,FS,M02 ,F,AFSM02F,AFSM02F,12/05/2011,12/05/2011,1,96,97,1,12,Construct,,,,
A,FS,M02,H,AFSM02H,AFSM02H,12/17/2011,01/04/2012,19,148,97,3,22,Construct,,,,
A,FS,M02,C,AFSM02C,AFSM02C,01/26/2012,01/26/2012,1,96,97,1,6,Construct,,,,
A,FS,M02,G,AFSM02G,AFSM02G,02/01/2012,02/01/2012,1,92,97,1,-71,Construct,,,,
A,FS,M03,A,AFSM03A,AFSM03A,11/22/2011,11/22/2011,1,100,97,1,8,Construct,,,,
A,FS,M03,E,AFSM03E,AFSM03E,11/30/2011,11/30/2011,1,104,97,1,7,Construct,,,,
A,FS,M03,F,AFSM03F,AFSM03F,12/07/2011,12/07/2011,1,96,97,1,13,Construct,,,,
A,FS,M03,B,AFSM03B,AFSM03B,12/20/2011,12/20/2011,1,96,97,1,22,Construct,,,,
A,FS,M03 ,D,AFSM03D,AFSM03D,01/11/2012,01/11/2012,1,104,97,1,15,Construct,,,,
A,FS,M03,C,AFSM03C,AFSM03C,01/26/2012,01/26/2012,1,94,97,1,3,Construct,,,,
A,FS,M03,H,AFSM03H,AFSM03H,01/29/2012,01/29/2012,1,96,97,1,12,Construct,,,,
A,FS,M03,G,AFSM03G,AFSM03G,02/10/2012,02/10/2012,1,96,97,1,-78,Construct,,,,
A,FS,M04,A,AFSM04A,AFSM04A,11/24/2011,11/24/2011,1,120,119,1,50,Construct,,,,
A,FS,M04,D,AFSM04D,AFSM04D,01/13/2012,01/13/2012,1,120,119,1,14,Construct,,,,
A,FS,M04,B,AFSM04B,AFSM04B,01/27/2012,01/27/2012,1,108,119,1,10,Construct,,,,
A,FS,M04,C,AFSM04C,AFSM04C,02/06/2012,02/06/2012,1,112,119,1,351,Construct,,,,
A,FS,M04,E,AFSM04E,AFSM04E,01/22/2013,01/22/2013,1,80,76,1,16,Construct,,,,
A,FS,M04,H,AFSM04H,AFSM04H,02/07/2013,02/08/2013,2,72,56,2,0,Construct,,,,
