Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,MW,M01,F02a,AMWM01F02a,AMWM01F02a,02/08/2012,02/08/2012,1,392,392,1,8,Construct,Code 05.,"Lift ""F02"" will be renamed as ""F02a"".",Code 05a.,A-P-S-2200-0002
A,MW,M01,F02b,AMWM01F02b,AMWM01F02b,02/16/2012,02/17/2012,2,660,635,2,10,Construct,,,,
A,MW,M01,F01a,AMWM01F01a,AMWM01F01a,02/27/2012,04/10/2012,44,431,384,4,-36,Construct,,,,
A,MW,M01,F01b,AMWM01F01b,AMWM01F01b,03/05/2012,03/05/2012,1,424,556,1,10,Construct,,,,
A,MW,M01,C06b,AMWM01C06b,AMWM01C06b,03/15/2012,03/15/2012,1,147,117,1,20,Construct,,,,
A,MW,M01,C05b,AMWM01C05b,AMWM01C05b,04/04/2012,04/05/2012,2,563,562,2,13,Construct,,,,
A,MW,M01,C06a,AMWM01C06a,AMWM01C06a,04/18/2012,04/18/2012,1,59,0,1,20,Construct,,,,
A,MW,M01,C05a,AMWM01C05a,AMWM01C05a,05/08/2012,05/08/2012,1,104,0,1,7,Construct,,,,
A,MW,M01,C04b,AMWM01C04b,AMWM01C04b,05/15/2012,05/15/2012,1,427,427,1,7,Construct,,,,
A,MW,M01,C03b,AMWM01C03b,AMWM01C03b,05/22/2012,05/23/2012,2,156,156,2,2,Construct,,,,
A,MW,M01,C04a,AMWM01C04a,AMWM01C04a,05/25/2012,05/25/2012,1,112,106,1,3,Construct,,,,
A,MW,M01,C03a,AMWM01C03a,AMWM01C03a,05/28/2012,05/28/2012,1,46,52,1,102,Construct,,,,
A,MW,M01,C02,AMWM01C02,AMWM01C02,09/07/2012,09/08/2012,2,389,349,2,6,Construct,,,,
A,MW,M01,C01,AMWM01C01,AMWM01C01,09/14/2012,09/15/2012,2,987,1056,2,10,Construct,,,,
A,MW,M01,W09,AMWM01W09,AMWM01W09,09/25/2012,09/25/2012,1,104,154,1,8,Construct,,,,
A,MW,M01,W08,AMWM01W08,AMWM01W08,10/03/2012,10/03/2012,1,472,443,1,27,Construct,,,,
A,MW,M01,W07,AMWM01W07,AMWM01W07,10/30/2012,10/30/2012,1,392,393,1,10,Construct,,,,
A,MW,M01,W06,AMWM01W06,AMWM01W06,11/09/2012,11/09/2012,1,368,340,1,10,Construct,,,,
A,MW,M01,W05,AMWM01W05,AMWM01W05,11/19/2012,11/19/2012,1,288,285,1,71,Construct,,,,
A,MW,M01,W04,AMWM01W04,AMWM01W04,01/29/2013,01/29/2013,1,168,174,1,21,Construct,,,,
A,MW,M01,W03,AMWM01W03,AMWM01W03,02/19/2013,02/20/2013,2,176,145,2,13,Construct,,,,
A,MW,M01,W02,AMWM01W02,AMWM01W02,03/05/2013,03/05/2013,1,128,123,1,688,Construct,,,,
A,MW,M01,W01,AMWM01W01,AMWM01W01,01/22/2015,01/22/2015,1,67,51,1,-1181,Construct,,,,
A,MW,M02,F02,AMWM02F02,AMWM02F02,10/29/2011,11/11/2011,14,944,932,2,16,Construct,,,,
A,MW,M02,F01,AMWM02F01,AMWM02F01,11/27/2011,03/23/2012,118,866,864,5,-9,Construct,Code 02.,"Joining lift ""F01"", ""F01b"", ""F01 b+c"" and ""F01a"" under the name of ""F01"".",Code 02a.,A-P-S-2020-0001
A,MW,M02,C04a,AMWM02C04a,AMWM02C04a,03/14/2012,03/14/2012,1,152,152,1,48,Construct,,,,
A,MW,M02,C04b,AMWM02C04b,AMWM02C04b,05/01/2012,05/04/2012,4,474,459,3,-41,Construct,,,,
A,MW,M02,C04c,AMWM02C04c,AMWM02C04c,03/24/2012,03/24/2012,1,0,0,0,47,Construct,Code 01.,"a new row was created with name ""C04c"" with 0 quantities and with the dates of the previous lift plus one day. ",Code 01a.,A-P-S-2021-0002
A,MW,M02,C03c,AMWM02C03c,AMWM02C03c,05/10/2012,05/11/2012,2,110,221,2,0,Construct,,,,
A,MW,M02,C03b,AMWM02C03b,AMWM02C03b,05/11/2012,05/11/2012,1,427,427,1,-57,Construct,,,,
A,MW,M02,C03a,AMWM02C03a,AMWM02C03a,03/15/2012,03/15/2012,1,0,0,0,91,Construct,Code 01.,"a new row was created with name ""C03a"" with 0 quantities and with the dates of the previous lift plus one day. ",Code 01a.,A-P-S-2021-0002
A,MW,M02,C02,AMWM02C02,AMWM02C02,06/14/2012,06/14/2012,1,353,314,1,8,Construct,,,,
A,MW,M02,C01,AMWM02C01,AMWM02C01,06/22/2012,06/23/2012,2,957,978,2,12,Construct,,,,
A,MW,M02,W08,AMWM02W08,AMWM02W08,07/05/2012,07/06/2012,2,430,408,2,10,Construct,,,,
A,MW,M02,W07,AMWM02W07,AMWM02W07,07/16/2012,07/17/2012,2,353,361,2,13,Construct,,,,
A,MW,M02,W06,AMWM02W06,AMWM02W06,07/30/2012,07/30/2012,1,346,310,1,7,Construct,,,,
A,MW,M02,W05,AMWM02W05,AMWM02W05,08/06/2012,08/07/2012,2,281,260,2,20,Construct,,,,
A,MW,M02,W04,AMWM02W04,AMWM02W04,08/27/2012,08/27/2012,1,184,163,1,312,Construct,,,,
A,MW,M02,W03,AMWM02W03,AMWM02W03,07/05/2013,07/05/2013,1,147,147,1,11,Construct,,,,
A,MW,M02,W02,AMWM02W02,AMWM02W02,07/16/2013,07/16/2013,1,132,136,1,547,Construct,,,,
A,MW,M02,W01,AMWM02W01,AMWM02W01,01/14/2015,01/14/2015,1,90,67,1,-1128,Construct,,,,
A,MW,M03,F02,AMWM03F02,AMWM03F02,12/13/2011,12/14/2011,2,968,932,2,21,Construct,,,,
A,MW,M03,F01,AMWM03F01,AMWM03F01,01/04/2012,03/10/2012,67,797,834,5,-5,Construct,Code 02.,"Joining lift ""F01"", ""F01a"", ""F01c"" and ""F01b"" under the name of ""F01"".",Code 02a.,A-P-S-2240-0001
A,MW,M03,C04a,AMWM03C04a,AMWM03C04a,03/05/2012,03/07/2012,3,142,142,2,-1,Construct,,,,
A,MW,M03,C04c,AMWM03C04c,AMWM03C04c,03/06/2012,03/06/2012,1,80,80,1,10,Construct,,,,
A,MW,M03,C03c,AMWM03C03c,AMWM03C03c,03/16/2012,03/16/2012,1,72,72,1,11,Construct,,,,
A,MW,M03,C03a,AMWM03C03a,AMWM03C03a,03/27/2012,03/30/2012,4,287,287,2,14,Construct,,,,
A,MW,M03,C04b,AMWM03C04b,AMWM03C04b,04/13/2012,04/13/2012,1,232,168,1,10,Construct,,,,
A,MW,M03,C03b,AMWM03C03b,AMWM03C03b,04/23/2012,04/24/2012,2,227,59,2,77,Construct,,,,
A,MW,M03,C02,AMWM03C02,AMWM03C02,07/10/2012,07/10/2012,1,317,291,1,13,Construct,,,,
