Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,OE,M01,F01,AOEM01F01,AOEM01F01,12/27/2012,03/11/2013,75,1530,1402,6,60,Construct,Code 02.,"Joining ""F01a"" , ""F01b"", ""F01c"" under the name of ""F01"".",Code 02a.,A-P-S-4335-0002
A,OE,M01,C04b,AOEM01C04b,AOEM01C04b,05/10/2013,05/10/2013,1,448,469,1,8,Construct,,,,
A,OE,M01,C04a,AOEM01C04a,AOEM01C04a,05/18/2013,05/18/2013,1,120,119,1,3,Construct,,,,
A,OE,M01,C03b,AOEM01C03b,AOEM01C03b,05/21/2013,06/01/2013,12,626,586,3,-13,Construct,,,,
A,OE,M01,C03a,AOEM01C03a,AOEM01C03a,05/19/2013,05/19/2013,1,0,0,0,4,Construct,Code 01.,"A new row was created under the name of ""C03a"" with 0 quantities with the dates of the previous lift plus one.",Code 01a.,A-P-S-4336-0001
A,OE,M01,P2-02,AOEM01P2-02,AOEM01P2-02,05/23/2013,05/23/2013,1,64,118,1,12,Construct,,,,
A,OE,M01,P2-01,AOEM01P2-01,AOEM01P2-01,06/04/2013,06/04/2013,1,56,57,1,30,Construct,,,,
A,OE,M01,C02,AOEM01C02,AOEM01C02,07/04/2013,07/04/2013,1,346,337,1,7,Construct,,,,
A,OE,M01,C01,AOEM01C01,AOEM01C01,07/11/2013,07/12/2013,2,1102,1090,2,13,Construct,,,,
A,OE,M01,W05,AOEM01W05,AOEM01W05,07/25/2013,07/25/2013,1,270,241,1,8,Construct,,,,
A,OE,M01,W04,AOEM01W04,AOEM01W04,08/02/2013,08/14/2013,13,233,230,3,8,Construct,Code 02.,"Joining ""W04a"" and ""W04b"" under the name of ""W04"".",Code 02a.,A-P-S- 4337-0001
A,OE,M01,W03,AOEM01W03,AOEM01W03,08/22/2013,08/22/2013,1,160,124,1,11,Construct,,,,
A,OE,M01,W02,AOEM01W02,AOEM01W02,09/02/2013,09/02/2013,1,163,100,1,472,Construct,,,,
A,OE,M01,W01,AOEM01W01,AOEM01W01,12/18/2014,12/19/2014,2,57,51,2,-742,Construct,,,,
A,OE,M02,F01,AOEM02F01,AOEM02F01,12/07/2012,01/18/2013,43,1852,1528,6,129,Construct,Code 02.,"Joining ""F01a"" , ""F01b"", ""F01c"" under the name of ""F01"".",Code 02a.,A-P-S-4340-0001
A,OE,M02,C04a,AOEM02C04a,AOEM02C04a,05/27/2013,05/28/2013,2,456,460,2,3,Construct,,,,
A,OE,M02,P2-02,AOEM02P2-02,AOEM02P2-02,05/31/2013,05/31/2013,1,59,68,1,5,Construct,,,,
A,OE,M02,C03a,AOEM02C03a,AOEM02C03a,06/05/2013,06/06/2013,2,527,506,2,2,Construct,,,,
A,OE,M02,C04b,AOEM02C04b,AOEM02C04b,06/08/2013,06/08/2013,1,119,122,1,7,Construct,,,,
A,OE,M02,P2-01,AOEM02P2-01,AOEM02P2-01,06/15/2013,06/15/2013,1,64,64,1,4,Construct,,,,
A,OE,M02,C03b,AOEM02C03b,AOEM02C03b,06/19/2013,06/19/2013,1,120,120,1,73,Construct,,,,
