Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C311,F01b,AT1C311F01b,AT1C311F01b,09/25/2013,09/26/2013,2,230,164,2,16,Construct,.,,,
A,T1,C311,F01a,AT1C311F01a,AT1C311F01a,10/12/2013,10/22/2013,11,291,295,1,30,Construct,Code 02.,"Joining lifts ""F01"" and ""F01a"" under the name of ""F01a"".",Code 02a.,A-P-S-6810-0003
A,T1,C311,P04,AT1C311P04,AT1C311P04,11/21/2013,11/21/2013,1,0,0,0,21,Construct,Code 01.,"A new row was created under the name of ""P04"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,A-P-S-6810-0004
A,T1,C311,W03b,AT1C311W03b,AT1C311W03b,12/12/2013,12/12/2013,1,0,0,0,2,Construct,Code 01.,"A new row was created under the name of ""W03b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,A-P-S-6810-0003
A,T1,C311,W03a,AT1C311W03a,AT1C311W03a,12/14/2013,12/27/2013,14,22,16,2,-10,Construct,Code 02.,"Joining lifts ""W03(P)"" and ""W03a/bkicker"" under the name of ""W03a"".",Code 02a.,A-P-S-6810-0003
A,T1,C311,W04b(Kicker),AT1C311W04b(Kicker),AT1C311W04b(Kicker),12/17/2013,12/17/2013,1,14,0,1,93,Construct,Code 06.,"Lift ""W04b(Kicker)"" does not exist in the RFC.",Code 06a.,A-P-S-6810-0004
A,T1,C311,W04b(II),AT1C311W04b(II),AT1C311W04b(II),03/20/2014,03/20/2014,1,40,23,1,1,Construct,Code 06.,"Lift ""W04b(II)"" does not exist in the RFC.",Code 06a.,A-P-S-6810-0004
A,T1,C311,W04a,AT1C311W04a,AT1C311W04a,03/21/2014,03/21/2014,1,24,14,1,21,Construct,Code 06.,"Lift ""W04a"" does not exist in the RFC.",Code 06a.,A-P-S-6810-0004
A,T1,C311,W02b,AT1C311W02b,AT1C311W02b,04/11/2014,04/11/2014,1,24,10,1,68,Construct,Code 05.,"Lift ""W02b(II)"" will be renamed as ""W02b"".",Code 05a.,A-P-S-6810-0004
A,T1,C311,W02e,AT1C311W02e,AT1C311W02e,06/18/2014,09/09/2014,84,91,87,3,-370,Construct,Code 02.,"Joining lifts ""W02e"" and ""W02e(II)"" under the name of ""W02e"".",Code 02a.,A-P-S-6810-0004
