Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,T4,C101,F01,AT4C101F01,AT4C101F01,04/08/2014,04/09/2014,2,408,398,2,5,Construct,.,,,
A,T4,C309,W01a,AT4C309W01a,AT4C309W01a,04/14/2014,04/14/2014,1,160,130,1,0,Construct,Code 04.,"Lift ""C109/08/07 W01a"" will be separated into ""C3-09 W01a"", ""C3-08 W01a"" and ""C3-07 W01a"".  All quantities will be assigned to ""C3-09 W01a"".",Code 4a.,P-P-S-6840-0003
A,T4,C308,W01a,AT4C308W01a,AT4C308W01a,04/14/2014,04/14/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C109/08/07 W01a"" will be separated into ""C3-09 W01a"", ""C3-08 W01a"" and ""C3-07 W01a"".  All quantities will be assigned to ""C3-09 W01a"".",Code 4a.,P-P-S-6840-0003
A,T4,C307,W01a,AT4C307W01a,AT4C307W01a,04/14/2014,04/14/2014,1,0,0,0,53,Construct,Code 04.,"Lift ""C109/08/07 W01a"" will be separated into ""C3-09 W01a"", ""C3-08 W01a"" and ""C3-07 W01a"".  All quantities will be assigned to ""C3-09 W01a"".",Code 4a.,P-P-S-6840-0003
A,T4,C101,W03,AT4C101W03,AT4C101W03,06/06/2014,06/06/2014,1,104,87,1,19,Construct,,,,
A,T4,C101,W02,AT4C101W02,AT4C101W02,06/25/2014,06/25/2014,1,88,68,1,19,Construct,,,,
A,T4,C102,F01a,AT4C102F01a,AT4C102F01a,07/14/2014,07/15/2014,2,678,668,2,-1,Construct,Code 03.,"Lift ""C102 F01a/b+T4-C2-03-W02/W01(I)+T4-C2-04-W02(I)/W01(I)"" will be separated into ""C1-02 F01a"" and ""C1-02 F01b"".  All quantities will be assigned to ""C1-02 F01a"".",Code 03a.,P-P-S-6840-0011
A,T4,C102,F01b,AT4C102F01b,AT4C102F01b,07/14/2014,07/15/2014,2,0,0,0,18,Construct,Code 03.,"Lift ""C102 F01a/b+T4-C2-03-W02/W01(I)+T4-C2-04-W02(I)/W01(I)"" will be separated into ""C1-02 F01a"" and ""C1-02 F01b"".  All quantities will be assigned to ""C1-02 F01a"".",Code 03a.,P-P-S-6840-0011
A,T4,C103,F01b,AT4C103F01b,AT4C103F01b,08/02/2014,08/02/2014,1,298,257,1,0,Construct,Code 04.,"Lift ""C103 F01b+T4-C2-04-W01"" will be separated into ""C1-03 F01b"" and ""C2-04 W01"".  All quantities will be assigned to ""C1-03 F01b"".",Code 04a.,P-P-S-6840-0011
A,T4,C204,W01,AT4C204W01,AT4C204W01,08/02/2014,08/02/2014,1,0,0,1,66,Construct,Code 04.,"Lift ""C103 F01b+T4-C2-04-W01"" will be separated into ""C1-03 F01b"" and ""C2-04 W01"".  All quantities will be assigned to ""C1-03 F01b"".",Code 04a.,P-P-S-6840-0011
A,T4,C101,R08,AT4C101R08,AT4C101R08,10/07/2014,10/07/2014,1,90,84,1,3,Construct,,,,
A,T4,C101,R07,AT4C101R07,AT4C101R07,10/10/2014,10/10/2014,1,165,147,1,3,Construct,,,,
A,T4,C103,F01a,AT4C103F01a,AT4C103F01a,10/13/2014,10/22/2014,10,213,240,2,16,Construct,Code 02.,"Joining lifts ""F01a(I)"" and ""F01a(II)"" under the name of ""F01a"".",Code 02a.,P-P-S-6840-0011
A,T4,C102,P09,AT4C102P09,AT4C102P09,11/07/2014,11/07/2014,1,23,21,1,0,Construct,Code 03.,"Lift ""C102 P09/P08"" will be separated into ""C1-02 P09"" and ""C1-02 P08"".  All quantities will be assigned to ""C1-02 P09"".",Code 03a.,P-P-S-6840-0011
A,T4,C102,P08,AT4C102P08,AT4C102P08,11/07/2014,11/07/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""C102 P09/P08"" will be separated into ""C1-02 P09"" and ""C1-02 P08"".  All quantities will be assigned to ""C1-02 P09"".",Code 03a.,P-P-S-6840-0011
A,T4,C102,W08,AT4C102W08,AT4C102W08,11/07/2014,11/07/2014,1,30,30,1,11,Construct,,,,
A,T4,C102,W07,AT4C102W07,AT4C102W07,11/18/2014,11/18/2014,1,119,95,1,0,Construct,Code 04.,"Lift ""C1-02/03 W07/W06+T4-C01-01-W01"" will be separated into ""C1-02 W07"", ""C1-02 W06, ""C1-03 W06"" and ""C1-01 W01"".  All quantities will be assigned to ""C1-02 W07"".",Code 04a.,P-P-S-6840-0011
