Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,TRF3,SL,10,ATRF3SL10,ATRF3SL10,08/23/2013,08/24/2013,2,66,130,2,0,Construct,.,,,
A,TRF3,SL,11,ATRF3SL11,ATRF3SL11,08/24/2013,08/24/2013,1,474,320,1,17,Construct,,,,
A,TRF3,SL,09,ATRF3SL09,ATRF3SL09,09/10/2013,09/11/2013,2,287,165,2,9,Construct,,,,
A,TRF3,SL,08,ATRF3SL08,ATRF3SL08,09/20/2013,09/20/2013,1,278,200,1,12,Construct,,,,
A,TRF3,SL,07a,ATRF3SL07a,ATRF3SL07a,10/02/2013,10/02/2013,1,256,255,1,0,Construct,Code 03.,"Lift ""07"" will be separated in ""07a"", ""07b"" and ""07c"", all quantities will be assigned to ""07a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,07b,ATRF3SL07b,ATRF3SL07b,10/02/2013,10/02/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""07"" will be separated in ""07a"", ""07b"" and ""07c"", all quantities will be assigned to ""07a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,07c,ATRF3SL07c,ATRF3SL07c,10/02/2013,10/02/2013,1,0,0,0,15,Construct,Code 03.,"Lift ""07"" will be separated in ""07a"", ""07b"" and ""07c"", all quantities will be assigned to ""07a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,06a,ATRF3SL06a,ATRF3SL06a,10/17/2013,10/18/2013,2,266,285,2,-1,Construct,Code 03.,"Lift ""06"" will be separated in ""06a"", ""06b"" and ""06c"", all quantities will be assigned to ""06a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,06b,ATRF3SL06b,ATRF3SL06b,10/17/2013,10/18/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""06"" will be separated in ""06a"", ""06b"" and ""06c"", all quantities will be assigned to ""06a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,06c,ATRF3SL06c,ATRF3SL06c,10/17/2013,10/18/2013,2,0,0,0,12,Construct,Code 03.,"Lift ""06"" will be separated in ""06a"", ""06b"" and ""06c"", all quantities will be assigned to ""06a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,05a,ATRF3SL05a,ATRF3SL05a,10/30/2013,10/31/2013,2,320,305,2,-1,Construct,Code 03.,"Lift ""05"" will be separated in ""05a"", ""05b"" and ""05c"", all quantities will be assigned to ""05a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,05b,ATRF3SL05b,ATRF3SL05b,10/30/2013,10/31/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""05"" will be separated in ""05a"", ""05b"" and ""05c"", all quantities will be assigned to ""05a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,05c,ATRF3SL05c,ATRF3SL05c,10/30/2013,10/31/2013,2,0,0,0,0,Construct,Code 03.,"Lift ""05"" will be separated in ""05a"", ""05b"" and ""05c"", all quantities will be assigned to ""05a""",Code 03a.,A-P-S-6120-0002
A,TRF3,NW,10,ATRF3NW10,ATRF3NW10,10/31/2013,10/31/2013,1,62,50,1,0,Construct,,,,
A,TRF3,SW,10,ATRF3SW10,ATRF3SW10,10/31/2013,10/31/2013,1,96,50,1,19,Construct,,,,
A,TRF3,NW,09,ATRF3NW09,ATRF3NW09,11/19/2013,11/19/2013,1,66,65,1,0,Construct,,,,
A,TRF3,SL,04a,ATRF3SL04a,ATRF3SL04a,11/19/2013,11/20/2013,2,352,325,2,-1,Construct,Code 03.,"Lift ""04"" will be separated in ""04a"", ""04b"" and ""04c"", all quantities will be assigned to ""04a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,04b,ATRF3SL04b,ATRF3SL04b,11/19/2013,11/20/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""04"" will be separated in ""04a"", ""04b"" and ""04c"", all quantities will be assigned to ""04a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,04c,ATRF3SL04c,ATRF3SL04c,11/19/2013,11/20/2013,2,0,0,0,6,Construct,Code 03.,"Lift ""04"" will be separated in ""04a"", ""04b"" and ""04c"", all quantities will be assigned to ""04a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SW,09,ATRF3SW09,ATRF3SW09,11/26/2013,11/26/2013,1,74,65,1,15,Construct,,,,
A,TRF3,NW,08,ATRF3NW08,ATRF3NW08,12/11/2013,12/11/2013,1,54,45,1,2,Construct,,,,
A,TRF3,SW,08,ATRF3SW08,ATRF3SW08,12/13/2013,12/13/2013,1,48,45,1,24,Construct,,,,
A,TRF3,SL,03a,ATRF3SL03a,ATRF3SL03a,01/06/2014,01/06/2014,1,403,395,1,0,Construct,Code 03.,"Lift ""03"" will be separated in ""03a"", ""03b"" and ""03c"", all quantities will be assigned to ""03a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,03b,ATRF3SL03b,ATRF3SL03b,01/06/2014,01/06/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""03"" will be separated in ""03a"", ""03b"" and ""03c"", all quantities will be assigned to ""03a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,03c,ATRF3SL03c,ATRF3SL03c,01/06/2014,01/06/2014,1,0,0,0,4,Construct,Code 03.,"Lift ""03"" will be separated in ""03a"", ""03b"" and ""03c"", all quantities will be assigned to ""03a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SW,07,ATRF3SW07,ATRF3SW07,01/10/2014,01/10/2014,1,42,50,1,1,Construct,,,,
A,TRF3,NW,07,ATRF3NW07,ATRF3NW07,01/11/2014,01/11/2014,1,60,50,1,47,Construct,,,,
A,TRF3,SW,06,ATRF3SW06,ATRF3SW06,02/27/2014,02/27/2014,1,52,50,1,7,Construct,,,,
A,TRF3,NW,06,ATRF3NW06,ATRF3NW06,03/06/2014,03/06/2014,1,64,50,1,7,Construct,,,,
A,TRF3,SW,05,ATRF3SW05,ATRF3SW05,03/13/2014,03/13/2014,1,38,50,1,7,Construct,,,,
A,TRF3,SL,01a,ATRF3SL01a,ATRF3SL01a,03/20/2014,03/21/2014,2,697,725,2,-1,Construct,Code 03.,"Lift ""02-01"" will be separated in ""01a"", ""01b"" and ""01c"", ""02a"", ""02b"", ""02c"",  all quantities will be assigned to ""01a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,01b,ATRF3SL01b,ATRF3SL01b,03/20/2014,03/21/2014,2,0,0,0,-1,Construct,Code 03.,"Lift ""02-01"" will be separated in ""01a"", ""01b"" and ""01c"", ""02a"", ""02b"", ""02c"",  all quantities will be assigned to ""01a""",Code 03a.,A-P-S-6120-0002
A,TRF3,SL,01c,ATRF3SL01c,ATRF3SL01c,03/20/2014,03/21/2014,2,0,0,0,-1,Construct,Code 03.,"Lift ""02-01"" will be separated in ""01a"", ""01b"" and ""01c"", ""02a"", ""02b"", ""02c"",  all quantities will be assigned to ""01a""",Code 03a.,A-P-S-6120-0002
