Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Drawing,
A,CC1,A,05,ACC1A05,ACC1A05,10/27/2011,11/16/2011,21,820,835,2,26,Construct,Code 02.,"Joining ""05b"" with ""05"". All quantities are assigned to ""05"".",Code 02a.,A-P-S-5206-0001,
A,CC1,A,04a,ACC1A04a,ACC1A04a,12/12/2011,12/12/2011,1,168,154,1,2,Construct,,,,,
A,CC1,A,04b,ACC1A04b,ACC1A04b,12/14/2011,12/14/2011,1,168,154,1,28,Construct,,,,,
A,CC1,A,03b,ACC1A03b,ACC1A03b,01/11/2012,01/11/2012,1,176,160,1,0,Construct,,,,,
A,CC1,A,03a,ACC1A03a,ACC1A03a,01/11/2012,01/12/2012,2,184,160,2,-53,Construct,,,,,
A,CC1,B,05,ACC1B05,ACC1B05,11/20/2011,01/30/2012,72,590,585,4,-5,Construct,,,,,
A,CC1,B,04a,ACC1B04a,ACC1B04a,01/25/2012,01/25/2012,1,72,75,1,1,Construct,,,,,
A,CC1,B,04b,ACC1B04b,ACC1B04b,01/26/2012,01/26/2012,1,138,133,1,12,Construct,,,,,
A,CC1,B,03b,ACC1B03b,ACC1B03b,02/07/2012,02/07/2012,1,124,114,1,2,Construct,,,,,
A,CC1,B,04c,ACC1B04c,ACC1B04c,02/09/2012,02/09/2012,1,63,72,1,6,Construct,,,,,
A,CC1,B,03a,ACC1B03a,ACC1B03a,02/15/2012,02/15/2012,1,72,64,1,3,Construct,,,,,
A,CC1,B,03c,ACC1B03c,ACC1B03c,02/18/2012,02/18/2012,1,57,62,1,25,Construct,,,,,
A,CC1,B,02,ACC1B02,ACC1B02,03/14/2012,03/14/2012,1,527,527,1,12,Construct,,,,,
A,CC1,B,01,ACC1B01,ACC1B01,03/26/2012,03/28/2012,3,764,715,3,-176,Construct,,,,,
A,CC1,C,05,ACC1C05,ACC1C05,10/04/2011,10/17/2011,14,640,624,2,40,Construct,,,,,
A,CC1,C,04a,ACC1C04a,ACC1C04a,11/26/2011,11/26/2011,1,64,68,1,3,Construct,,,,,
A,CC1,C,04c,ACC1C04c,ACC1C04c,11/29/2011,11/29/2011,1,72,75,1,1,Construct,,,,,
A,CC1,C,04b,ACC1C04b,ACC1C04b,11/30/2011,11/30/2011,1,140,132,1,9,Construct,,,,,
A,CC1,C,03a,ACC1C03a,ACC1C03a,12/09/2011,12/09/2011,1,64,59,1,6,Construct,,,,,
A,CC1,C,03c,ACC1C03c,ACC1C03c,12/15/2011,12/15/2011,1,72,65,1,5,Construct,,,,,
A,CC1,C,03b,ACC1C03b,ACC1C03b,12/20/2011,12/20/2011,1,128,114,1,72,Construct,,,,,
A,CC1,C,02,ACC1C02,ACC1C02,03/01/2012,03/02/2012,2,497,754,2,17,Construct,,,,,
A,CC1,C,01,ACC1C01,ACC1C01,03/19/2012,03/19/2012,1,792,578,1,116,Construct,,,,,
A,CC1,D,05,ACC1D05,ACC1D05,07/13/2012,08/24/2012,43,892,844,4,5,Construct,Code 02.,"Joining ""05a"" ""05c"" with ""05"". All quantities are assigned to ""05"".",Code 02a.,A-P-S-5217-0001,
A,CC1,D,04b,ACC1D04b,ACC1D04b,08/29/2012,08/30/2012,2,72,70,2,1,Construct,,,,,
A,CC1,D,04a,ACC1D04a,ACC1D04a,08/31/2012,08/31/2012,1,80,70,1,6,Construct,,,,,
A,CC1,D,03a,ACC1D03a,ACC1D03a,09/06/2012,09/06/2012,1,64,60,1,0,Construct,,,,,
A,CC1,D,03b,ACC1D03b,ACC1D03b,09/06/2012,09/06/2012,1,76,60,1,4,Construct,,,,,
