Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Drawing
A,CC2,A,5,ACC2A05,ACC2A05,09/13/2011,09/14/2011,2,836,835,2,17,Construct,.,,,
A,CC2,A,04b,ACC2A04b,ACC2A04b,10/01/2011,10/01/2011,1,172,154,1,19,Construct,,,,
A,CC2,A,03b,ACC2A03b,ACC2A03b,10/20/2011,10/20/2011,1,168,160,1,12,Construct,,,,
A,CC2,A,04a,ACC2A04a,ACC2A04a,11/01/2011,11/01/2011,1,160,154,1,14,Construct,,,,
A,CC2,A,03a,ACC2A03a,ACC2A03a,11/15/2011,11/15/2011,1,168,160,1,-38,Construct,,,,
A,CC2,B,5,ACC2B05,ACC2B05,10/08/2011,11/17/2011,41,606,585,3,-19,Construct,Code 02.,"Joining ""05c"" with ""05"". All quantities are assingned to ""W03""",Code 02a.,A-P-S-5306-0001
A,CC2,B,04a,ACC2B04a,ACC2B04a,10/29/2011,10/29/2011,1,72,75,1,1,Construct,,,,
A,CC2,B,04b,ACC2B04b,ACC2B04b,10/30/2011,10/30/2011,1,136,133,1,117,Construct,,,,
A,CC2,B,03b,ACC2B03b,ACC2B03b,02/24/2012,02/24/2012,1,128,114,1,4,Construct,,,,
A,CC2,B,03a,ACC2B03a,ACC2B03a,02/28/2012,02/28/2012,1,72,64,1,7,Construct,,,,
A,CC2,B,04c,ACC2B04c,ACC2B04c,03/06/2012,03/06/2012,1,72,72,1,9,Construct,,,,
A,CC2,B,03c,ACC2B03c,ACC2B03c,03/15/2012,03/15/2012,1,72,62,1,14,Construct,,,,
A,CC2,B,2,ACC2B02,ACC2B02,03/29/2012,03/30/2012,2,504,504,2,11,Construct,,,,
A,CC2,B,1,ACC2B01,ACC2B01,04/10/2012,04/10/2012,1,750,738,1,-229,Construct,,,,
A,CC2,C,5,ACC2C05,ACC2C05,08/25/2011,08/25/2011,1,600,624,1,23,Construct,,,,
A,CC2,C,04b,ACC2C04b,ACC2C04b,09/17/2011,09/17/2011,1,136,132,1,7,Construct,,,,
A,CC2,C,03b,ACC2C03b,ACC2C03b,09/24/2011,09/24/2011,1,128,114,1,12,Construct,,,,
A,CC2,C,04a,ACC2C04a,ACC2C04a,10/06/2011,10/06/2011,1,64,68,1,7,Construct,,,,
A,CC2,C,03a,ACC2C03a,ACC2C03a,10/13/2011,10/13/2011,1,66,59,1,13,Construct,,,,
