Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,CU1,1E,04,ACU11E04,ACU11E04,06/19/2012,06/19/2012,1,503,463,1,20,Construct,.,,,
A,CU1,1E,03aN,ACU11E03aN,ACU11E03aN,07/09/2012,07/09/2012,1,84,72,1,1,Construct,,,,
A,CU1,1E,03cN,ACU11E03cN,ACU11E03cN,07/10/2012,07/10/2012,1,86,72,1,1,Construct,,,,
A,CU1,1E,03bN,ACU11E03bN,ACU11E03bN,07/11/2012,07/11/2012,1,72,72,1,7,Construct,,,,
A,CU1,1E,03cS,ACU11E03cS,ACU11E03cS,07/18/2012,07/18/2012,1,80,72,1,-28,Construct,,,,
A,CU1,1E,03bS,ACU11E03bS,ACU11E03bS,06/20/2012,06/20/2012,1,0,0,0,34,Construct,Code 01.,"A new row was created under the name ""03b-S"" with 0 quantities, and the date of the previous lift plus one day.",Code 01a.,A-P-S-5620-0002
A,CU1,1E,03aS,ACU11E03aS,ACU11E03aS,07/24/2012,07/24/2012,1,72,72,1,216,Construct,,,,
A,CU1,2E,16,ACU12E16,ACU12E16,02/25/2013,02/26/2013,2,96,65,2,10,Construct,,,,
A,CU1,2E,15,ACU12E15,ACU12E15,03/08/2013,03/08/2013,1,80,68,1,14,Construct,,,,
A,CU1,2E,14,ACU12E14,ACU12E14,03/22/2013,03/23/2013,2,392,419,2,151,Construct,,,,
A,CU1,2E,13b,ACU12E13b,ACU12E13b,08/21/2013,08/22/2013,2,158,139,2,5,Construct,,,,
A,CU1,2E,13a,ACU12E13a,ACU12E13a,08/27/2013,08/28/2013,2,230,218,2,7,Construct,,,,
A,CU1,2E,12b,ACU12E12b,ACU12E12b,09/04/2013,09/05/2013,2,162,151,2,6,Construct,,,,
A,CU1,2E,12a,ACU12E12a,ACU12E12a,09/11/2013,09/11/2013,1,245,206,1,12,Construct,,,,
A,CU1,2E,11,ACU12E11,ACU12E11,09/23/2013,09/23/2013,1,175,152,1,10,Construct,,,,
A,CU1,2E,10,ACU12E10,ACU12E10,10/03/2013,10/03/2013,1,269,245,1,9,Construct,,,,
A,CU1,2E,09,ACU12E09,ACU12E09,10/12/2013,10/14/2013,3,304,338,4,7,Construct,,,,
A,CU1,2E,08,ACU12E08,ACU12E08,10/21/2013,10/22/2013,2,316,163,2,9,Construct,,,,
A,CU1,2E,07,ACU12E07,ACU12E07,10/31/2013,11/01/2013,2,232,174,2,27,Construct,,,,
A,CU1,2E,06,ACU12E06,ACU12E06,11/28/2013,11/29/2013,2,245,174,2,15,Construct,,,,
A,CU1,2E,05,ACU12E05,ACU12E05,12/14/2013,12/14/2013,1,193,174,1,70,Construct,,,,
A,CU1,2E,04,ACU12E04,ACU12E04,02/22/2014,02/22/2014,1,118,110,1,16,Construct,,,,
A,CU1,2E,03,ACU12E03,ACU12E03,03/10/2014,03/10/2014,1,119,110,1,19,Construct,,,,
A,CU1,2E,02b,ACU12E02b,ACU12E02b,03/29/2014,03/29/2014,1,0,0,0,-1,Construct,Code 03.," Lift ""02"" will be separated into ""02a"" and ""02b"".  All quantities will be assigned to ""02a"".",Code 03a.,A-P-S-5623-0002
A,CU1,2E,02a,ACU12E02a,ACU12E02a,03/28/2014,03/28/2014,1,132,97,1,293,Construct,Code 03.," Lift ""02"" will be separated into ""02a"" and ""02b"".  All quantities will be assigned to ""02a"".",Code 03a.,A-P-S-5623-0002
A,CU1,2E,01,ACU12E01,ACU12E01,01/15/2015,01/15/2015,1,44,40,1,37,Construct,Code 05.,"Lift ""W01"" will be renamed as ""01"".",Code 05a.,A-P-S-5623-0002
A,CU1,2E,IWS,ACU12EIWS,ACU12EIWS,02/21/2015,06/03/2015,103,189,197,16,-1409,Construct,Code 08.,"Several lifts corresponding to internal walls and stairs were joined as ""IWS"" of monolith 2E.",Code 08a.,A-P-S-5623-0002
A,CU1,C,04b,ACU1C04b,ACU1C04b,07/25/2011,07/25/2011,1,128,111,1,10,Construct,,,,
A,CU1,C,04a,ACU1C04a,ACU1C04a,08/04/2011,08/04/2011,1,128,111,1,309,Construct,,,,
A,CU1,C,04c,ACU1C04c,ACU1C04c,06/08/2012,06/08/2012,1,139,111,1,39,Construct,,,,
A,CU1,C,04d,ACU1C04d,ACU1C04d,07/17/2012,07/17/2012,1,104,111,1,-344,Construct,,,,
A,CU1,C,03bN,ACU1C03bN,ACU1C03bN,08/08/2011,08/08/2011,1,72,60,1,4,Construct,,,,
A,CU1,C,03bS,ACU1C03bS,ACU1C03bS,08/12/2011,07/26/2012,350,165,60,2,-341,Construct,,,,
A,CU1,C,03aN,ACU1C03aN,ACU1C03aN,08/20/2011,08/20/2011,1,64,60,1,7,Construct,,,,
A,CU1,C,03aS,ACU1C03aS,ACU1C03aS,08/27/2011,08/27/2011,1,64,60,1,7,Construct,,,,
A,CU1,C,02b,ACU1C02b,ACU1C02b,09/03/2011,09/03/2011,1,160,159,1,3,Construct,,,,
A,CU1,C,02a,ACU1C02a,ACU1C02a,09/06/2011,09/06/2011,1,170,160,1,289,Construct,,,,
A,CU1,C,03cS,ACU1C03cS,ACU1C03cS,06/21/2012,06/21/2012,1,104,60,1,5,Construct,,,,
A,CU1,C,03cN,ACU1C03cN,ACU1C03cN,06/26/2012,06/26/2012,1,64,60,1,24,Construct,,,,
A,CU1,C,03dN,ACU1C03dN,ACU1C03dN,07/20/2012,07/20/2012,1,72,60,1,6,Construct,,,,
A,CU1,C,03dS,ACU1C03dS,ACU1C03dS,07/26/2012,07/26/2012,1,93,60,1,29,Construct,,,,
A,CU1,C,02c,ACU1C02c,ACU1C02c,08/24/2012,08/24/2012,1,152,159,1,18,Construct,,,,
A,CU1,C,02d,ACU1C02d,ACU1C02d,09/11/2012,09/12/2012,2,176,160,2,5,Construct,,,,
A,CU1,C,01d,ACU1C01d,ACU1C01d,09/17/2012,09/17/2012,1,136,150,1,-17,Construct,,,,
A,CU1,C,01c,ACU1C01c,ACU1C01c,08/31/2012,08/31/2012,1,152,149,1,-356,Construct,,,,
A,CU1,C,01b,ACU1C01b,ACU1C01b,09/10/2011,09/10/2011,1,148,149,1,6,Construct,,,,
A,CU1,C,01a,ACU1C01a,ACU1C01a,09/16/2011,09/16/2011,1,148,150,1,-50,Construct,,,,
A,CU1,1W,04,ACU11W04,ACU11W04,07/28/2011,07/28/2011,1,472,463,1,18,Construct,,,,
A,CU1,1W,03aN,ACU11W03aN,ACU11W03aN,08/15/2011,08/15/2011,1,72,72,1,4,Construct,,,,
A,CU1,1W,03cN,ACU11W03cN,ACU11W03cN,08/19/2011,08/19/2011,1,76,72,1,3,Construct,,,,
A,CU1,1W,03bS,ACU11W03bS,ACU11W03bS,08/22/2011,08/22/2011,1,80,72,1,1,Construct,,,,
A,CU1,1W,03bN,ACU11W03bN,ACU11W03bN,08/23/2011,08/23/2011,1,72,72,1,2,Construct,,,,
A,CU1,1W,03cS,ACU11W03cS,ACU11W03cS,08/25/2011,08/25/2011,1,88,72,1,0,Construct,,,,
A,CU1,1W,03aS,ACU11W03aS,ACU11W03aS,08/25/2011,08/25/2011,1,74,72,1,-34,Construct,,,,
A,CU1,2W,16,ACU12W16,ACU12W16,07/22/2011,07/22/2011,1,124,65,1,6,Construct,,,,
A,CU1,2W,15,ACU12W15,ACU12W15,07/28/2011,07/28/2011,1,94,68,1,20,Construct,,,,
A,CU1,2W,14,ACU12W14,ACU12W14,08/17/2011,08/17/2011,1,447,419,1,44,Construct,,,,
A,CU1,2W,13b,ACU12W13b,ACU12W13b,09/30/2011,09/30/2011,1,162,139,1,5,Construct,,,,
A,CU1,2W,13a,ACU12W13a,ACU12W13a,10/05/2011,10/05/2011,1,232,218,1,62,Construct,,,,
A,CU1,2W,12b,ACU12W12b,ACU12W12b,12/06/2011,12/15/2011,10,160,151,2,8,Construct,,,,
A,CU1,2W,12a,ACU12W12a,ACU12W12a,12/23/2011,12/23/2011,1,224,206,1,89,Construct,,,,
A,CU1,2W,11,ACU12W11,ACU12W11,03/21/2012,03/21/2012,1,175,152,1,14,Construct,,,,
