Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,UE,M01,F02,AUEM01F02,AUEM01F02,05/09/2012,05/09/2012,1,491,450,1,12,Construct,.,,,
A,UE,M01,F01,AUEM01F01,AUEM01F01,05/21/2012,05/30/2013,375,498,450,3,-117,Construct,Code 02.,"Joining ""F01a"" and ""F01c"" under the name of ""F01""",Code 02a.,A-P-S-1670-0002
A,UE,M01,C13,AUEM01C13,AUEM01C13,02/02/2013,02/02/2013,1,424,430,1,23,Construct,,,,
A,UE,M01,C12,AUEM01C12,AUEM01C12,02/25/2013,02/25/2013,1,240,260,1,14,Construct,,,,
A,UE,M01,C11,AUEM01C11,AUEM01C11,03/11/2013,03/12/2013,2,759,760,2,22,Construct,,,,
A,UE,M01,C10,AUEM01C10,AUEM01C10,04/03/2013,04/04/2013,2,488,399,2,5,Construct,,,,
A,UE,M01,C09,AUEM01C09,AUEM01C09,04/09/2013,04/10/2013,2,184,200,2,145,Construct,,,,
A,UE,M01,C08b,AUEM01C08b,AUEM01C08b,09/02/2013,09/03/2013,2,179,149,2,1,Construct,,,,
A,UE,M01,C08a,AUEM01C08a,AUEM01C08a,09/04/2013,09/04/2013,1,39,30,1,27,Construct,,,,
A,UE,M01,C07b,AUEM01C07b,AUEM01C07b,10/01/2013,10/02/2013,2,532,488,2,5,Construct,,,,
A,UE,M01,C07a,AUEM01C07a,AUEM01C07a,10/07/2013,10/07/2013,1,99,98,1,1,Construct,,,,
A,UE,M01,C06b,AUEM01C06b,AUEM01C06b,10/08/2013,10/09/2013,2,479,466,2,2,Construct,,,,
A,UE,M01,C06a,AUEM01C06a,AUEM01C06a,10/11/2013,10/11/2013,1,84,96,1,3,Construct,,,,
A,UE,M01,C05b,AUEM01C05b,AUEM01C05b,10/14/2013,10/14/2013,1,336,280,1,0,Construct,,,,
A,UE,M01,C05a,AUEM01C05a,AUEM01C05a,10/14/2013,10/15/2013,2,54,67,2,11,Construct,,,,
A,UE,M01,C04,AUEM01C04,AUEM01C04,10/26/2013,10/26/2013,1,255,225,1,11,Construct,,,,
A,UE,M01,C03,AUEM01C03,AUEM01C03,11/06/2013,11/07/2013,2,453,452,2,6,Construct,,,,
A,UE,M01,C02,AUEM01C02,AUEM01C02,11/13/2013,11/14/2013,2,437,460,2,7,Construct,,,,
A,UE,M01,C01,AUEM01C01,AUEM01C01,11/21/2013,11/22/2013,2,292,312,2,6,Construct,,,,
A,UE,M01,W08,AUEM01W08,AUEM01W08,11/28/2013,11/28/2013,1,86,72,1,7,Construct,,,,
A,UE,M01,W07,AUEM01W07,AUEM01W07,12/05/2013,12/05/2013,1,188,194,1,14,Construct,,,,
A,UE,M01,W06,AUEM01W06,AUEM01W06,12/19/2013,12/19/2013,1,408,423,1,35,Construct,,,,
