Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,FS,U01,D,AFSU01D,AFSU01D,07/25/2011,07/25/2011,1,120,101,1,4,Construct,.,(Please see note at the bottom of the table),,
A,FS,U01,H,AFSU01H,AFSU01H,07/29/2011,07/29/2011,1,96,101,1,2,Construct,,,,
A,FS,U01,C,AFSU01C,AFSU01C,07/31/2011,07/31/2011,1,112,101,1,5,Construct,,,,
A,FS,U01,G,AFSU01G,AFSU01G,08/05/2011,08/05/2011,1,101,101,1,297,Construct,,,,
A,FS,U01,B,AFSU01B,AFSU01B,05/28/2012,05/28/2012,1,128,101,1,1,Construct,,,,
A,FS,U01,F,AFSU01F,AFSU01F,05/29/2012,05/29/2012,1,112,101,1,22,Construct,,,,
A,FS,U01,A,AFSU01A,AFSU01A,06/20/2012,06/21/2012,2,116,101,2,2,Construct,,,,
A,FS,U01,E,AFSU01E,AFSU01E,06/23/2012,06/23/2012,1,100,101,1,-334,Construct,,,,
A,FS,U02,D,AFSU02D,AFSU02D,07/25/2011,07/25/2011,1,106,96,1,5,Construct,,,,
A,FS,U02,H,AFSU02H,AFSU02H,07/30/2011,08/17/2011,19,120,96,2,-16,Construct,,,,
A,FS,U02,C,AFSU02C,AFSU02C,08/01/2011,08/01/2011,1,96,96,1,19,Construct,,,,
A,FS,U02,G,AFSU02G,AFSU02G,08/20/2011,08/20/2011,1,96,96,1,275,Construct,,,,
A,FS,U02,F,AFSU02F,AFSU02F,05/21/2012,05/22/2012,2,120,96,2,1,Construct,,,,
A,FS,U02,B,AFSU02B,AFSU02B,05/23/2012,05/24/2012,2,97,96,2,27,Construct,,,,
A,FS,U02,A,AFSU02A,AFSU02A,06/20/2012,06/30/2012,11,173,192,2,-1,Construct,,,,
A,FS,U02,E,AFSU02E,AFSU02E,06/29/2012,06/29/2012,1,16,96,1,-342,Construct,,,,
A,FS,U03,D,AFSU03D,AFSU03D,07/23/2011,07/23/2011,1,108,96,1,6,Construct,,,,
A,FS,U03,H,AFSU03H,AFSU03H,07/29/2011,07/29/2011,1,96,96,1,2,Construct,,,,
A,FS,U03,C,AFSU03C,AFSU03C,07/31/2011,07/31/2011,1,102,96,1,20,Construct,,,,
A,FS,U03,G,AFSU03G,AFSU03G,08/20/2011,08/20/2011,1,96,96,1,278,Construct,,,,
A,FS,U03,B,AFSU03B,AFSU03B,05/24/2012,05/24/2012,1,94,96,1,4,Construct,,,,
A,FS,U03,F,AFSU03F,AFSU03F,05/28/2012,05/28/2012,1,84,96,1,29,Construct,,,,
A,FS,U03,A,AFSU03A,AFSU03A,06/26/2012,06/26/2012,1,98,96,1,2,Construct,,,,
A,FS,U03,E,AFSU03E,AFSU03E,06/28/2012,06/28/2012,1,96,96,1,-342,Construct,,,,
