Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,UW,M01,F03,AUWM01F03,AUWM01F03,10/11/2011,10/11/2011,1,302,306,1,13,Construct,.,,,
A,UW,M01,F02B,AUWM01F02b,AUWM01F02b,10/24/2011,10/24/2011,1,572,572,1,14,Construct,,,,
A,UW,M01,F02a,AUWM01F02a,AUWM01F02a,11/07/2011,11/14/2011,8,520,463,3,5,Construct,Code 02.,"Joining ""F02"" and ""F02A"" under the name of ""F02a"".",Code 02a.,A-P-S-1200-0001
A,UW,M01,F01B,AUWM01F01b,AUWM01F01b,11/19/2011,11/24/2011,6,642,642,2,72,Construct,,,,
A,UW,M01,C05b,AUWM01C05b,AUWM01C05b,02/04/2012,02/05/2012,2,460,460,2,25,Construct,,,,
A,UW,M01,C04b,AUWM01C04b,AUWM01C04b,03/01/2012,05/22/2012,83,508,508,2,-67,Construct,,,,
A,UW,M01,F01a,AUWM01F01a,AUWM01F01a,03/16/2012,03/16/2012,1,64,103,1,73,Construct,,,,
A,UW,M01,C05a,AUWM01C05a,AUWM01C05a,05/28/2012,05/28/2012,1,112,93,1,21,Construct,,,,
A,UW,M01,C03b,AUWM01C03b,AUWM01C03b,06/18/2012,06/18/2012,1,182,200,1,0,Construct,,,,
A,UW,M01,C03a,AUWM01C03a,AUWM01C03a,06/18/2012,06/18/2012,1,136,66,1,0,Construct,Code 03.,"Lift ""C04&03a"" will be divided into ""C04a"" and ""C03a"".  All quantities will be assigned to C03a",Code 03a.,A-P-S-1201-0002
A,UW,M01,C04a,AUWM01C04a,AUWM01C04a,06/18/2012,06/18/2012,1,0,0,0,3,Construct,Code 03.,"Lift ""C04&03a"" will be divided into ""C04a"" and ""C03a"".  All quantities will be assigned to C03a",Code 03a.,A-P-S-1201-0002
A,UW,M01,C02,AUWM01C02,AUWM01C02,06/21/2012,01/12/2013,206,371,357,3,19,Construct,,,,
A,UW,M01,C01,AUWM01C01,AUWM01C01,01/31/2013,02/01/2013,2,1040,1061,2,17,Construct,,,,
A,UW,M01,W08,AUWM01W08,AUWM01W08,02/18/2013,02/18/2013,1,200,212,1,7,Construct,,,,
A,UW,M01,W07,AUWM01W07,AUWM01W07,02/25/2013,02/25/2013,1,424,396,1,23,Construct,,,,
A,UW,M01,W06,AUWM01W06,AUWM01W06,03/20/2013,03/20/2013,1,364,403,1,14,Construct,,,,
A,UW,M01,W05,AUWM01W05,AUWM01W05,04/03/2013,04/03/2013,1,360,348,1,34,Construct,,,,
