Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,VS1,,C05a1,AVS1C05a1,AVS1C05a1,01/30/2013,01/30/2013,1,176,174,1,2,Construct,.,,,
A,VS1,,C05a3,AVS1C05a3,AVS1C05a3,02/01/2013,02/01/2013,1,184,174,1,3,Construct,,,,
A,VS1,,C05a2,AVS1C05a2,AVS1C05a2,02/04/2013,02/05/2013,2,176,168,2,15,Construct,,,,
A,VS1,,C04a3,AVS1C04a3,AVS1C04a3,02/20/2013,02/21/2013,2,252,270,2,1,Construct,Code 02.,"Joining lifts ""C04b3"" and ""C04b3(kicker)"" under the name of ""C04b3"".",Code 02a.,A-P-S-6700-0003
A,VS1,,C04a1,AVS1C04a1,AVS1C04a1,02/22/2013,02/22/2013,1,264,174,1,8,Construct,,,,
A,VS1,,C04a2,AVS1C04a2,AVS1C04a2,03/02/2013,03/02/2013,1,256,260,1,59,Construct,,,,
A,VS1,,C03a1,AVS1C03a1,AVS1C03a1,04/30/2013,04/30/2013,1,64,59,1,2,Construct,,,,
A,VS1,,C03a2,AVS1C03a2,AVS1C03a2,05/02/2013,05/02/2013,1,80,71,1,5,Construct,,,,
A,VS1,,C03a3,AVS1C03a3,AVS1C03a3,05/07/2013,05/07/2013,1,72,71,1,11,Construct,,,,
A,VS1,,C03a4,AVS1C03a4,AVS1C03a4,05/18/2013,05/18/2013,1,88,71,1,19,Construct,,,,
A,VS1,,C03a5,AVS1C03a5,AVS1C03a5,06/06/2013,06/06/2013,1,88,75,1,18,Construct,,,,
A,VS1,,C03a6,AVS1C03a6,AVS1C03a6,06/24/2013,06/24/2013,1,85,82,1,9,Construct,,,,
A,VS1,,C03a7,AVS1C03a7,AVS1C03a7,07/03/2013,07/03/2013,1,73,59,1,-37,Construct,,,,
A,VS1,,C02a1,AVS1C02a1,AVS1C02a1,05/27/2013,05/27/2013,1,64,52,1,3,Construct,,,,
A,VS1,,C02a2,AVS1C02a2,AVS1C02a2,05/30/2013,05/30/2013,1,80,74,1,16,Construct,,,,
A,VS1,,C02a3,AVS1C02a3,AVS1C02a3,06/15/2013,06/15/2013,1,88,74,1,14,Construct,,,,
A,VS1,,C02a4,AVS1C02a4,AVS1C02a4,06/29/2013,06/29/2013,1,87,74,1,9,Construct,,,,
A,VS1,,C02a5,AVS1C02a5,AVS1C02a5,07/08/2013,07/08/2013,1,84,74,1,8,Construct,,,,
A,VS1,,C02a7,AVS1C02a7,AVS1C02a7,07/16/2013,07/16/2013,1,64,52,1,2,Construct,,,,
