Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
A,VS2,,C05a3,AVS2C05a3,AVS2C05a3,07/24/2012,07/24/2012,1,158,174,1,2,Construct,.,,,,
A,VS2,,C05a1,AVS2C05a1,AVS2C05a1,07/26/2012,07/26/2012,1,168,174,1,5,Construct,,,,,
A,VS2,,C05a2,AVS2C05a2,AVS2C05a2,07/31/2012,08/01/2012,2,167,168,2,69,Construct,,,,,
A,VS2,,C04a3,AVS2C04a3,AVS2C04a3,10/09/2012,10/09/2012,1,260,270,1,7,Construct,,,,,
A,VS2,,C04a1,AVS2C04a1,AVS2C04a1,10/16/2012,10/17/2012,2,240,270,2,15,Construct,,,,,
A,VS2,,C04a2,AVS2C04a2,AVS2C04a2,11/01/2012,11/01/2012,1,224,260,1,124,Construct,,,,,
A,VS2,,C03a7,AVS2C03a7,AVS2C03a7,03/05/2013,03/05/2013,1,96,51,1,3,Construct,,,,,
A,VS2,,C03a1,AVS2C03a1,AVS2C03a1,03/08/2013,03/08/2013,1,64,51,1,4,Construct,,,,,
A,VS2,,C03a5,AVS2C03a5,AVS2C03a5,03/12/2013,03/12/2013,1,80,71,1,6,Construct,,,,,
A,VS2,,C03a6,AVS2C03a6,AVS2C03a6,03/18/2013,03/18/2013,1,72,82,1,4,Construct,,,,,
A,VS2,,C03a4,AVS2C03a4,AVS2C03a4,03/22/2013,03/22/2013,1,88,71,1,6,Construct,,,,,
A,VS2,,C03a3,AVS2C03a3,AVS2C03a3,03/28/2013,03/28/2013,1,80,82,1,6,Construct,,,,,
A,VS2,,C03a2,AVS2C03a2,AVS2C03a2,04/03/2013,04/03/2013,1,80,82,1,-20,Construct,,,,,
A,VS2,,C02a7,AVS2C02a7,AVS2C02a7,03/14/2013,03/14/2013,1,52,52,1,7,Construct,,,,,
A,VS2,,C02a5,AVS2C02a5,AVS2C02a5,03/21/2013,03/21/2013,1,80,74,1,5,Construct,,,,,
A,VS2,,C02a6,AVS2C02a6,AVS2C02a6,03/26/2013,03/26/2013,1,72,74,1,6,Construct,,,,,
A,VS2,,C02a1,AVS2C02a1,AVS2C02a1,04/01/2013,04/01/2013,1,48,52,1,2,Construct,,,,,
A,VS2,,C02a4,AVS2C02a4,AVS2C02a4,04/03/2013,04/03/2013,1,72,74,1,1,Construct,,,,,
A,VS2,,C02a3,AVS2C02a3,AVS2C02a3,04/04/2013,04/04/2013,1,88,74,1,6,Construct,,,,,
A,VS2,,C02a2,AVS2C02a2,AVS2C02a2,04/10/2013,04/11/2013,2,72,74,2,48,Construct,,,,,
