Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M01,F05,PIWM01F05,PIWM01F05,03/19/2013,04/01/2013,14,3119,3119,9,0,Construct,Code 06.,"Lift ""F05"" does not exist in the RFC.",Code 06a.,P-P-S-4201-0002
P,IW,M01,F04,PIWM01F04,PIWM01F04,04/01/2013,04/09/2013,9,2404,2387,6,8,Construct,Code 06.,"Lift ""F04"" does not exist in the RFC.",Code 06a.,P-P-S-4201-0002
P,IW,M01,F03,PIWM01F03,PIWM01F03,04/17/2013,04/24/2013,8,2926,2926,8,138,Construct,Code 06.,"Lift ""F03"" does not exist in the RFC.",Code 06a.,P-P-S-4201-0002
P,IW,M01,F02,PIWM01F02,PIWM01F02,09/09/2013,09/10/2013,2,2047,2082,2,15,Construct,,,,
P,IW,M01,F01,PIWM01F01,PIWM01F01,09/25/2013,09/26/2013,2,1498,1543,2,61,Construct,,,,
P,IW,M01,C07,PIWM01C07,PIWM01C07,11/26/2013,11/26/2013,1,337,325,1,63,Construct,,,,
P,IW,M01,C06,PIWM01C06,PIWM01C06,01/28/2014,01/28/2014,1,323,324,1,48,Construct,,,,
P,IW,M01,C05,PIWM01C05,PIWM01C05,03/17/2014,03/17/2014,1,165,167,1,9,Construct,,,,
P,IW,M01,P1-03,PIWM01P1-03,PIWM01P1-03,03/26/2014,03/26/2014,1,89,82,1,64,Construct,,,,
P,IW,M01,C04,PIWM01C04,PIWM01C04,05/29/2014,07/24/2014,57,208,210,2,-42,Construct,Code 02.,"Joining ""C04a"" and ""C04b"" as ""C04"". ",Code 02a.,P-P-S-4202-0001
P,IW,M01,P1-02,PIWM01P1-02,PIWM01P1-02,06/12/2014,06/12/2014,1,78,81,1,14,Construct,,,,
P,IW,M01,P1-01,PIWM01P1-01,PIWM01P1-01,06/26/2014,06/26/2014,1,49,43,1,83,Construct,,,,
P,IW,M01,C03,PIWM01C03,PIWM01C03,09/17/2014,09/18/2014,2,203,221,2,16,Construct,,,,
