Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,CC5,A,05,PCC5A05,PCC5A05,02/19/2013,02/20/2013,2,1017,915,2,16,Construct,.,,,
P,CC5,A,04 b,PCC5A04b,PCC5A04b,03/08/2013,03/08/2013,1,305,175,1,10,Construct,,,,
P,CC5,A,03 b,PCC5A03b,PCC5A03b,03/18/2013,03/19/2013,2,304,152,2,-1,Construct,,,,
P,CC5,A,04 a,PCC5A04a,PCC5A04a,03/18/2013,03/18/2013,1,272,175,1,14,Construct,,,,
P,CC5,A,03 a,PCC5A03a,PCC5A03a,04/01/2013,04/01/2013,1,297,152,1,-5,Construct,,,,
P,CC5,B,05,PCC5B05,PCC5B05,03/27/2013,04/06/2013,11,713,572,4,17,Construct,Code 02,Joining 05 and 05a+b+c.  All quantities are assigned to 05.,Code 02a.,P-P-S-5455-0001
P,CC5,B,04 a,PCC5B04a,PCC5B04a,04/23/2013,04/23/2013,1,144,91,1,0,Construct,,,,
P,CC5,B,04 b,PCC5B04b,PCC5B04b,04/23/2013,04/23/2013,1,232,54,1,0,Construct,,,,
P,CC5,B,04 c,PCC5B04c,PCC5B04c,04/23/2013,04/23/2013,1,56,80,1,16,Construct,,,,
P,CC5,B,03 a,PCC5B03a,PCC5B03a,05/09/2013,05/10/2013,2,160,79,2,0,Construct,,,,
P,CC5,B,03 c,PCC5B03c,PCC5B03c,05/10/2013,05/10/2013,1,72,68,1,1,Construct,,,,
P,CC5,B,03 b,PCC5B03b,PCC5B03b,05/11/2013,05/11/2013,1,260,134,1,82,Construct,,,,
P,CC5,B,02,PCC5B02,PCC5B02,08/01/2013,08/02/2013,2,768,616,2,12,Construct,,,,
P,CC5,B,01,PCC5B01,PCC5B01,08/14/2013,08/15/2013,2,704,726,2,-149,Construct,,,,
P,CC5,C,05,PCC5C05,PCC5C05,03/19/2013,04/01/2013,14,665,569,3,11,Construct,Code 02,Joining 05 and 05a+b+c.  All quantities are assigned to 05.,Code 02a.,P-P-S-5458-0001
P,CC5,C,04 a,PCC5C04a,PCC5C04a,04/12/2013,04/13/2013,2,105,75,2,0,Construct,,,,
P,CC5,C,04 b,PCC5C04b,PCC5C04b,04/13/2013,04/13/2013,1,208,144,1,0,Construct,,,,
P,CC5,C,04 c,PCC5C04c,PCC5C04c,04/13/2013,04/13/2013,1,64,84,1,17,Construct,,,,
P,CC5,C,03 a,PCC5C03a,PCC5C03a,04/30/2013,04/30/2013,1,128,65,1,1,Construct,,,,
P,CC5,C,03 c,PCC5C03c,PCC5C03c,05/01/2013,05/01/2013,1,74,72,1,2,Construct,,,,
P,CC5,C,03 b,PCC5C03b,PCC5C03b,05/03/2013,05/03/2013,1,212,125,1,61,Construct,,,,
P,CC5,C,02,PCC5C02,PCC5C02,07/03/2013,07/04/2013,2,752,610,2,5,Construct,,,,
P,CC5,C,01,PCC5C01,PCC5C01,07/09/2013,07/10/2013,2,644,722,3,-134,Construct,,,,
P,CC5,D,05,PCC5D05,PCC5D05,02/26/2013,03/05/2013,8,871,763,3,8,Construct,Code 02,"Joining ""05"" and ""04a&b&c"" under the name of ""05"".",Code 02a.,P-P-S-5512-0001
P,CC5,D,04 a,PCC5D04a,PCC5D04a,03/13/2013,03/13/2013,1,80,77,1,0,Construct,,,,
P,CC5,D,04 c,PCC5D04c,PCC5D04c,03/13/2013,03/13/2013,1,306,338,1,1,Construct,,,,
P,CC5,D,04 b,PCC5D04b,PCC5D04b,03/14/2013,03/15/2013,2,80,77,2,7,Construct,,,,
P,CC5,D,03 c,PCC5D03c,PCC5D03c,03/22/2013,03/22/2013,1,318,295,1,1,Construct,,,,
P,CC5,D,03 a,PCC5D03a,PCC5D03a,03/23/2013,03/23/2013,1,96,66,1,5,Construct,,,,
P,CC5,D,03 b,PCC5D03b,PCC5D03b,03/28/2013,03/28/2013,1,72,66,1,71,Construct,,,,
P,CC5,D,02,PCC5D02,PCC5D02,06/07/2013,06/08/2013,2,1000,828,2,9,Construct,,,,
P,CC5,D,01,PCC5D01,PCC5D01,06/17/2013,06/17/2013,1,1032,972,1,-123,Construct,,,,
P,CC5,E,05,PCC5E05,PCC5E05,02/14/2013,02/14/2013,1,216,213,1,13,Construct,,,,
P,CC5,E,04 c,PCC5E04c,PCC5E04c,02/27/2013,02/27/2013,1,96,68,1,1,Construct,,,,
P,CC5,E,04 b,PCC5E04b,PCC5E04b,02/28/2013,03/12/2013,13,57,45,2,-3,Construct,,,,
P,CC5,E,03 c,PCC5E03c,PCC5E03c,03/09/2013,03/09/2013,1,72,59,1,13,Construct,,,,
P,CC5,E,03 b,PCC5E03b,PCC5E03b,03/22/2013,03/23/2013,2,72,39,2,13,Construct,,,,
P,CC5,E,02,PCC5E02,PCC5E02,04/05/2013,04/06/2013,2,232,227,2,6,Construct,,,,
P,CC5,E,01,PCC5E01,PCC5E01,04/12/2013,04/12/2013,1,264,270,1,-35,Construct,,,,
P,CC5,F,05,PCC5F05,PCC5F05,03/08/2013,03/08/2013,1,585,466,1,69,Construct,,,,
P,CC5,F,04,PCC5F04,PCC5F04,05/16/2013,05/16/2013,1,525,481,1,60,Construct,,,,
P,CC5,F,03,PCC5F03,PCC5F03,07/15/2013,07/16/2013,2,652,531,2,62,Construct,,,,
P,CC5,F,02,PCC5F02,PCC5F02,09/16/2013,09/16/2013,1,616,471,1,-244,Construct,,,,
P,CC5,G,05,PCC5G05,PCC5G05,01/15/2013,01/15/2013,1,64,53,1,3,Construct,,,,
P,CC5,G,04,PCC5G04,PCC5G04,01/18/2013,01/18/2013,1,32,30,1,7,Construct,,,,
P,CC5,G,03,PCC5G03,PCC5G03,01/25/2013,01/25/2013,1,82,64,1,11,Construct,,,,
P,CC5,G,02,PCC5G02,PCC5G02,02/05/2013,02/05/2013,1,65,56,1,9,Construct,,,,
P,CC5,G,01,PCC5G01,PCC5G01,02/14/2013,02/15/2013,2,88,56,2,-31,Construct,,,,
P,CC5,H,05,PCC5H05,PCC5H05,01/15/2013,01/15/2013,1,56,53,1,3,Construct,,,,
P,CC5,H,04,PCC5H04,PCC5H04,01/18/2013,01/18/2013,1,36,30,1,7,Construct,,,,
P,CC5,H,03,PCC5H03,PCC5H03,01/25/2013,01/25/2013,1,78,64,1,11,Construct,,,,
P,CC5,H,02,PCC5H02,PCC5H02,02/05/2013,02/05/2013,1,80,56,1,9,Construct,,,,
P,CC5,H,01,PCC5H01,PCC5H01,02/14/2013,02/14/2013,1,64,56,1,-16,Construct,,,,
P,CC5,I,05,PCC5I05,PCC5I05,01/29/2013,01/30/2013,2,277,213,2,16,Construct,,,,
P,CC5,I,04 c,PCC5I04c,PCC5I04c,02/15/2013,02/15/2013,1,108,68,2,14,Construct,Code 02,"Joining ""04b"" and ""04c"" under the name of ""04c"".",Code 02a.,P-P-S-5525-0001
P,CC5,I,03 c,PCC5I03c,PCC5I03c,03/01/2013,03/01/2013,1,80,59,1,0,Construct,,,,
P,CC5,I,04 a,PCC5I04a,PCC5I04a,03/01/2013,03/01/2013,1,46,45,1,6,Construct,,,,
P,CC5,I,03 a,PCC5I03a,PCC5I03a,03/07/2013,03/07/2013,1,37,39,1,8,Construct,,,,
P,CC5,I,02,PCC5I02,PCC5I02,03/15/2013,03/16/2013,2,240,227,2,7,Construct,,,,
P,CC5,I,01,PCC5I01,PCC5I01,03/23/2013,03/23/2013,1,280,270,1,-9,Construct,,,,
P,CC5,J,05,PCC5J05,PCC5J05,03/14/2013,03/14/2013,1,497,466,1,132,Construct,,,,
P,CC5,J,04,PCC5J04,PCC5J04,07/24/2013,07/25/2013,2,524,481,2,78,Construct,,,,
P,CC5,J,03,PCC5J03,PCC5J03,10/11/2013,10/12/2013,2,565,531,2,27,Construct,,,,
P,CC5,J,02,PCC5J02,PCC5J02,11/08/2013,11/09/2013,2,552,471,2,-291,Construct,,,,
P,CC5,K,05,PCC5K05,PCC5K05,01/22/2013,01/22/2013,1,64,53,1,8,Construct,,,,
P,CC5,K,04,PCC5K04,PCC5K04,01/30/2013,01/30/2013,1,40,30,1,8,Construct,,,,
P,CC5,K,03,PCC5K03,PCC5K03,02/07/2013,02/08/2013,2,104.64,64,2,17,Construct,Code 05.,"Lift ""3"" will be renamed as ""03"" to match the RFC.",Code 05a.,P-P-S-5532-0001
P,CC5,K,02,PCC5K02,PCC5K02,02/25/2013,02/25/2013,1,72,56,1,4,Construct,,,,
P,CC5,K,01,PCC5K01,PCC5K01,03/01/2013,03/01/2013,1,76,56,1,-38,Construct,,,,
P,CC5,L,05,PCC5L05,PCC5L05,01/22/2013,01/22/2013,1,97,53,1,8,Construct,,,,
P,CC5,L,04,PCC5L04,PCC5L04,01/30/2013,01/30/2013,1,40,30,1,9,Construct,,,,
P,CC5,L,03,PCC5L03,PCC5L03,02/08/2013,02/08/2013,1,91,64,1,17,Construct,Code 05.,"Lift ""3"" will be renamed as ""03"" to match the RFC.",Code 05a.,P-P-S-5532-0001
P,CC5,L,02,PCC5L02,PCC5L02,02/25/2013,02/26/2013,2,104,56,2,3,Construct,,,,
P,CC5,L,01,PCC5L01,PCC5L01,03/01/2013,03/01/2013,1,75,56,1,,Construct,,,,
