Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC number
P,LE,M02,F02,PLEM02F02,PLEM02F02,3/29/2012,3/30/2012,2,938,757,2,-1,Construct,Code 03.,"Lift ""F02+F03"" will be separated into ""F02"" and ""F03"".   All quantities will be accounted in F02.",Code 03a.,P-P-S-3720-0001
P,LE,M02,F03,PLEM02F03,PLEM02F03,3/29/2012,3/30/2012,2,0,0,0,11,Construct,Code 03.,"Lift ""F02+F03"" will be separated into ""F02"" and ""F03"".   All quantities will be accounted in F02.",Code 03a.,P-P-S-3720-0001
P,LE,M04,F02,PLEM04F02,PLEM04F02,4/10/2012,4/11/2012,2,580,549,2,-1,Construct,,,,
P,LE,M04,F03,PLEM04F03,PLEM04F03,4/10/2012,4/11/2012,2,0,0,0,0,Construct,,,,
P,LE,M02,F01,PLEM02F01,PLEM02F01,4/11/2012,4/12/2012,2,776,897,2,7,Construct,,,,
P,LE,M09,F02,PLEM09F02,PLEM09F02,4/19/2012,4/20/2012,2,940,897,2,-1,Construct,Code 03.,"Lift ""F02+F03"" will be converted into ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3860-001
P,LE,M09,F03,PLEM09F03,PLEM09F03,4/19/2012,4/20/2012,2,0,0,0,0,Construct,Code 03.,"Lift ""F02+F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3860-001
P,LE,M04,F01,PLEM04F01,PLEM04F01,4/20/2012,4/21/2012,2,494,478,2,4,Construct,,,,
P,LE,M11,F02,PLEM11F02,PLEM11F02,4/25/2012,4/25/2012,1,420,376,1,0,Construct,Code 03.,"Lift ""F02+F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3900-0001
P,LE,M11,F03,PLEM11F03,PLEM11F03,4/25/2012,4/25/2012,1,0,0,0,1,Construct,Code 03.,"Lift ""F02+F03"" will be converted into ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3900-0001
P,LE,M09,F01,PLEM09F01,PLEM09F01,4/26/2012,4/27/2012,2,792,776,2,1,Construct,,,,
P,LE,M15,F02,PLEM15F02,PLEM15F02,4/28/2012,4/29/2012,2,808,612,2,-1,Construct,Code 03.,"Lift ""F02+F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3980-0001
P,LE,M15,F03,PLEM15F03,PLEM15F03,4/28/2012,4/29/2012,2,0,0,0,9,Construct,Code 03.,"Lift ""F02+F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3980-0001
P,LE,M11,F01,PLEM11F01,PLEM11F01,5/8/2012,5/8/2012,1,328,327,1,3,Construct,,,,
P,LE,M15,F01,PLEM15F01,PLEM15F01,5/11/2012,5/12/2012,2,626,739,2,0,Construct,,,,
