Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC number,,,,,,
P,FS,H3C,C4,PFSH3CC4,PFSH3CC4,12/10/2012,12/10/2012,1,41,48,1,1,Construct,.,,,,,,,,,
P,FS,H3C,C3,PFSH3CC3,PFSH3CC3,12/11/2012,12/11/2012,1,176,169,1,205,Construct,,,,,,,,,,
P,FS,H3C,C2,PFSH3CC2,PFSH3CC2,07/04/2013,07/05/2013,2,180,169,2,1,Construct,,,,,,,,,,
P,FS,H3C,C1,PFSH3CC1,PFSH3CC1,07/06/2013,07/06/2013,1,48,48,1,25,Construct,,,,,,,,,,
P,FS,H4C,A4,PFSH4CA4,PFSH4CA4,07/31/2013,07/31/2013,1,133,132,1,16,Construct,,,,,,,,,,
P,FS,H4C,A3,PFSH4CA3,PFSH4CA3,08/16/2013,08/17/2013,2,136,169,2,44,Construct,,,,,,,,,,
P,FS,H4C,A2,PFSH4CA2,PFSH4CA2,09/30/2013,10/01/2013,2,156,169,2,16,Construct,,,,,,,,,,
P,FS,H4C,A1,PFSH4CA1,PFSH4CA1,10/17/2013,10/18/2013,2,51,48,2,-440,Construct,,,,,,,,,,
P,FS,L01,A,PFSL01A,PFSL01A,08/04/2012,08/04/2012,1,93,96,1,4,Construct,,,,,,,,,,
P,FS,L01,B,PFSL01B,PFSL01B,08/08/2012,08/08/2012,1,336,338,1,55,Construct,,,,,,,,,,
P,FS,L01,C,PFSL01C,PFSL01C,10/02/2012,10/02/2012,1,336,338,1,2,Construct,,,,,,,,,,
P,FS,L01,D,PFSL01D,PFSL01D,10/04/2012,10/05/2012,2,98,96,2,-56,Construct,,,,,,,,,,
P,FS,L02,B,PFSL02B,PFSL02B,08/10/2012,08/11/2012,2,314,320,2,2,Construct,,,,,,,,,,
P,FS,L02,A,PFSL02A,PFSL02A,08/13/2012,08/13/2012,1,91,90,1,57,Construct,,,,,,,,,,
P,FS,L02,C,PFSL02C,PFSL02C,10/09/2012,10/10/2012,2,320,320,2,1,Construct,,,,,,,,,,
P,FS,L02,D,PFSL02D,PFSL02D,10/11/2012,10/11/2012,1,88,90,1,-55,Construct,,,,,,,,,,
P,FS,L03,B,PFSL03B,PFSL03B,08/17/2012,08/18/2012,2,317,320,2,3,Construct,,,,,,,,,,
P,FS,L03,A,PFSL03A,PFSL03A,08/21/2012,08/21/2012,1,87,90,1,56,Construct,,,,,,,,,,
P,FS,L03,C,PFSL03C,PFSL03C,10/16/2012,10/17/2012,2,344,320,2,2,Construct,,,,,,,,,,
P,FS,L03,D,PFSL03D,PFSL03D,10/19/2012,10/19/2012,1,94,90,1,-53,Construct,,,,,,,,,,
P,FS,L04,B,PFSL04B,PFSL04B,08/27/2012,09/06/2013,376,327,312,4,-373,Construct,,,,,,,,,,
P,FS,L04,A,PFSL04A,PFSL04A,08/29/2012,09/10/2013,378,86,82,1,-28,Construct,,,,,,,,,,
P,FS,L04,C,PFSL04C,PFSL04C,08/13/2013,08/14/2013,2,320,320,2,6,Construct,,,,,,,,,,
P,FS,L04,D,PFSL04D,PFSL04D,08/20/2013,08/20/2013,1,88,90,1,-5,Construct,,,,,,,,,,
P,FS,L05,C,PFSL05C,PFSL05C,08/15/2013,08/15/2013,1,464,482,1,12,Construct,,,,,,,,,,
P,FS,L05,D,PFSL05D,PFSL05D,08/27/2013,08/27/2013,1,93,80,2,-19,Construct,,,,,,,,,,
P,FS,L06,C,PFSL06C,PFSL06C,08/08/2013,08/08/2013,1,128,126,1,32,Construct,,,,,,,,,,
P,FS,L06,B,PFSL06B,PFSL06B,09/09/2013,09/10/2013,2,168,165,2,15,Construct,,,,,,,,,,
P,FS,L06,A,PFSL06A,PFSL06A,09/25/2013,09/25/2013,1,104,106,1,20,Construct,,,,,,,,,,
P,FS,L06,D,PFSL06D,PFSL06D,10/15/2013,10/15/2013,1,69,80,1,-73,Construct,,,,,,,,,,
P,FS,L07,C,PFSL07C,PFSL07C,08/03/2013,08/03/2013,1,256,245,1,0,Construct,Code 03,"Lift ""C+D"" will be separated into ""C"" and ""D"".   All quantities will be assigned to ""C"".",Code 03a,P-P-S-7878-0001,,,,,,
P,FS,L07,D,PFSL07D,PFSL07D,08/03/2013,08/03/2013,1,0,0,1,24,Construct,Code 03,"Lift ""C+D"" will be separated into ""C"" and ""D"".   All quantities will be assigned to ""C"".",Code 03a,P-P-S-7878-0001,,,,,,
P,FS,L07,B,PFSL07B,PFSL07B,08/27/2013,08/28/2013,2,205,207,2,84,Construct,,,,,,,,,,
P,FS,L07,A,PFSL07A,PFSL07A,11/20/2013,11/20/2013,1,40,38,1,-107,Construct,,,,,,,,,,
P,FS,L08,C,PFSL08C,PFSL08C,08/05/2013,08/06/2013,2,152,142,2,0,Construct,,,,,,,,,,
P,FS,L08,D,PFSL08D,PFSL08D,08/06/2013,08/06/2013,1,44,40,1,20,Construct,,,,,,,,,,
P,FS,L08,B,PFSL08B,PFSL08B,08/26/2013,08/26/2013,1,160,142,1,1,Construct,,,,,,,,,,
P,FS,L08,A,PFSL08A,PFSL08A,08/27/2013,08/27/2013,1,40,40,1,-372,Construct,,,,,,,,,,
P,FS,L09,A,PFSL09A,PFSL09A,08/20/2012,01/18/2013,152,129,124,2,-114,Construct,Code 02.,"Joining lifts ""A"" and ""A&B"" under the name of ""A"".",Code 02a.,P-P-S-7880-0001,,,,,,
P,FS,L09,B,PFSL09B,PFSL09B,09/26/2012,01/17/2013,114,377,369,2,-111,Construct,,,,,,,,,,
P,FS,L09,D,PFSL09D,PFSL09D,09/28/2012,09/28/2012,1,86,86,1,3,Construct,,,,,,,,,,
P,FS,L09,C,PFSL09C,PFSL09C,10/01/2012,01/22/2013,114,369,373,2,-161,Construct,,,,,,,,,,
P,FS,L10,A,PFSL10A,PFSL10A,08/14/2012,08/14/2012,1,92,90,1,148,Construct,,,,,,,,,,
P,FS,L10,B,PFSL10B,PFSL10B,01/09/2013,01/10/2013,2,332,320,2,18,Construct,,,,,,,,,,
P,FS,L10,C,PFSL10C,PFSL10C,01/28/2013,01/29/2013,2,320,320,2,2,Construct,,,,,,,,,,
P,FS,L10,D,PFSL10D,PFSL10D,01/31/2013,01/31/2013,1,96,90,1,0,Construct,,,,,,,,,,
P,FS,L11,C,PFSL11C,PFSL11C,01/31/2013,01/31/2013,1,132,134,1,6,Construct,,,,,,,,,,
P,FS,L11,D,PFSL11D,PFSL11D,02/06/2013,02/06/2013,1,32,38,1,43,Construct,,,,,,,,,,
P,FS,L11,B,PFSL11B,PFSL11B,03/21/2013,03/22/2013,2,128,138,2,3,Construct,,,,,,,,,,
P,FS,L11,A,PFSL11A,PFSL11A,03/25/2013,03/25/2013,1,40,38,1,-52,Construct,,,,,,,,,,
P,FS,L12,C,PFSL12C,PFSL12C,02/01/2013,02/02/2013,2,320,350,2,5,Construct,,,,,,,,,,
P,FS,L12,D,PFSL12D,PFSL12D,02/07/2013,02/07/2013,1,88.02,90,1,49,Construct,,,,,,,,,,
P,FS,L12,B,PFSL12B,PFSL12B,03/28/2013,03/28/2013,1,312,320,1,5,Construct,,,,,,,,,,
P,FS,L12,A,PFSL12A,PFSL12A,04/02/2013,04/02/2013,1,88,90,1,-47,Construct,,,,,,,,,,
P,FS,L13,C,PFSL13C,PFSL13C,02/14/2013,02/15/2013,2,381,320,2,3,Construct,,,,,,,,,,
P,FS,L13,D,PFSL13D,PFSL13D,02/18/2013,02/19/2013,2,88,90,2,42,Construct,,,,,,,,,,
P,FS,L13,B,PFSL13B,PFSL13B,04/02/2013,04/02/2013,1,316,320,1,2,Construct,,,,,,,,,,
P,FS,L13,A,PFSL13A,PFSL13A,04/04/2013,04/05/2013,2,80,90,2,32,Construct,,,,,,,,,,
P,FS,L14,A,PFSL14A,PFSL14A,05/07/2013,05/08/2013,2,107,90,2,1,Construct,,,,,,,,,,
P,FS,L14,B,PFSL14B,PFSL14B,05/09/2013,05/10/2013,2,315,320,2,47,Construct,,,,,,,,,,
P,FS,L14,D,PFSL14D,PFSL14D,06/26/2013,06/26/2013,1,88,90,1,2,Construct,,,,,,,,,,
