Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,,Revision Process,,RFC number
P,LW,M01,F03 b,PLWM01F03b,PLWM01F03b,8/15/2012,8/16/2012,2,677,665,2,Construct,-1,Code 03.,"Lift ""F03b + F04b"" will be converted into  ""F03b"" and ""F04b"".    All quantities will be assigned to ""F03b"".",Code 03a.,P-P-S-3200-0002
P,LW,M01,F04 b,PLWM01F04b,PLWM01F04b,8/15/2012,8/16/2012,2,0,0,0,Construct,6,Code 03.,"Lift ""F03b + F04b"" will be converted into  ""F03b"" and ""F04b"".    All quantities will be assigned to ""F03b"".",Code 03a.,P-P-S-3200-0002
P,LW,M01,F02 b,PLWM01F02b,PLWM01F02b,8/22/2012,8/22/2012,1,521,521,1,Construct,19,,,,
P,LW,M01,F01 b,PLWM01F01b,PLWM01F01b,9/10/2012,9/11/2012,2,696,665,2,Construct,10,,,,
P,LW,M01,F03 a,PLWM01F03a,PLWM01F03a,9/21/2012,9/21/2012,1,152,150,1,Construct,0,Code 03.,"Lift ""F03a + F04a"" will be converted into  ""F03a"" and ""F04a"".    All quantities will be assigned to ""F03a"".",Code 03a.,P-P-S-3200-0002
P,LW,M01,F04 a,PLWM01F04a,PLWM01F04a,9/21/2012,9/21/2012,1,0,0,0,Construct,5,Code 03.,"Lift ""F03a + F04a"" will be converted into  ""F03a"" and ""F04a"".    All quantities will be assigned to ""F03a"".",Code 03a.,P-P-S-3200-0002
P,LW,M01,F02 a,PLWM01F02a,PLWM01F02a,9/26/2012,9/27/2012,2,474,459,2,Construct,15,,,,
P,LW,M01,F01 a,PLWM01F01a,PLWM01F01a,10/12/2012,10/13/2012,2,373,363,2,Construct,24,,,,
P,LW,M01,C06 b,PLWM01C06b,PLWM01C06b,11/6/2012,11/7/2012,2,720,683,2,Construct,9,,,,
P,LW,M01,C05 b,PLWM01C05b,PLWM01C05b,11/16/2012,11/16/2012,1,489,445,1,Construct,5,,,,
P,LW,M01,C06 a,PLWM01C06a,PLWM01C06a,11/21/2012,11/22/2012,2,637,328,2,Construct,1,,,,
P,LW,M01,C04 b,PLWM01C04b,PLWM01C04b,11/23/2012,11/24/2012,2,502,525,2,Construct,9,,,,
P,LW,M01,C03 b,PLWM01C03b,PLWM01C03b,12/3/2012,12/4/2012,2,306,273,2,Construct,9,,,,
P,LW,M01,C05 a,PLWM01C05a,PLWM01C05a,12/13/2012,12/14/2012,2,409,395,2,Construct,-1,Code 03.,"Lift ""C05&C04&C03 a"" will be converted into  ""C05a"", ""C04a"" and ""C03a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3201-0002
P,LW,M01,C04 a,PLWM01C04a,PLWM01C04a,12/13/2012,12/14/2012,2,0,0,0,Construct,-1,Code 03.,"Lift ""C05&C04&C03 a"" will be converted into  ""C05a"", ""C04a"" and ""C03a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3201-0002
P,LW,M01,C03 a,PLWM01C03a,PLWM01C03a,12/13/2012,12/14/2012,2,0,0,0,Construct,237,Code 03.,"Lift ""C05&C04&C03 a"" will be converted into  ""C05a"", ""C04a"" and ""C03a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3201-0002
P,LW,M01,C02,PLWM01C02,PLWM01C02,8/8/2013,8/9/2013,2,458,424,2,Construct,10,,,,
P,LW,M01,C01,PLWM01C01,PLWM01C01,8/19/2013,8/30/2013,12,1270,1313,4,Construct,140,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3201-0002
P,LW,M01,W10,PLWM01W10,PLWM01W10,1/17/2014,1/17/2014,1,281,294,1,Construct,0,Code 03.,"Lift ""W10+W09"" will be converted into  ""W10"" and ""W09"".    All quantities will be assigned to ""W10"".",Code 03a.,P-P-S-3202-0001
P,LW,M01,W09,PLWM01W09,PLWM01W09,1/17/2014,1/17/2014,1,0,0,0,Construct,14,Code 03.,"Lift ""W10+W09"" will be converted into  ""W10"" and ""W09"".    All quantities will be assigned to ""W10"".",Code 03a.,P-P-S-3202-0001
P,LW,M01,W08,PLWM01W08,PLWM01W08,1/31/2014,1/31/2014,1,289,287,1,Construct,43,,,,
P,LW,M01,W07,PLWM01W07,PLWM01W07,3/15/2014,3/15/2014,1,243,225,1,Construct,17,,,,
P,LW,M01,W06,PLWM01W06,PLWM01W06,4/1/2014,4/1/2014,1,264,237,1,Construct,6,,,,
P,LW,M01,W05,PLWM01W05,PLWM01W05,4/7/2014,4/7/2014,1,178,192,1,Construct,15,,,,
P,LW,M01,W04,PLWM01W04,PLWM01W04,4/22/2014,4/22/2014,1,171,169,1,Construct,28,,,,
P,LW,M01,W03,PLWM01W03,PLWM01W03,5/20/2014,5/20/2014,1,150,142,1,Construct,8,,,,
P,LW,M01,W02,PLWM01W02,PLWM01W02,5/28/2014,5/28/2014,1,129,110,1,Construct,177,,,,
P,LW,M01,W01,PLWM01W01,PLWM01W01,11/21/2014,5/22/2015,183,59,67,2,Construct,-1086,Code 02.,"Joining ""W01"" and ""W01 (2nd stage Beam)"" as ""W01"".",Code 02a.,P-P-S-3202-0001
P,LW,M02,F03 a,PLWM02F03a,PLWM02F03a,5/31/2012,6/1/2012,2,792,792,2,Construct,-1,Code 03.,"Lift ""F02&F03"" will be converted into  ""F03a"" and ""F03b"".    All quantities will be assigned to ""F03b"".",Code 03a.,P-P-S-3220-0002
P,LW,M02,F03 b,PLWM02F03b,PLWM02F03b,5/31/2012,6/1/2012,2,0,0,0,Construct,20,Code 03.,"Lift ""F02&F03"" will be converted into  ""F03a"" and ""F03b"".    All quantities will be assigned to ""F03b"".",Code 03a.,P-P-S-3220-0002
P,LW,M02,F01 b,PLWM02F01b,PLWM02F01b,6/21/2012,6/21/2012,1,554,554,1,Construct,69,Code 05.,"Lift ""F01"" will be renamed as ""F01b"".",Code 05a.,P-P-S-3220-0002
P,LW,M02,F02 a,PLWM02F02a,PLWM02F02a,8/29/2012,8/30/2012,2,173,136,2,Construct,-1,Code 03.,"Lift ""F02a"""" will be converted into  ""F02a"" and ""F02b"".    All quantities will be assigned to ""F02a"".",Code 03a.,P-P-S-3220-0002
P,LW,M02,F02 b,PLWM02F02b,PLWM02F02b,8/29/2012,8/30/2012,2,0,0,2,Construct,4,Code 03.,"Lift ""F02a"""" will be converted into  ""F02a"" and ""F02b"".    All quantities will be assigned to ""F02a"".",Code 03a.,P-P-S-3220-0002
P,LW,M02,F01 a,PLWM02F01a,PLWM02F01a,9/3/2012,9/4/2012,2,276,257,4,Construct,202,,,,
P,LW,M02,C06 b,PLWM02C06b,PLWM02C06b,3/25/2013,3/26/2013,2,488,533,2,Construct,7,,,,
P,LW,M02,C05 a,PLWM02C05a,PLWM02C05a,4/2/2013,4/10/2013,9,432,463,2,Construct,-8,Code 03.,"Lift ""C05a&C04a"" will be converted into  ""C05a"" and ""C04a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C06 a,PLWM02C06a,PLWM02C06a,4/2/2013,4/3/2013,2,0,0,0,Construct,-1,Code 03.,"Lift ""C04/C05/C06 a"" will be converted into  ""C05c"" and ""C06a"".    All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C04 a,PLWM02C04a,PLWM02C04a,4/2/2013,4/10/2013,9,0,0,3,Construct,15,Code 03.,"Lift ""C05a&C04a"" will be converted into  ""C05a"" and ""C04a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C04 b,PLWM02C04b,PLWM02C04b,4/25/2013,4/26/2013,2,540,578,2,Construct,-1,,,,
P,LW,M02,C05 b,PLWM02C05b,PLWM02C05b,4/25/2013,4/26/2013,2,0,0,2,Construct,12,,,,
