Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,,Revision Process,,,RFC number,
P,H1W,6A,F03,PH1W6AF03,PH1W6AF03,03/16/2012,03/17/2012,2,1030,957,2,10,Construct,,,.,,,,
P,H1W,6A,F02,PH1W6AF02,PH1W6AF02,03/27/2012,03/27/2012,1,459,492,1,44,Construct,,,,,,,
P,H1W,6A,F01,PH1W6AF01,PH1W6AF01,05/10/2012,05/11/2012,2,674,597,2,43,Construct,,,,,,,
P,H1W,6A,W10a,PH1W6AW10a,PH1W6AW10a,06/23/2012,06/23/2012,1,369,315,1,5,Construct,,,,,,,
P,H1W,6A,W10b,PH1W6AW10b,PH1W6AW10b,06/28/2012,06/29/2012,2,440,422,2,4,Construct,,,,,,,
P,H1W,6A,W10c,PH1W6AW10c,PH1W6AW10c,07/03/2012,07/03/2012,1,88,75,1,15,Construct,,,,,,,
P,H1W,6A,W09a,PH1W6AW09a,PH1W6AW09a,07/18/2012,07/19/2012,2,232,268,1,-9,Construct,,,,,,,
P,H1W,6A,W09b,PH1W6AW09b,PH1W6AW09b,07/10/2012,07/10/2012,1,391,405,2,11,Construct,,,,,,,
P,H1W,6A,W09c,PH1W6AW09c,PH1W6AW09c,07/21/2012,07/21/2012,1,77,75,1,44,Construct,,,,,,,
P,H1W,6A,W08,PH1W6AW08,PH1W6AW08,09/03/2012,09/04/2012,2,323,242,2,14,Construct,,,,,,,
P,H1W,6A,W07,PH1W6AW07,PH1W6AW07,09/18/2012,09/18/2012,1,956,712,1,16,Construct,,,,,,,
P,H1W,6A,W06a,PH1W6AW06a,PH1W6AW06a,10/04/2012,10/04/2012,1,379,360,1,0,Construct,,,Code 03.,"Lift ""W06 a&B"" will be divided in ""W06a"" and ""W06b"".    All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6A,W06b,PH1W6AW06b,PH1W6AW06b,10/04/2012,10/04/2012,1,0,0,1,18,Construct,,,Code 03.," Lift ""W06 a&B"" will be divided in ""W06a"" and ""W06b"".    All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6A,W05a,PH1W6AW05a,PH1W6AW05a,10/22/2012,10/23/2012,2,201,150,2,-1,Construct,,,,,,,
P,H1W,6A,W05b,PH1W6AW05b,PH1W6AW05b,10/22/2012,10/23/2012,2,151,195,2,27,Construct,,,,,,,
P,H1W,6A,W04,PH1W6AW04,PH1W6AW04,11/19/2012,12/03/2012,15,595,580,2,94,Construct,,,,,,,
P,H1W,6A,W03,PH1W6AW03,PH1W6AW03,03/07/2013,03/08/2013,2,504,555,2,32,Construct,,,,,,,
P,H1W,6A,W02,PH1W6AW02,PH1W6AW02,04/09/2013,04/09/2013,1,244,235,1,438,Construct,,,,,,,
P,H1W,6A,W01,PH1W6AW01,PH1W6AW01,06/21/2014,06/21/2014,1,266,255,1,-808,Construct,,,,,,,
P,H1W,6B,F03,PH1W6BF03,PH1W6BF03,04/04/2012,04/04/2012,1,812,770,1,19,Construct,,,,,,,
P,H1W,6B,F02,PH1W6BF02,PH1W6BF02,04/23/2012,04/23/2012,1,338,370,1,29,Construct,,,,,,,
P,H1W,6B,F01,PH1W6BF01,PH1W6BF01,05/22/2012,05/22/2012,1,489,490,1,77,Construct,,,,,,,
P,H1W,6B,W10a,PH1W6BW10a,PH1W6BW10a,08/07/2012,08/07/2012,1,290,280,2,-1,Construct,,,,,,,
P,H1W,6B,W10b,PH1W6BW10b,PH1W6BW10b,08/06/2012,08/07/2012,2,352,325,2,-26,Construct,,,,,,,
P,H1W,6B,W10c,PH1W6BW10c,PH1W6BW10c,07/12/2012,07/12/2012,1,128,110,1,37,Construct,,,,,,,
P,H1W,6B,W09a,PH1W6BW09a,PH1W6BW09a,08/18/2012,08/18/2012,1,208,235,2,-3,Construct,,,,,,,
P,H1W,6B,W09b,PH1W6BW09b,PH1W6BW09b,08/15/2012,08/16/2012,2,320,335,1,-17,Construct,,,,,,,
P,H1W,6B,W09c,PH1W6BW09c,PH1W6BW09c,07/30/2012,07/30/2012,1,121,115,1,115,Construct,,,,,,,
P,H1W,6B,W08,PH1W6BW08,PH1W6BW08,11/22/2012,11/22/2012,1,252,242,1,11,Construct,,,,,,,
P,H1W,6B,W07,PH1W6BW07,PH1W6BW07,12/03/2012,12/04/2012,2,731,720,2,11,Construct,,,,,,,
P,H1W,6B,W06a,PH1W6BW06a,PH1W6BW06a,12/15/2012,12/15/2012,1,368,370,1,0,Construct,,,Code 03.,"Lift ""W06 a+b"" will be divided in ""W06a"" and ""W06b"".    All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6B,W06b,PH1W6BW06b,PH1W6BW06b,12/15/2012,12/15/2012,1,0,0,0,6,Construct,,,Code 03.," Lift ""W06 a+b"" will be divided in ""W06a"" and ""W06b"".    All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6B,W05a,PH1W6BW05a,PH1W6BW05a,12/21/2012,12/22/2012,2,172,177.5,1,-1,Construct,,,,,,,
P,H1W,6B,W05b,PH1W6BW05b,PH1W6BW05b,12/21/2012,12/22/2012,2,172,177.5,1,19,Construct,,,,,,,
P,H1W,6B,W04,PH1W6BW04,PH1W6BW04,01/10/2013,01/15/2013,6,628,628,1,13,Construct,,,,,,,
P,H1W,6B,W03,PH1W6BW03,PH1W6BW03,01/28/2013,01/28/2013,1,612,605,1,164,Construct,,,,,,,
P,H1W,6B,W02,PH1W6BW02,PH1W6BW02,07/11/2013,07/11/2013,1,240,258,1,386,Construct,,,,,,,
P,H1W,6B,W01,PH1W6BW01,PH1W6BW01,08/01/2014,08/01/2014,1,284,264,1,-875,Construct,,,,,,,
P,H1W,6C,F03,PH1W6CF03,PH1W6CF03,03/09/2012,03/10/2012,2,1112,1028,2,9,Construct,,,,,,,
P,H1W,6C,F02,PH1W6CF02,PH1W6CF02,03/19/2012,03/20/2012,2,481.12,470,2,113,Construct,,,,,,,
P,H1W,6C,F01,PH1W6CF01,PH1W6CF01,07/11/2012,09/01/2012,53,686,760,2,41,Construct,,,Code 02.,"Joining ""F01 a"" and ""F01 b"" as ""F01""",Code 02a.,P-P-S-0135-0002,
P,H1W,6C,W10a,PH1W6CW10a,PH1W6CW10a,10/12/2012,10/13/2012,2,901,810,1,-1,Construct,,,Code 03.,"Lift ""W10 a+b+c"" will be divided in three.  All quantities will be assigned to ""W10 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W10b,PH1W6CW10b,PH1W6CW10b,10/12/2012,10/13/2012,2,0,0,1,-1,Construct,,,Code 03.,"Lift ""W10 a+b+c"" will be divided in three.  All quantities will be assigned to ""W10 a"".",Code 03a.,P-P-S-0136-0003,
