Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,H2W,6A,F03,PH2W6AF03,PH2W6AF03,10/26/2011,10/27/2011,2,305,286,2,-1,Construct,.,,,,
P,H2W,6A,F02,PH2W6AF02,PH2W6AF02,10/26/2011,10/27/2011,2,305,286,2,28,Construct,,,,,
P,H2W,6A,F01,PH2W6AF01,PH2W6AF01,11/24/2011,11/25/2011,2,544,575,2,7,Construct,,,,,
P,H2W,6A,W13a,PH2W6AW13a,PH2W6AW13a,12/02/2011,12/03/2011,2,168,114,2,3,Construct,,,,,
P,H2W,6A,W13b,PH2W6AW13b,PH2W6AW13b,12/06/2011,12/06/2011,1,272,257,1,3,Construct,,,,,
P,H2W,6A,W13c,PH2W6AW13c,PH2W6AW13c,12/09/2011,12/10/2011,2,59,50,2,3,Construct,,,,,
P,H2W,6A,W12a,PH2W6AW12a,PH2W6AW12a,12/13/2011,12/13/2011,1,122,116,1,2,Construct,,,,,
P,H2W,6A,W12b,PH2W6AW12b,PH2W6AW12b,12/15/2011,12/15/2011,1,324,308,2,5,Construct,,,,,
P,H2W,6A,W12c,PH2W6AW12c,PH2W6AW12c,12/20/2011,12/21/2011,2,57,51,2,48,Construct,,,,,
P,H2W,6A,W11a,PH2W6AW11a,PH2W6AW11a,02/07/2012,02/08/2012,2,280,270.5,2,-1,Construct,,,,,
P,H2W,6A,W11b,PH2W6AW11b,PH2W6AW11b,02/07/2012,02/08/2012,2,280,270.5,2,16,Construct,,,,,
P,H2W,6A,W10,PH2W6AW10,PH2W6AW10,02/24/2012,03/05/2012,11,738,729,4,15,Construct,Code 02.,Joining W10a and W10b.    All quantities ara assigned to W10.,Code 02a.,P-P-S-0476-0001,
P,H2W,6A,W09a,PH2W6AW09a,PH2W6AW09a,03/20/2012,03/20/2012,1,184,180,1,0,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".    All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0477-0001,
P,H2W,6A,W09b,PH2W6AW09b,PH2W6AW09b,03/20/2012,03/20/2012,1,0,0,0,20,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".    All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0477-0001,
P,H2W,6A,W08a,PH2W6AW08a,PH2W6AW08a,04/09/2012,04/09/2012,1,51,50,1,-9,Construct,,,,,
P,H2W,6A,W08b,PH2W6AW08b,PH2W6AW08b,03/31/2012,03/31/2012,1,128,130,1,25,Construct,,,,,
P,H2W,6A,W07,PH2W6AW07,PH2W6AW07,04/25/2012,04/28/2012,4,406,375,2,63,Construct,,,,,
P,H2W,6A,W06,PH2W6AW06,PH2W6AW06,06/30/2012,07/06/2012,7,412,370,1,15,Construct,Code 02.,Joining W06a and W06b.    All quantities ara assigned to W06.,Code 02a.,P-P-S-0477-0001,
P,H2W,6A,W05,PH2W6AW05,PH2W6AW05,07/21/2012,07/21/2012,1,188,160,1,7,Construct,,,,,
P,H2W,6A,W04,PH2W6AW04,PH2W6AW04,07/28/2012,07/28/2012,1,137,130,1,12,Construct,,,,,
P,H2W,6A,W03,PH2W6AW03,PH2W6AW03,08/09/2012,08/09/2012,1,105,101,1,13,Construct,,,,,
P,H2W,6A,W02,PH2W6AW02,PH2W6AW02,08/22/2012,08/22/2012,1,38,35,1,12,Construct,,,,,
P,H2W,6A,W01,PH2W6AW01,PH2W6AW01,09/03/2012,09/03/2012,1,37,31,1,-191,Construct,,,,,
P,H2W,6B,F03,PH2W6BF03,PH2W6BF03,02/25/2012,03/08/2012,13,1056,1026,3,47,Construct,,,,,
P,H2W,6B,F02,PH2W6BF02,PH2W6BF02,04/24/2012,04/25/2012,2,694,635,2,21,Construct,,,,,
P,H2W,6B,F01,PH2W6BF01,PH2W6BF01,05/16/2012,05/16/2012,1,160,165,1,9,Construct,,,,,
P,H2W,6B,W13a,PH2W6BW13a,PH2W6BW13a,05/25/2012,05/30/2012,6,230,185,3,48,Construct,,,,,
P,H2W,6B,W13b,PH2W6BW13b,PH2W6BW13b,07/17/2012,07/18/2012,2,412,368,2,-21,Construct,,,,,
P,H2W,6B,W13c,PH2W6BW13c,PH2W6BW13c,06/27/2012,07/03/2012,7,207,180,2,-12,Construct,,,,,
P,H2W,6B,W12a,PH2W6BW12a,PH2W6BW12a,06/21/2012,06/21/2012,1,179,163,1,33,Construct,,,,,
P,H2W,6B,W12b,PH2W6BW12b,PH2W6BW12b,07/24/2012,07/25/2012,2,452,404,2,-13,Construct,,,,,
P,H2W,6B,W12c,PH2W6BW12c,PH2W6BW12c,07/12/2012,07/12/2012,1,169,162,1,46,Construct,,,,,
P,H2W,6B,W11a,PH2W6BW11a,PH2W6BW11a,08/27/2012,08/28/2012,2,556,530,2,-6,Construct,,,,,
P,H2W,6B,W11b,PH2W6BW11b,PH2W6BW11b,08/22/2012,08/23/2012,2,281,303,2,12,Construct,,,,,
P,H2W,6B,W10,PH2W6BW10,PH2W6BW10,09/04/2012,09/18/2012,15,1139,1128,1,11,Construct,Code 02.,Joining W10a and W10b.    All quantities ara assigned to W10.,Code 02a.,P-P-S-0491-0001,
P,H2W,6B,W09a,PH2W6BW09a,PH2W6BW09a,09/29/2012,09/29/2012,1,213,220,1,46,Construct,Code 04.,"Lift ""6B&6D W09a"" will be separated into ""6B W09a"" and ""6D W09a"".  All quantities will be assigned to ""6B W09a"".",Code 04.,P-P-S-0492-0001,
P,H2W,6B,W09b,PH2W6BW09b,PH2W6BW09b,11/14/2012,11/15/2012,2,125,145,1,-41,Construct,,,,,
P,H2W,6B,W08a,PH2W6BW08a,PH2W6BW08a,10/05/2012,10/05/2012,1,92,110,1,48,Construct,,,,,
