Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3W,6A,F03,PH3W6AF03,PH3W6AF03,04/09/2012,04/09/2012,1,614,555,1,10,Construct,.,,,,,,,
P,H3W,6A,F02,PH3W6AF02,PH3W6AF02,04/19/2012,04/20/2012,2,360,430,2,89,Construct,,,,,,,,
P,H3W,6A,F01,PH3W6AF01,PH3W6AF01,07/18/2012,07/18/2012,1,322,247,1,16,Construct,Code 05.,Lift F01b will be renamed as F01.,Code 05a.,P-P-S-0745-0004,,,,
P,H3W,6A,W14a,PH3W6AW14a,PH3W6AW14a,08/03/2012,08/03/2012,1,214,115,1,-11,Construct,,,,,,,,
P,H3W,6A,W14b,PH3W6AW14b,PH3W6AW14b,07/23/2012,07/24/2012,2,128,135,2,35,Construct,,,,,,,,
P,H3W,6A,W14c,PH3W6AW14c,PH3W6AW14c,08/28/2012,08/28/2012,1,57,50,1,140,Construct,,,,,,,,
P,H3W,6A,W13a,PH3W6AW13a,PH3W6AW13a,01/15/2013,01/15/2013,1,166,123,1,-151,Construct,,,,,,,,
P,H3W,6A,W13b,PH3W6AW13b,PH3W6AW13b,08/17/2012,08/18/2012,2,306,310,2,25,Construct,,,,,,,,
P,H3W,6A,W13c,PH3W6AW13c,PH3W6AW13c,09/12/2012,09/12/2012,1,57,52,1,303,Construct,,,,,,,,
P,H3W,6A,W12,PH3W6AW12,PH3W6AW12,07/12/2013,07/12/2013,1,185,195,1,6,Construct,,,,,,,,
P,H3W,6A,W11,PH3W6AW11,PH3W6AW11,07/18/2013,07/18/2013,1,345,345,1,11,Construct,,,,,,,,
P,H3W,6A,W10,PH3W6AW10,PH3W6AW10,07/29/2013,08/12/2013,15,725,730,3,108,Construct,Code 02.,"Joining lift ""W10a"" and ""W10b"" under the name of ""W10"".",Code 02a.,P-P-S-0746-0004,,,,
P,H3W,6A,W09a,PH3W6AW09a,PH3W6AW09a,11/28/2013,11/28/2013,1,176,180,1,0,Construct,Code 03.,"Lift ""W09 a+b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6A,W09b,PH3W6AW09b,PH3W6AW09b,11/28/2013,11/28/2013,1,0,0,0,6,Construct,Code 03.,"Lift ""W09 a+b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6A,W08a,PH3W6AW08a,PH3W6AW08a,12/04/2013,12/05/2013,2,184,180,2,-1,Construct,Code 03.,"Lift ""W08 a&b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6A,W08b,PH3W6AW08b,PH3W6AW08b,12/04/2013,12/05/2013,2,0,0,0,9,Construct,Code 03.,"Lift ""W08 a&b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
