Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,H4W,6A,F03,PH4W6AF03,PH4W6AF03,09/22/2012,09/22/2012,1,464,432,1,16,Construct,.,,,
P,H4W,6A,F02,PH4W6AF02,PH4W6AF02,10/08/2012,10/08/2012,1,580,591,1,8,Construct,,,,
P,H4W,6A,F01,PH4W6AF01,PH4W6AF01,10/16/2012,10/17/2012,2,592,575,2,22,Construct,,,,
P,H4W,6A,W13 a,PH4W6AW13a,PH4W6AW13a,11/08/2012,11/09/2012,2,184.38,167,2,15,Construct,,,,
P,H4W,6A,W12 a,PH4W6AW12a,PH4W6AW12a,11/24/2012,11/24/2012,1,184,153,1,13,Construct,,,,
P,H4W,6A,W13 b,PH4W6AW13b,PH4W6AW13b,12/07/2012,12/07/2012,1,448,443,1,12,Construct,,,,
P,H4W,6A,W13 c,PH4W6AW13c,PH4W6AW13c,12/19/2012,12/19/2012,1,96,92,1,14,Construct,,,,
P,H4W,6A,W12 b,PH4W6AW12b,PH4W6AW12b,01/02/2013,01/02/2013,1,387.58,400,1,13,Construct,,,,
P,H4W,6A,W12 c,PH4W6AW12c,PH4W6AW12c,01/15/2013,01/15/2013,1,84,150,1,115,Construct,,,,
P,H4W,6A,W11,PH4W6AW11,PH4W6AW11,05/10/2013,05/11/2013,2,269,261,2,6,Construct,,,,
P,H4W,6A,W10,PH4W6AW10,PH4W6AW10,05/17/2013,05/25/2013,9,773,829,4,13,Construct,Code 02.,"Joining lifts ""W10"" and ""W10(1ststage)"" under the name of ""W10""..",Code 02a.,P-P-S-0926-0007
P,H4W,6A,W09 a,PH4W6AW09a,PH4W6AW09a,06/07/2013,06/07/2013,1,68,85,1,0,Construct,,,,
P,H4W,6A,W09 b,PH4W6AW09b,PH4W6AW09b,06/07/2013,06/07/2013,1,165,158,1,7,Construct,,,,
P,H4W,6A,W08 a,PH4W6AW08a,PH4W6AW08a,06/14/2013,06/15/2013,2,85,85,2,-1,Construct,,,,
P,H4W,6A,W08 b,PH4W6AW08b,PH4W6AW08b,06/14/2013,06/15/2013,2,156,158,2,16,Construct,,,,
P,H4W,6A,W07,PH4W6AW07,PH4W6AW07,07/01/2013,07/09/2013,9,418,427,2,16,Construct,Code 02.,"Joining lifts ""W07"" and ""W07 (1st stage)"" under the name of ""W07"".",Code 02a.,P-P-S-0926-0007
P,H4W,6A,W06,PH4W6AW06,PH4W6AW06,07/25/2013,07/26/2013,2,441,428,2,10,Construct,,,,
P,H4W,6A,W05,PH4W6AW05,PH4W6AW05,08/05/2013,08/06/2013,2,421,430,2,9,Construct,,,,
P,H4W,6A,W04,PH4W6AW04,PH4W6AW04,08/15/2013,08/16/2013,2,458,428,2,10,Construct,,,,
P,H4W,6A,W03,PH4W6AW03,PH4W6AW03,08/26/2013,08/26/2013,1,433,428,1,10,Construct,,,,
P,H4W,6A,W02 b,PH4W6AW02b,PH4W6AW02b,09/05/2013,09/06/2013,2,302,287,2,11,Construct,,,,
