Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,CC3,A,05,PCC3A05,PCC3A05,07/11/2012,07/12/2012,2,1069,1020,2,15,Construct,.,,,
P,CC3,A,04a,PCC3A04a,PCC3A04a,07/27/2012,08/03/2012,8,496,306,3,-7,Construct,Code 03.,"Lift ""04"" will be divided into ""04a"" and ""04b"". All quantities will be assigned to ""04a"".",Code 03a.,P-P-S-5351-0001
P,CC3,A,04b,PCC3A04b,PCC3A04b,07/27/2012,08/03/2012,8,0,0,0,14,Construct,Code 03.,"Lift ""04"" will be divided into ""04a"" and ""04b"". All quantities will be assigned to ""04a"".",Code 03a.,P-P-S-5351-0001
P,CC3,A,03a,PCC3A03a,PCC3A03a,08/17/2012,08/22/2012,6,384,318,2,-5,Construct,Code 03.,"Lift ""04"" will be divided into ""04a"" and ""04b"". All quantities will be assigned to ""04a"".",Code 03a.,P-P-S-5351-0001
P,CC3,A,03b,PCC3A03b,PCC3A03b,08/17/2012,08/22/2012,6,0,0,0,133,Construct,Code 03.,"Lift ""03"" will be divided into ""03a"" and ""03b"". All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5351-0001
P,CC3,B,05,PCC3B05,PCC3B05,01/02/2013,01/19/2013,18,650,588,1,32,Construct,Code 02.,"Joining lifts ""05"" and  ""05 a&b&c"" under the name of ""05"".",Code 02a.,P-P-S-5356-0001
P,CC3,B,04b,PCC3B04b,PCC3B04b,02/20/2013,02/20/2013,1,178,122,1,2,Construct,,,,
P,CC3,B,04a,PCC3B04a,PCC3B04a,02/22/2013,02/22/2013,1,88,69,1,0,Construct,,,,
P,CC3,B,04c,PCC3B04c,PCC3B04c,02/22/2013,02/22/2013,1,44,66,1,21,Construct,,,,
P,CC3,B,03b,PCC3B03b,PCC3B03b,03/15/2013,03/15/2013,1,168,127,1,5,Construct,,,,
P,CC3,B,03a,PCC3B03a,PCC3B03a,03/20/2013,03/20/2013,1,128,140,1,0,Construct,Code 03.,"Lift ""03a&c"" will be separated into ""03a"" and ""03c"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5357-0001
P,CC3,B,03c,PCC3B03c,PCC3B03c,03/20/2013,03/20/2013,1,0,0,0,28,Construct,Code 03.,"Lift ""03a&c"" will be separated into ""03a"" and ""03c"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5357-0001
P,CC3,B,02,PCC3B02,PCC3B02,04/17/2013,04/18/2013,2,649,577,2,5,Construct,,,,
P,CC3,B,01,PCC3B01,PCC3B01,04/23/2013,04/24/2013,2,864,681,2,-92,Construct,,,,
