Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections,Further Notse
P,ME,M01,F03,PMEM01F03,PMEM01F03,2/1/2012,2/2/2012,2,648,500,2,7,Construct,.,,,,,,
P,ME,M01,F02 b,PMEM01F02b,PMEM01F02b,2/9/2012,2/9/2012,1,328,328,1,8,Construct,,,,,,,
P,ME,M01,F01b,PMEM01F01b,PMEM01F01b,2/17/2012,3/24/2012,37,991,991,4,-12,Construct,Code 02.,"Joining ""F01a"" and ""F01b"" under the name of  ""F01b""",Code 02a.,P-P-S-2702-0002,,,
P,ME,M01,F02 a,PMEM01F02a,PMEM01F02a,3/12/2012,3/12/2012,1,466,447,1,273,Construct,,,,,,,
P,ME,M01,F01a,PMEM01F01a,PMEM01F01a,12/10/2012,12/14/2012,5,72,39,3,-3,Construct,Code 02.,"Joining ""F01"" and ""F01c"" under the name of ""F01a""",Code 02a.,P-P-S-2702-0002,"Model has no F01 or F01c , it has F01 a and b, review model",Model has only F01a and b according to drawing P-P-S-2702-0002,Joining F01 with F01c (naming it F01a)and F01 b with F01a (naming it F01b) due to dates being closer together
P,ME,M01,C08 b,PMEM01C08b,PMEM01C08b,12/11/2012,12/11/2012,1,0,0,0,0,Construct,Code 01.,"A new row was created under the name of ""C08b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-2702-0002,,,
P,ME,M01,C08 a,PMEM01C08a,PMEM01C08a,12/11/2012,12/11/2012,1,0,0,0,7,Construct,Code 01.,"A new row was created under the name of ""C08a"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-2702-0002,,,
P,ME,M01,C07 b,PMEM01C07b,PMEM01C07b,12/18/2012,12/19/2012,2,128,112,2,-7,Construct,,,,,,,
P,ME,M01,C07 a,PMEM01C07a,PMEM01C07a,12/12/2012,12/12/2012,1,0,0,0,6,Construct,Code 01.,"A new row was created under the name of ""C07a"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-2702-0002,,,
P,ME,M01,C06 a,PMEM01C06a,PMEM01C06a,12/18/2012,12/18/2012,1,204,170,1,8,Construct,,,,,,,
P,ME,M01,C06 b,PMEM01C06b,PMEM01C06b,12/26/2012,12/26/2012,1,637,630,1,9,Construct,,,,,,,
P,ME,M01,C05 a,PMEM01C05a,PMEM01C05a,1/4/2013,1/5/2013,2,205,170,2,9,Construct,,,,,,,
