Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M01,F03,PMWM01F03,PMWM01F03,11/26/2011,11/26/2011,1,460,450,1,73,Construct,.,,,,,
P,MW,M01,F02,PMWM01F02,PMWM01F02,02/07/2012,02/08/2012,2,606,515,2,5,Construct,,,,,,
P,MW,M01,F01,PMWM01F01,PMWM01F01,02/13/2012,02/13/2012,1,784.18,845,1,9,Construct,,,,,,
P,MW,M01,C10,PMWM01C10,PMWM01C10,02/22/2012,02/23/2012,2,1056,1056,2,6,Construct,,,,,,
P,MW,M01,C09,PMWM01C09,PMWM01C09,02/29/2012,03/01/2012,2,708,708,2,8,Construct,,,,,,
P,MW,M01,C08,PMWM01C08,PMWM01C08,03/09/2012,03/10/2012,2,226,226,2,6,Construct,,,,,,
P,MW,M01,C07,PMWM01C07,PMWM01C07,03/16/2012,03/19/2012,4,318,318,2,1,Construct,,,,,,
P,MW,M01,C06 a,PMWM01C06a,PMWM01C06a,03/20/2012,03/20/2012,1,0,0,0,-3,Construct,Code 01.,"A new row was  created under the name of ""C06a"" with 0 quantities and the date of the previous lift plus one day.",Code 01.,P-P-S-2201-0001,,
P,MW,M01,C06 b,PMWM01C06b,PMWM01C06b,03/17/2012,03/17/2012,1,0,0,0,13,Construct,Code 01.,"A new row was  created under the name of ""C06b"" with 0 quantities and the date of the previous lift plus one day.",Code 01.,P-P-S-2201-0001,,
P,MW,M01,C05 b,PMWM01C05b,PMWM01C05b,03/30/2012,03/31/2012,2,696,696,2,4,Construct,,,,,,
P,MW,M01,C05 a,PMWM01C05a,PMWM01C05a,04/04/2012,04/04/2012,1,180,180,1,34,Construct,,,,,,
P,MW,M01,C04 a,PMWM01C04a,PMWM01C04a,05/08/2012,05/08/2012,1,172,172,1,52,Construct,,,,,,
P,MW,M01,C04 b,PMWM01C04b,PMWM01C04b,06/29/2012,06/30/2012,2,664,457,2,-52,Construct,,,,,,
P,MW,M01,C03 a,PMWM01C03a,PMWM01C03a,05/09/2012,05/09/2012,1,0,0,0,52,Construct,Code 01.,"A new row was  created under the name of ""C03a"" with 0 quantities and the date of the previous lift plus one day.",Code 01.,P-P-S-2201-0001,,
P,MW,M01,C03 b,PMWM01C03b,PMWM01C03b,06/30/2012,06/30/2012,1,0,0,0,223,Construct,Code 01.,"A new row was  created under the name of ""C03b"" with 0 quantities and the date of the previous lift plus one day.",Code 01.,P-P-S-2201-0001,,
P,MW,M01,C02,PMWM01C02,PMWM01C02,02/08/2013,02/08/2013,1,385.18,360,1,6,Construct,,,,,,
P,MW,M01,C01,PMWM01C01,PMWM01C01,02/14/2013,03/01/2013,16,1227,1084,5,127,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02.,P-P-S-2201-0001,"entry has no part a or b, joining pours",
P,MW,M01,W08,PMWM01W08,PMWM01W08,07/06/2013,07/06/2013,1,117,115,1,17,Construct,,,,,,
P,MW,M01,W07,PMWM01W07,PMWM01W07,07/23/2013,07/23/2013,1,205,185,1,59,Construct,,,,,,
