Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,T1,C312,F01a,PT1C312F01a,PT1C312F01a,05/13/2014,05/13/2014,1,160,164,1,51,Construct,.,,,,
P,T1,C312,F01b,PT1C312F01b,PT1C312F01b,07/03/2014,07/04/2014,2,250,212,2,21,Construct,,,,,
P,T1,C312,W04b,PT1C312W04b,PT1C312W04b,07/25/2014,07/25/2014,1,0,0,0,9,Construct,Code 01.,"A new row was created under the name of ""W04b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0005,
P,T1,C312,W04a,PT1C312W04a,PT1C312W04a,08/03/2014,08/03/2014,1,0,0,0,31,Construct,Code 01.,"A new row was created under the name of ""W04a"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0005,
P,T1,C312,W03b,PT1C312W03b,PT1C312W03b,09/03/2014,09/03/2014,1,40,46,1,1,Construct,,,,,
P,T1,C312,W03a,PT1C312W03a,PT1C312W03a,09/04/2014,09/04/2014,1,41,46,1,90,Construct,,,,,
P,T1,C312,P06,PT1C312P06,PT1C312P06,12/03/2014,12/03/2014,1,11,8,1,14,Construct,Code 06.,"Lift ""P06"" does not exist in the RFC.",Code 06a.,P-P-S-6810-0004,
P,T1,C312,P05,PT1C312P05,PT1C312P05,12/17/2014,12/17/2014,1,23,20,1,0,Construct,Code 03.,"Lift ""P04&P05"" will be separated into ""P04"" and ""P052"". All quantities will be assigned to P05.",Code 03a.,P-P-S-6810-0004,
P,T1,C312,P04,PT1C312P04,PT1C312P04,12/17/2014,12/17/2014,1,0,0,0,1,Construct,Code 03.,"Lift ""P04&P05"" will be separated into ""P04"" and ""P052"". All quantities will be assigned to P05.",Code 03a.,P-P-S-6810-0004,
P,T1,C312,P03,PT1C312P03,PT1C312P03,12/18/2014,12/18/2014,1,0,0,0,18,Construct,Code 01.,"A new row was created under the name of ""P03"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0004,
P,T1,C312,W01c,PT1C312W01c,PT1C312W01c,01/05/2015,01/05/2015,1,75,48,1,0,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"". All quantities will be assigned to W01c.",Code 03a.,P-P-S-6810-0004,
P,T1,C312,W01d,PT1C312W01d,PT1C312W01d,01/05/2015,01/05/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"". All quantities will be assigned to W01c.",Code 03a.,P-P-S-6810-0004,
P,T1,C312,W01e,PT1C312W01e,PT1C312W01e,01/05/2015,01/05/2015,1,0,0,0,5,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"". All quantities will be assigned to W01c.",Code 03a.,P-P-S-6810-0001,
P,T1,C312,P02,PT1C312P02,PT1C312P02,01/10/2015,01/10/2015,1,16,17,1,2,Construct,,,,,
P,T1,C312,P01,PT1C312P01,PT1C312P01,01/12/2015,01/12/2015,1,7,5,1,-620,Construct,,,,,
P,T1,C311,F01a,PT1C311F01a,PT1C311F01a,05/02/2013,05/03/2013,2,382,368,2,-1,Construct,Code 03.,"Lift ""C3-11 a&b F01"" will be separated into ""C3-11 F01a"" and ""C3-11 F01b"". All quantities will be assigned to ""C3-11 F01a"".",Code 03a.,P-P-S-6810-0002,
P,T1,C311,F01b,PT1C311F01b,PT1C311F01b,05/02/2013,05/03/2013,2,0,0,0,447,Construct,Code 03.,"Lift ""C3-11 a&b F01"" will be separated into ""C3-11 F01a"" and ""C3-11 F01b"". All quantities will be assigned to ""C3-11 F01a"".",Code 03a.,P-P-S-6810-0002,
P,T1,C311,W05b,PT1C311W05b,PT1C311W05b,07/24/2014,07/24/2014,1,47,41,1,9,Construct,,,,,
P,T1,C311,W05a,PT1C311W05a,PT1C311W05a,08/02/2014,08/02/2014,1,40,43,1,14,Construct,,,,,
P,T1,C311,W04b,PT1C311W04b,PT1C311W04b,08/16/2014,08/16/2014,1,72,46,1,3,Construct,,,,,
P,T1,C311,W04a,PT1C311W04a,PT1C311W04a,08/19/2014,08/20/2014,2,60,46,2,28,Construct,,,,,
P,T1,C311,W03a,PT1C311W03a,PT1C311W03a,09/17/2014,09/17/2014,1,73,65,1,19,Construct,,,,,
P,T1,C311,W03b,PT1C311W03b,PT1C311W03b,10/06/2014,10/06/2014,1,64,65,1,-521,Construct,Code 05.,"Lift ""W03 B"" was renamed ""W03b"".",Code 05a.,P-P-S-6810-0002,
P,T1,C311,P07,PT1C311P07,PT1C311P07,05/03/2013,11/18/2014,565,0,0,1,-563,Construct,Code 01.,"A new row was created under the name of ""P07"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0004,
P,T1,C311,P06,PT1C311P06,PT1C311P06,05/04/2013,05/04/2013,1,0,0,0,565,Construct,Code 01.,"A new row was created under the name of ""P06"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0004,
P,T1,C311,P05,PT1C311P05,PT1C311P05,11/20/2014,11/20/2014,1,26,34,1,0,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to P05.",Code 03a.,P-P-S-6810-0004,
P,T1,C311,P04,PT1C311P04,PT1C311P04,11/20/2014,11/20/2014,1,0,0,0,8,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to P05.",Code 03a.,P-P-S-6810-0002,
P,T1,C311,P03,PT1C311P03,PT1C311P03,11/28/2014,11/28/2014,1,43,29,1,0,Construct,Code 03.,"Lift ""P02+P03"" will be separated into ""P02"" and ""P03"". All quantities will be assigned to P03.",Code 03a.,P-P-S-6810-0004,
P,T1,C311,P02,PT1C311P02,PT1C311P02,11/28/2014,11/28/2014,1,0,0,0,4,Construct,Code 03.,"Lift ""P02+P03"" will be separated into ""P02"" and ""P03"". All quantities will be assigned to P03.",Code 03a.,P-P-S-6810-0004,
P,T1,C311,W02b,PT1C311W02b,PT1C311W02b,12/02/2014,12/02/2014,1,25,33,1,0,Construct,Code 04.,"Lift ""W02b C3-11+12"" will be separated into ""W02b"" for monolith ""C3-11"" and ""W02b"" for monolith ""C3-12"". All quantities will be assigned to W02b, monolith C3-11.",Code 04a.,P-P-S-6810-0002,
P,T1,C312,W02b,PT1C312W02b,PT1C312W02b,12/02/2014,12/02/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02b C3-11+12"" will be separated into ""W02b"" for monolith ""C3-11"" and ""W02b"" for monolith ""C3-12"". All quantities will be assigned to W02b, monolith C3-11.",Code 04a.,P-P-S-6810-0004,
P,T1,C311,P01,PT1C311P01,PT1C311P01,12/02/2014,12/02/2014,1,8,16,1,7,Construct,,,,,
P,T1,C311,W02a,PT1C311W02a,PT1C311W02a,12/09/2014,12/09/2014,1,43,33,1,0,Construct,Code 04.,"Lift ""W02a C3-11+12"" will be separated into ""W02a"" for monolith ""C3-11"" and ""W02a"" for monolith ""C3-12"". All quantities will be assigned to W02a, monolith C3-11.",Code 04a.,P-P-S-6810-0002,
P,T1,C312,W02a,PT1C312W02a,PT1C312W02a,12/09/2014,12/09/2014,1,0,0,0,2,Construct,Code 04.,"Lift ""W02a C3-11+12"" will be separated into ""W02a"" for monolith ""C3-11"" and ""W02a"" for monolith ""C3-12"". All quantities will be assigned to W02a, monolith C3-11.",Code 04a.,P-P-S-6810-0005,
P,T1,C312,W02c,PT1C312W02c,PT1C312W02c,12/11/2014,12/11/2014,1,24,42,1,0,Construct,Code 04.,"Lift ""W02 c+d+e C3-11+12"" will be separated into ""W02c"" for monolith ""C3-11"", ""W02d"" for monolith ""C3-11"" and  ""W02e"" for monolith ""C3-11. All quantities will be assigned to lift C2c, monolith C3-12.",Code 04a.,P-P-S-6810-0004,
P,T1,C312,W02d,PT1C312W02d,PT1C312W02d,12/11/2014,12/11/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02 c+d+e C3-11+12"" will be separated into ""W02c"" for monolith ""C3-11"", ""W02d"" for monolith ""C3-11"" and  ""W02e"" for monolith ""C3-11. All quantities will be assigned to lift C2c, monolith C3-12.",Code 04a.,P-P-S-6810-0004,
P,T1,C312,W02e,PT1C312W02e,PT1C312W02e,12/11/2014,12/11/2014,1,0,0,0,4,Construct,Code 04.,"Lift ""W02 c+d+e C3-11+12"" will be separated into ""W02c"" for monolith ""C3-11"", ""W02d"" for monolith ""C3-11"" and  ""W02e"" for monolith ""C3-11. All quantities will be assigned to lift C2c, monolith C3-12.",Code 04a.,P-P-S-6810-0004,
P,T1,C311,W01b,PT1C311W01b,PT1C311W01b,12/15/2014,12/15/2014,1,54,38,1,0,Construct,Code 04.,"Lift ""W01b C3-11+12"" will be separated into ""W01b"" for monolith ""C3-11"" and ""W01b"" for monolith ""C3-12"". All quantities will be assigned to W01b, monolith C3-11.",Code 04a.,P-P-S-6810-0002,
