Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T2,C312,F01 a,PT2C312F01a,PT2C312F01a,09/03/2014,09/04/2014,2,192,200,2,22,Construct,.,,,
P,T2,C312,F01 b,PT2C312F01b,PT2C312F01b,09/26/2014,09/26/2014,1,231,200,1,12,Construct,,,,
P,T2,C312,W04 a,PT2C312W04a,PT2C312W04a,10/08/2014,10/08/2014,1,24,23,1,0,Construct,,,,
P,T2,C312,W04 b,PT2C312W04b,PT2C312W04b,10/08/2014,10/08/2014,1,16,23,1,21,Construct,,,,
P,T2,C312,W03 b,PT2C312W03b,PT2C312W03b,10/29/2014,10/29/2014,1,50,46,1,17,Construct,,,,
P,T2,C312,W03 a,PT2C312W03a,PT2C312W03a,11/15/2014,11/15/2014,1,50,46,1,39,Construct,,,,
P,T2,C312,W02c,PT2C312W02c,PT2C312W02c,12/24/2014,12/24/2014,1,22,42,1,21,Construct,,,,
P,T2,C312,W01 c,PT2C312W01c,PT2C312W01c,01/14/2015,01/14/2015,1,76,46,1,0,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"".  All quantities will be assigned to W01c.",Code 03a.,P-P-S-6820-0004
P,T2,C312,W01 d,PT2C312W01d,PT2C312W01d,01/14/2015,01/14/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"".  All quantities will be assigned to W01c.",Code 03a.,P-P-S-6820-0004
P,T2,C312,W01 e,PT2C312W01e,PT2C312W01e,01/14/2015,01/14/2015,1,0,0,0,-183,Construct,Code 03.,"Lift ""W01 c+d+e"" will be separated into ""W01c"", ""W01d"" and ""W01e"".  All quantities will be assigned to W01c.",Code 03a.,P-P-S-6820-0004
P,T2,C311,F01 a,PT2C311F01a,PT2C311F01a,07/15/2014,07/16/2014,2,376,358,2,-1,Construct,Code 03.,"Lift ""F01 a+b"" will be separated into ""F01a"" and ""F01b"".  All quantities will be assigned to F01a.",Code 03a.,P-P-S-6820-0004
P,T2,C311,F01 b,PT2C311F01b,PT2C311F01b,07/15/2014,07/16/2014,2,0,0,0,19,Construct,Code 03.,"Lift ""F01 a+b"" will be separated into ""F01a"" and ""F01b"".  All quantities will be assigned to F01a.",Code 03a.,P-P-S-6820-0004
P,T2,C311,W05 b,PT2C311W05b,PT2C311W05b,08/04/2014,08/04/2014,1,46,43,1,1,Construct,,,,
P,T2,C311,W05 a,PT2C311W05a,PT2C311W05a,08/05/2014,08/05/2014,1,47,43,1,52,Construct,,,,
P,T2,C311,W04 b,PT2C311W04b,PT2C311W04b,09/26/2014,09/26/2014,1,57,46,1,6,Construct,,,,
P,T2,C311,W04 a,PT2C311W04a,PT2C311W04a,10/02/2014,10/02/2014,1,48,46,1,21,Construct,,,,
P,T2,C311,W03 b,PT2C311W03b,PT2C311W03b,10/23/2014,10/23/2014,1,75,65,1,4,Construct,,,,
P,T2,C311,W03 a,PT2C311W03a,PT2C311W03a,10/27/2014,10/27/2014,1,65,65,1,19,Construct,,,,
P,T2,C311,P06,PT2C311P06,PT2C311P06,11/15/2014,11/15/2014,1,13,29,1,0,Construct,Code 03.,"Lift ""P06+P07"" will be divided into ""P06"" and ""P07"".  All quantities will be asigned to P06.",Code 03a.,P-P-S-6820-0004
P,T2,C311,P07,PT2C311P07,PT2C311P07,11/15/2014,11/15/2014,1,0,0,0,9,Construct,Code 03.,"Lift ""P06+P07"" will be divided into ""P06"" and ""P07"".  All quantities will be asigned to P06.",Code 03a.,P-P-S-6820-0004
P,T2,C311,P05,PT2C311P05,PT2C311P05,11/24/2014,11/24/2014,1,45,34,1,0,Construct,Code 03.,"Lift ""C3-11+12 P05+P04"" will be divided into ""C3-11 P05"", ""C3-11 P04"", ""C3-12 P05"" and ""C3-12 P04"".  All quantities will be asigned to C3-11 P05.",Code 03a.,P-P-S-6820-0004
P,T2,C311,P04,PT2C311P04,PT2C311P04,11/24/2014,11/24/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""C3-11+12 P05+P04"" will be divided into ""C3-11 P05"", ""C3-11 P04"", ""C3-12 P05"" and ""C3-12 P04"".  All quantities will be asigned to C3-11 P05.",Code 03a.,P-P-S-6820-0004
