Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T5,C302,F01,PT5C302F01,PT5C302F01,09/02/2014,09/03/2014,2,608,677,2,-1,Construct,Code 04.,"Lift ""C3-02 + C2-03-F01"" will be separated into ""C3-02 F01"" and ""C2-03 F01"".  All quantities will be assigned to ""C3-02 F01"".",Code 04a.,P-P-S-6850-0003
P,T5,C203,F01,PT5C203F01,PT5C203F01,09/02/2014,09/03/2014,2,0,0,0,7,Construct,Code 04.,"Lift ""C3-02 + C2-03-F01"" will be separated into ""C3-02 F01"" and ""C2-03 F01"".  All quantities will be assigned to ""C3-02 F01"".",Code 04a.,P-P-S-6850-0009
P,T5,C302,W02a,PT5C302W02a,PT5C302W02a,09/10/2014,09/10/2014,1,94,84,1,0,Construct,,,,
P,T5,C302,W02b,PT5C302W02b,PT5C302W02b,09/10/2014,09/10/2014,1,76,73,1,26,Construct,,,,
P,T5,C302,W01a,PT5C302W01a,PT5C302W01a,10/06/2014,10/07/2014,2,81,79,2,10,Construct,,,,
P,T5,C302,W01b,PT5C302W01b,PT5C302W01b,10/17/2014,10/17/2014,1,66,69,1,43,Construct,,,,
P,T5,C302,R02,PT5C302R02,PT5C302R02,11/29/2014,11/29/2014,1,352,350,1,0,Construct,Code 04.,"Lift ""C3-02+C2-03R02"" will be separated into ""C3-02R02"" and ""C3-03R02"".  All quantities will be assigned to ""C3-03R02"".",Code 04a.,P-P-S-6850-0003
P,T5,C303,R02,PT5C303R02,PT5C303R02,11/29/2014,11/29/2014,1,0,0,1,5,Construct,Code 04.,"Lift ""C3-02+C2-03R02"" will be separated into ""C3-02R02"" and ""C3-03R02"".  All quantities will be assigned to ""C3-03R02"".",Code 04a.,P-P-S-6850-0003
P,T5,C202,R01,PT5C202R01,PT5C202R01,12/04/2014,12/05/2014,2,448,452,2,-1,Construct,Code 04.,"Lift ""C3-02+C2-02R01"" will be separated into ""C3-02R01"" and ""C2-02R01"".  All quantities will be assigned to ""C2-02R01"".",Code 04a.,P-P-S-6850-0009
P,T5,C302,R01,PT5C302R01,PT5C302R01,12/04/2014,12/05/2014,2,0,0,0,-76,Construct,Code 04.,"Lift ""C3-02+C2-02R01"" will be separated into ""C3-02R01"" and ""C2-02R01"".  All quantities will be assigned to ""C2-02R01"".",Code 04a.,P-P-S-6850-0003
P,T5,C204,F01,PT5C204F01,PT5C204F01,09/20/2014,09/20/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C3-03+C2-04F01"" will be separated into ""C3-03F01"" and ""C2-04F01"".  All quantities will be assigned to ""C2-04F01"".",Code 04a.,P-P-S-6850-0009
P,T5,C303,F01,PT5C303F01,PT5C303F01,09/20/2014,09/20/2014,1,745,745,1,5,Construct,Code 04.,"Lift ""C3-03+C2-04F01"" will be separated into ""C3-03F01"" and ""C2-04F01"".  All quantities will be assigned to ""C2-04F01"".",Code 04a.,P-P-S-6850-0003
P,T5,C303,W02a,PT5C303W02a,PT5C303W02a,09/25/2014,09/25/2014,1,112,106,1,6,Construct,,,,
P,T5,C303,W02b,PT5C303W02b,PT5C303W02b,10/01/2014,10/01/2014,1,99,91,1,13,Construct,,,,
P,T5,C303,W01a,PT5C303W01a,PT5C303W01a,10/14/2014,10/14/2014,1,98,113,1,28,Construct,,,,
P,T5,C303,W01b,PT5C303W01b,PT5C303W01b,11/11/2014,11/11/2014,1,78,69,1,52,Construct,,,,
P,T5,C203,R02,PT5C203R02,PT5C203R02,01/02/2015,01/02/2015,1,344,237,1,0,Construct,Code 04.,"Lift ""C3-03+02-04R02"" will be separated into ""C2-03R02"" and ""C2-04R02"".  All quantities will be assigned to ""C2-03R02"".",Code 04a.,P-P-S-6850-0009
P,T5,C204,R02,PT5C204R02,PT5C204R02,01/02/2015,01/02/2015,1,0,0,0,8,Construct,Code 04.,"Lift ""C3-03+02-04R02"" will be separated into ""C2-03R02"" and ""C2-04R02"".  All quantities will be assigned to ""C2-03R02"".",Code 04a.,P-P-S-6850-0009
P,T5,C203,R01,PT5C203R01,PT5C203R01,01/10/2015,01/10/2015,1,508,508,1,0,Construct,Code 04.,"Lift ""C3-03+02-04R01"" will be separated into ""C2-03R01"", ""C3-03 R01"" and ""C2-04R01"".  All quantities will be assigned to ""C2-03R01"".",Code 04a.,P-P-S-6850-0009
P,T5,C303,R01,PT5C303R01,PT5C303R01,01/10/2015,01/10/2015,1,0,0,1,0,Construct,Code 04.,"Lift ""C3-03+02-04R01"" will be separated into ""C2-03R01"", ""C3-03 R01"" and ""C2-04R01"".  All quantities will be assigned to ""C2-03R01"".",Code 04a.,P-P-S-6850-0003
P,T5,C204,R01,PT5C204R01,PT5C204R01,01/10/2015,01/10/2015,1,0,0,0,-136,Construct,Code 04.,"Lift ""C3-03+02-04R01"" will be separated into ""C2-03R01"", ""C3-03 R01"" and ""C2-04R01"".  All quantities will be assigned to ""C2-03R01"".",Code 04a.,P-P-S-6850-0009
P,T5,C301,F01,PT5C301F01,PT5C301F01,08/27/2014,08/28/2014,2,853,853,2,-1,Construct,Code 04.,"Lift ""C3-01/C2-01/C2/02 F01"" will be separated into ""C3-01 F01"", ""C2-01 F01"" and ""C2-02 F012.   All quantities will be assigned to ""C3-01 F01"".",Code 04a.,P-P-S-6850-0003
P,T5,C201,F01,PT5C201F01,PT5C201F01,08/27/2014,08/28/2014,2,0,0,0,-1,Construct,Code 04.,"Lift ""C3-01/C2-01/C2/02 F01"" will be separated into ""C3-01 F01"", ""C2-01 F01"" and ""C2-02 F012.   All quantities will be assigned to ""C3-01 F01"".",Code 04a.,P-P-S-6850-0009
P,T5,C202,F01,PT5C202F01,PT5C202F01,08/27/2014,08/28/2014,2,0,0,0,5,Construct,Code 04.,"Lift ""C3-01/C2-01/C2/02 F01"" will be separated into ""C3-01 F01"", ""C2-01 F01"" and ""C2-02 F012.   All quantities will be assigned to ""C3-01 F01"".",Code 04a.,P-P-S-6850-0009
P,T5,C301,W02a,PT5C301W02a,PT5C301W02a,09/02/2014,09/02/2014,1,117,97,1,2,Construct,,,,
P,T5,C301,W02b,PT5C301W02b,PT5C301W02b,09/04/2014,09/04/2014,1,137,125,1,13,Construct,,,,
P,T5,C301,W01a,PT5C301W01a,PT5C301W01a,09/17/2014,09/17/2014,1,102,92,1,1,Construct,,,,
P,T5,C301,W01b,PT5C301W01b,PT5C301W01b,09/18/2014,09/19/2014,2,114,118,2,56,Construct,,,,
P,T5,C301,R02,PT5C301R02,PT5C301R02,11/14/2014,11/14/2014,1,279,279,1,0,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R02"" will be separated into ""C3-01 R02"", ""C2-01 R02"" and ""C2-02 R02"".  All quantiteis will be assigned to ""C3-01 R02"".",Code 04a.,P-P-S-6850-0003
P,T5,C201,R02,PT5C201R02,PT5C201R02,11/14/2014,11/14/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R02"" will be separated into ""C3-01 R02"", ""C2-01 R02"" and ""C2-02 R02"".  All quantiteis will be assigned to ""C3-01 R02"".",Code 04a.,P-P-S-6850-0003
P,T5,C202,R02,PT5C202R02,PT5C202R02,11/14/2014,11/14/2014,1,0,0,0,5,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R02"" will be separated into ""C3-01 R02"", ""C2-01 R02"" and ""C2-02 R02"".  All quantiteis will be assigned to ""C3-01 R02"".",Code 04a.,P-P-S-6850-0009
P,T5,C301,R01,PT5C301R01,PT5C301R01,11/19/2014,11/20/2014,2,478,572,2,-1,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R01"" will be separated into ""C3-01 R01"", ""C2-01 R01"" and ""C2-02 R01"".  All quantiteis will be assigned to ""C3-01 R01"".",Code 04a.,P-P-S-6850-0011
P,T5,C201,R01,PT5C201R01,PT5C201R01,11/19/2014,11/20/2014,2,0,0,0,-1,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R01"" will be separated into ""C3-01 R01"", ""C2-01 R01"" and ""C2-02 R01"".  All quantiteis will be assigned to ""C3-01 R01"".",Code 04a.,P-P-S-6850-0009
P,T5,C202,R01,PT5C202R01,PT5C202R01,11/19/2014,11/20/2014,2,0,0,0,-52,Construct,Code 04.,"Lift ""C3-01 +C2-01+02-R01"" will be separated into ""C3-01 R01"", ""C2-01 R01"" and ""C2-02 R01"".  All quantiteis will be assigned to ""C3-01 R01"".",Code 04a.,P-P-S-6850-0009
P,T5,C304,F01,PT5C304F01,PT5C304F01,09/29/2014,09/29/2014,1,280,403,1,33,Construct,,,,
P,T5,C304,W02b,PT5C304W02b,PT5C304W02b,11/01/2014,11/01/2014,1,75,73,1,-32,Construct,,,,
P,T5,C304,W02a,PT5C304W02a,PT5C304W02a,09/30/2014,09/30/2014,1,0,0,0,50,Construct,Code 01.,"A new row was created under the name of ""W02a"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-6850-0003
P,T5,C304,W01a,PT5C304W01a,PT5C304W01a,11/19/2014,11/19/2014,1,73,80,1,5,Construct,,,,
P,T5,C304,W01b,PT5C304W01b,PT5C304W01b,11/24/2014,11/24/2014,1,71,65,1,61,Construct,,,,
P,T5,C304,R02,PT5C304R02,PT5C304R02,01/24/2015,01/24/2015,1,120,165,1,5,Construct,,,,
P,T5,C304,R01,PT5C304R01,PT5C304R01,01/29/2015,01/29/2015,1,170,144,1,-105,Construct,,,,
P,T5,C305,F01,PT5C305F01,PT5C305F01,10/16/2014,10/16/2014,1,303,341,1,14,Construct,,,,
P,T5,C305,W02a,PT5C305W02a,PT5C305W02a,10/30/2014,10/30/2014,1,72,84,1,15,Construct,,,,
P,T5,C305,W02b,PT5C305W02b,PT5C305W02b,11/14/2014,11/14/2014,1,94,85,1,29,Construct,,,,
P,T5,C305,W01a,PT5C305W01a,PT5C305W01a,12/13/2014,12/13/2014,1,65,70,1,4,Construct,,,,
P,T5,C305,W01b,PT5C305W01b,PT5C305W01b,12/17/2014,12/17/2014,1,54,64,1,55,Construct,,,,
P,T5,C305,R02,PT5C305R02,PT5C305R02,02/10/2015,02/10/2015,1,104,143,1,8,Construct,,,,
P,T5,C305,R01,PT5C305R01,PT5C305R01,02/18/2015,02/19/2015,2,193,206,2,-77,Construct,,,,
P,T5,C306,F01,PT5C306F01,PT5C306F01,12/04/2014,12/04/2014,1,264,286,1,41,Construct,,,,
P,T5,C306,W02b,PT5C306W02b,PT5C306W02b,01/14/2015,01/14/2015,1,64,68,1,2,Construct,,,,
P,T5,C306,W02a,PT5C306W02a,PT5C306W02a,01/16/2015,01/16/2015,1,72,70,1,12,Construct,,,,
P,T5,C306,W01a,PT5C306W01a,PT5C306W01a,01/28/2015,01/28/2015,1,80,67,1,8,Construct,,,,
P,T5,C306,W01b,PT5C306W01b,PT5C306W01b,02/05/2015,02/05/2015,1,71,58,1,23,Construct,,,,
P,T5,C306,R02,PT5C306R02,PT5C306R02,02/28/2015,02/28/2015,1,120,112,1,5,Construct,,,,
P,T5,C306,R01,PT5C306R01,PT5C306R01,03/05/2015,03/05/2015,1,208,187,1,-73,Construct,,,,
P,T5,C307,F01,PT5C307F01,PT5C307F01,12/22/2014,12/22/2014,1,244,244,1,24,Construct,,,,
P,T5,C307,W02a,PT5C307W02a,PT5C307W02a,01/15/2015,01/15/2015,1,66,65,1,16,Construct,,,,
P,T5,C307,W02b,PT5C307W02b,PT5C307W02b,01/31/2015,01/31/2015,1,50,65,1,0,Construct,Code 05.,"Lift ""W02B"" will be renamed as ""W02b"".",Code 05a.,P-P-S-6850-0004
P,T5,C307,W01a,PT5C307W01a,PT5C307W01a,01/31/2015,01/31/2015,1,71,62,1,9,Construct,Code 05.,"Lift ""W01A"" will be renamed as ""W01a"".",Code 05a.,P-P-S-6850-0003
P,T5,C207,W06,PT5C207W06,PT5C207W06,02/09/2015,02/10/2015,2,40,24,2,-1,Construct,Code 05.,"Lift ""C3-07 W06"" will be renamed as ""C2-07 W06"".",Code 05a.,P-P-S-6850-0009
P,T5,C307,W01b,PT5C307W01b,PT5C307W01b,02/09/2015,02/09/2015,1,64,62,1,31,Construct,,,,
P,T5,C307,R02,PT5C307R02,PT5C307R02,03/12/2015,03/12/2015,1,101,107,1,5,Construct,,,,
P,T5,C307,R01,PT5C307R01,PT5C307R01,03/17/2015,03/17/2015,1,155,178,1,-162,Construct,,,,
P,T5,C308,W02a,PT5C308W02a,PT5C308W02a,10/06/2014,01/07/2015,94,208,176,2,-23,Construct,Code 02.,"Joining lifts ""W02A"" and ""W02a"" under the name of ""W02a"".",Code 05a.,P-P-S-6850-0003
P,T5,C308,F01,PT5C308F01,PT5C308F01,12/15/2014,12/16/2014,2,449,394,2,28,Construct,,,,
