Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF5,SL,11,PTRF5SL11,PTRF5SL11,04/10/2013,08/28/2013,141,438,415,2,-140,Construct,"Code 02.
Code 03.","Joining lifts ""SL 11+12"" and ""SL 12&11"".
The joined lift will be then separated into ""SL11"" and ""SL12"". All quantities will be assigned to ""SL11"".","Code 02a
Code 03a.",P-P-S-6140-0001
P,TRF5,SL,12,PTRF5SL12,PTRF5SL12,04/10/2013,08/28/2013,141,0,0,0,-124,Construct,"Code 02.
Code 03.","Joining lifts ""SL 11+12"" and ""SL 12&11"".
The joined lift will be then separated into ""SL11"" and ""SL12"". All quantities will be assigned to ""SL11"".","Code 02a
Code 03a.",P-P-S-6140-0001
P,TRF5,SL,10,PTRF5SL10,PTRF5SL10,04/26/2013,09/04/2013,132,178,155,3,-60,Construct,,,,
P,TRF5,SL,09,PTRF5SL09,PTRF5SL09,07/06/2013,07/06/2013,1,249,195,1,24,Construct,,,,
P,TRF5,SL,08a,PTRF5SL08a,PTRF5SL08a,07/30/2013,07/30/2013,1,345,240,1,0,Construct,Code 03.,"Lift ""SL 08"" will be divided into ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,08b,PTRF5SL08b,PTRF5SL08b,07/30/2013,07/30/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 08"" will be divided into ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,08c,PTRF5SL08c,PTRF5SL08c,07/30/2013,07/30/2013,1,0,0,0,25,Construct,Code 03.,"Lift ""SL 08"" will be divided into ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,07a,PTRF5SL07a,PTRF5SL07a,08/24/2013,08/24/2013,1,417,275,1,0,Construct,Code 03.,"Lift ""SL 07"" will be divided into ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,07b,PTRF5SL07b,PTRF5SL07b,08/24/2013,08/24/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 07"" will be divided into ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,07c,PTRF5SL07c,PTRF5SL07c,08/24/2013,08/24/2013,1,0,0,0,19,Construct,Code 03.,"Lift ""SL 07"" will be divided into ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,06a,PTRF5SL06a,PTRF5SL06a,09/12/2013,09/13/2013,2,329,295,2,-1,Construct,Code 03.,"Lift ""SL 06"" will be divided into ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,06b,PTRF5SL06b,PTRF5SL06b,09/12/2013,09/13/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""SL 06"" will be divided into ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,06c,PTRF5SL06c,PTRF5SL06c,09/12/2013,09/13/2013,2,0,0,0,19,Construct,Code 03.,"Lift ""SL 06"" will be divided into ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,05a,PTRF5SL05a,PTRF5SL05a,10/02/2013,10/02/2013,1,360,325,1,0,Construct,Code 03.,"Lift ""SL 05"" will be divided into ""SL 05a"", ""SL 05b"" and ""SL 05c"". All quantities will be assigned to ""SL 05a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,05b,PTRF5SL05b,PTRF5SL05b,10/02/2013,10/02/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 05"" will be divided into ""SL 05a"", ""SL 05b"" and ""SL 05c"". All quantities will be assigned to ""SL 05a""",Code 03a.,P-P-S-6140-0001
