Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF6,SL,11,PTRF6SL11,PTRF6SL11,05/27/2013,10/01/2013,128,470,415,3,-127,Construct,Code 03.,"Lift ""SL 11+12"" will be divided into  ""SL 11"" and ""SL 12"". All quantities will be assigned to ""SL 11"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,12,PTRF6SL12,PTRF6SL12,05/27/2013,10/01/2013,128,0,0,0,-75,Construct,Code 03.,"Lift ""SL 11+12"" will be divided into  ""SL 11"" and ""SL 12"". All quantities will be assigned to ""SL 11"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,10,PTRF6SL10,PTRF6SL10,07/18/2013,07/19/2013,2,185,155,2,17,Construct,,,,
P,TRF6,SL,9,PTRF6SL09,PTRF6SL09,08/05/2013,08/05/2013,1,214,195,1,14,Construct,,,,
P,TRF6,SL,08a,PTRF6SL08a,PTRF6SL08a,08/19/2013,08/19/2013,1,277,240,1,0,Construct,Code 03.,"Lift ""SL 08"" will be divided into  ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,08b,PTRF6SL08b,PTRF6SL08b,08/19/2013,08/19/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 08"" will be divided into  ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,08c,PTRF6SL08c,PTRF6SL08c,08/19/2013,08/19/2013,1,0,0,0,21,Construct,Code 03.,"Lift ""SL 08"" will be divided into  ""SL 08a"", ""SL 08b"" and ""SL 08c"". All quantities will be assigned to ""SL 08a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,07a,PTRF6SL07a,PTRF6SL07a,09/09/2013,09/09/2013,1,401,275,1,0,Construct,Code 03.,"Lift ""SL 07"" will be divided into  ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,07b,PTRF6SL07b,PTRF6SL07b,09/09/2013,09/09/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 07"" will be divided into  ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,07c,PTRF6SL07c,PTRF6SL07c,09/09/2013,09/09/2013,1,0,0,0,17,Construct,Code 03.,"Lift ""SL 07"" will be divided into  ""SL 07a"", ""SL 07b"" and ""SL 07c"". All quantities will be assigned to ""SL 07a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,06a,PTRF6SL06a,PTRF6SL06a,09/26/2013,09/26/2013,1,465,295,1,0,Construct,Code 03.,"Lift ""SL 06"" will be divided into  ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,06b,PTRF6SL06b,PTRF6SL06b,09/26/2013,09/26/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""SL 06"" will be divided into  ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a"".",Code 03a.,P-P-S-6150-0001
P,TRF6,SL,06c,PTRF6SL06c,PTRF6SL06c,09/26/2013,09/26/2013,1,0,0,0,13,Construct,Code 03.,"Lift ""SL 06"" will be divided into  ""SL 06a"", ""SL 06b"" and ""SL 06c"". All quantities will be assigned to ""SL 06a"".",Code 03a.,P-P-S-6150-0001
