Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,Revision Process,,,RFC
P,CC1,A,05,PCC1A05,PCC1A05,06/28/2012,06/29/2012,2,977,935,2,Construct,20,.,,,
P,CC1,A,04a,PCC1A04a,PCC1A04a,07/19/2012,07/20/2012,2,202,140,2,Construct,11,,,,
P,CC1,A,04b,PCC1A04b,PCC1A04b,07/31/2012,07/31/2012,1,184,140,1,Construct,8,,,,
P,CC1,A,03a,PCC1A03a,PCC1A03a,08/08/2012,08/08/2012,1,155,145,1,Construct,7,,,,
P,CC1,A,03b,PCC1A03b,PCC1A03b,08/15/2012,08/15/2012,1,185,145,1,Construct,238,,,,
P,CC1,B,05,PCC1B05,PCC1B05,04/10/2013,04/11/2013,2,689,653,2,Construct,76,,,,
P,CC1,B,04a,PCC1B04a,PCC1B04a,06/26/2013,06/26/2013,1,100,81,1,Construct,-9,,,,
P,CC1,B,04b,PCC1B04b,PCC1B04b,06/17/2013,06/18/2013,2,216,134,2,Construct,17,,,,
P,CC1,B,04c,PCC1B04c,PCC1B04c,07/05/2013,07/05/2013,1,73,66,1,Construct,6,,,,
P,CC1,B,03a,PCC1B03a,PCC1B03a,07/11/2013,07/12/2013,2,80,84,2,Construct,0,Code 05.,"Lift renamed from ""C03a"" to ""03a"" to match the RFC.",Code 05a.,P-P-S-5212-0001
P,CC1,B,03b,PCC1B03b,PCC1B03b,07/12/2013,07/12/2013,1,192,139,1,Construct,6,Code 05.,"Lift renamed from ""C03a"" to ""03a"" to match the RFC.",Code 05a.,P-P-S-5212-0001
P,CC1,B,03c,PCC1B03c,PCC1B03c,07/18/2013,07/18/2013,1,68,68,1,Construct,21,,,,
P,CC1,B,02,PCC1B02,PCC1B02,08/08/2013,08/09/2013,2,760,645,2,Construct,3,,,,
P,CC1,B,01,PCC1B01,PCC1B01,08/12/2013,08/13/2013,2,1288,762,2,Construct,-96,,,,
P,CC1,C,05,PCC1C05,PCC1C05,05/09/2013,06/12/2013,35,765,624,3,Construct,19,Code 02.,"Joining ""05"" and ""05 a+b+c+"" under the name of ""05""",Code 02a.,P-P-S-5215-0001
P,CC1,C,04a,PCC1C04a,PCC1C04a,07/01/2013,07/01/2013,1,176,62,1,Construct,0,,,,
P,CC1,C,04b,PCC1C04b,PCC1C04b,07/01/2013,07/01/2013,1,144,121,1,Construct,11,,,,
P,CC1,C,04c,PCC1C04c,PCC1C04c,07/12/2013,07/12/2013,1,120,69,1,Construct,12,,,,
P,CC1,C,03a,PCC1C03a,PCC1C03a,07/24/2013,07/24/2013,1,92,65,1,Construct,0,,,,
P,CC1,C,03b,PCC1C03b,PCC1C03b,07/24/2013,07/24/2013,1,188,125,1,Construct,0,,,,
P,CC1,C,03c,PCC1C03c,PCC1C03c,07/24/2013,07/24/2013,1,72,72,1,Construct,33,,,,
P,CC1,C,02,PCC1C02,PCC1C02,08/26/2013,08/27/2013,2,732,610,2,Construct,2,,,,
P,CC1,C,01,PCC1C01,PCC1C01,08/29/2013,08/30/2013,2,886,722,2,Construct,-177,,,,
P,CC1,D,05,PCC1D05,PCC1D05,03/06/2013,03/07/2013,2,945,844,2,Construct,19,,,,
P,CC1,D,04a,PCC1D04a,PCC1D04a,03/26/2013,03/26/2013,1,80,64,1,Construct,-1,,,,
P,CC1,D,04b,PCC1D04b,PCC1D04b,03/25/2013,03/25/2013,1,80,64,1,Construct,0,,,,
P,CC1,D,04c,PCC1D04c,PCC1D04c,03/25/2013,03/26/2013,2,296,285,2,Construct,17,,,,
P,CC1,D,03a,PCC1D03a,PCC1D03a,04/12/2013,04/13/2013,2,152,134,2,Construct,-1,Code 03.,"Lift ""03 a+b"" will be divided into ""03a"" and ""03b"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5217-0001
P,CC1,D,03b,PCC1D03b,PCC1D03b,04/12/2013,04/13/2013,2,0,0,0,Construct,4,Code 03.,"Lift ""03 a+b"" will be divided into ""03a"" and ""03b"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5217-0001
