Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,Revision Process,,,RFC,,,
P,CC2,A,05,PCC2A05,PCC2A05,01/11/2012,01/12/2012,2,982.12,935,2,Construct,27,.,,,,,,
P,CC2,A,04a,PCC2A04a,PCC2A04a,02/08/2012,02/08/2012,1,202,140,1,Construct,-7,,,,,,,
P,CC2,A,04b,PCC2A04b,PCC2A04b,02/01/2012,02/02/2012,2,208,140,2,Construct,21,,,,,,,
P,CC2,A,03a,PCC2A03a,PCC2A03a,02/23/2012,02/24/2012,2,166,145,2,Construct,3,,,,,,,
P,CC2,A,03b,PCC2A03b,PCC2A03b,02/27/2012,02/27/2012,1,199,145,1,Construct,324,Code 02.,"Joining ""03"" and ""03b"" under the name of ""03b"", all quantities added to ""03b"".",Code 02a.,P-P-S-5302-0001,,,
P,CC2,B,05,PCC2B05,PCC2B05,01/16/2013,01/17/2013,2,705,653,2,Construct,29,,,,,,,
P,CC2,B,04a,PCC2B04a,PCC2B04a,02/15/2013,02/15/2013,1,92,66,1,Construct,-1,,,,,,,
P,CC2,B,04b,PCC2B04b,PCC2B04b,02/14/2013,02/15/2013,2,168,134,2,Construct,0,,,,,,,
P,CC2,B,04c,PCC2B04c,PCC2B04c,02/15/2013,02/15/2013,1,60,81,1,Construct,13,,,,,,,
P,CC2,B,03a,PCC2B03a,PCC2B03a,02/28/2013,02/28/2013,1,88,84,1,Construct,0,,,,,,,
P,CC2,B,03b,PCC2B03b,PCC2B03b,02/28/2013,02/28/2013,1,148,139,1,Construct,0,,,,,,,
P,CC2,B,03c,PCC2B03c,PCC2B03c,02/28/2013,02/28/2013,1,64,134,1,Construct,19,,,,,,,
P,CC2,B,02,PCC2B02,PCC2B02,03/19/2013,03/20/2013,2,640,645,1,Construct,8,,,,,,,
P,CC2,B,01,PCC2B01,PCC2B01,03/28/2013,03/28/2013,1,720,762,1,Construct,-52,,,,,,,
P,CC2,C,05,PCC2C05,PCC2C05,02/04/2013,02/04/2013,1,665,624,1,Construct,87,,,,,,,
