Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,,,,
P,CU1,C,04a,PCU1C04a,PCU1C04a,12/3/2011,12/3/2011,1,139,124,1,6,Construct,.,,,,,,,
P,CU1,C,04b,PCU1C04b,PCU1C04b,12/9/2011,12/9/2011,1,140,124,1,169,Construct,,,,,,,,
P,CU1,C,04c,PCU1C04c,PCU1C04c,5/26/2012,5/27/2012,2,152,124,2,4,Construct,,,,,,,,
P,CU1,C,04d,PCU1C04d,PCU1C04d,5/31/2012,6/1/2012,2,144,124,2,-143,Construct,,,,,,,,
P,CU1,C,03 bs,PCU1C03bS,PCU1C03bS,1/10/2012,1/10/2012,1,111,66,1,0,Construct,,,,,,,,
P,CU1,C,03 bn,PCU1C03bN,PCU1C03bN,1/10/2012,1/23/2012,14,101,66,2,0,Construct,,,,,,,,
P,CU1,C,03 as,PCU1C03aS,PCU1C03aS,1/23/2012,1/23/2012,1,104,66,1,4,Construct,,,,,,,,
P,CU1,C,03 an,PCU1C03aN,PCU1C03aN,1/27/2012,1/27/2012,1,74,66,1,134,Construct,,,,,,,,
P,CU1,C,03 cs,PCU1C03cS,PCU1C03cS,6/9/2012,6/9/2012,1,0,0,0,0,Construct,Code 03.,"Lift ""03 c-N&S"" will be divided into ""03cs"" and ""03cn"".  All quantities will be assigned to ""C03cn"".",Code 03a.,P-P-S-5602-0001.,,,,
P,CU1,C,03 cn,PCU1C03cN,PCU1C03cN,6/9/2012,6/9/2012,1,208,132,1,6,Construct,Code 03.,"Lift ""03 c-N&S"" will be divided into ""03cs"" and ""03cn"".  All quantities will be assigned to ""C03cn"".",Code 03a.,P-P-S-5602-0001.,,,,
P,CU1,C,03 ds,PCU1C03dS,PCU1C03dS,6/15/2012,6/15/2012,1,0,0,0,0,Construct,,,,,,,,
P,CU1,C,03 dn,PCU1C03dN,PCU1C03dN,6/15/2012,6/15/2012,1,208,132,1,-109,Construct,,,,,,,,
P,CU1,C,02a,PCU1C02a,PCU1C02a,2/27/2012,2/28/2012,2,234,137,2,1,Construct,,,,,,,,
P,CU1,C,02b,PCU1C02b,PCU1C02b,2/29/2012,2/29/2012,1,160,137,1,118,Construct,,,,,,,,
P,CU1,C,02c,PCU1C02c,PCU1C02c,6/26/2012,6/26/2012,1,203,137,1,2,Construct,,,,,,,,
P,CU1,C,02d,PCU1C02d,PCU1C02d,6/28/2012,6/29/2012,2,208,137,2,-116,Construct,,,,,,,,
P,CU1,C,01a,PCU1C01a,PCU1C01a,3/5/2012,3/8/2012,4,555.27,416,2,0,Construct,,,,,,,,
P,CU1,C,01b,PCU1C01b,PCU1C01b,3/8/2012,7/5/2012,120,845,416,2,-196,Construct,,,,,,,,
P,CU1,1E,4,PCU11E04,PCU11E04,12/22/2011,12/22/2011,1,501,430,1,48,Construct,,,,,,,,
P,CU1,1E,03N,PCU11E03N,PCU11E03N,2/8/2012,2/8/2012,1,208,200,1,-7,Construct,,,,,,,,
P,CU1,1E,03S,PCU11E03S,PCU11E03S,2/1/2012,2/2/2012,2,349,200,2,-170,Construct,,,,,,,,
P,CU1,2E,16,PCU12E16,PCU12E16,8/16/2011,8/16/2011,1,104,95,1,4,Construct,,,,,,,,
