Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M01,F02a,PUEM01F02a,PUEM01F02a,2/23/2012,2/24/2012,2,616,720,2,-1,Construct,Code 03.,"Lift ""F02"" will be separated into ""F02a"" and ""F02b"".    All quantities will be assigned to ""F02a"".",Code 03a.,P-P-S-1700-0002,"Model has F02a, changing table",,
P,UE,M01,F02b,PUEM01F02b,PUEM01F02b,2/23/2012,2/24/2012,2,0,0,0,20,Construct,Code 03.,"Lift ""F02"" will be separated into ""F02a"" and ""F02b"".    All quantities will be assigned to ""F02a"".",Code 03a.,P-P-S-1700-0002,"Model has F02a, changing table",,
P,UE,M01,F01a,PUEM01F01a,PUEM01F01a,3/15/2012,3/15/2012,1,480,480,1,4,Construct,,,,,,,
P,UE,M01,F01b,PUEM01F01b,PUEM01F01b,3/19/2012,3/19/2012,1,547,560,1,31,Construct,,,,,,,
P,UE,M01,C07a,PUEM01C07a,PUEM01C07a,4/19/2012,4/19/2012,1,73,73,1,12,Construct,,,,,,,
P,UE,M01,C07b,PUEM01C07b,PUEM01C07b,5/1/2012,5/1/2012,1,60,22,1,1,Construct,,,,,,,
P,UE,M01,C06a,PUEM01C06a,PUEM01C06a,5/2/2012,5/2/2012,1,145,145,1,6,Construct,,,,,,,
P,UE,M01,C06b,PUEM01C06b,PUEM01C06b,5/8/2012,5/9/2012,2,659,675,2,8,Construct,,,,,,,
P,UE,M01,C05a,PUEM01C05a,PUEM01C05a,5/17/2012,5/18/2012,2,93,93,2,8,Construct,,,,,,,
P,UE,M01,C05b,PUEM01C05b,PUEM01C05b,5/26/2012,5/26/2012,1,0,0,1,-5,Construct,Code 03.,"Lift ""C04&C05b"" will be separated into ""C04b"" and ""C05b"".  All quantities will be asigned to ""C04b"".",Code 03a.,P-P-S-1702-0001,,,Cell have been duplicated to match drawings
