Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,FS,U12,A,PFSU12A,PFSU12A,10/19/2013,10/19/2013,1,488,438,4,0,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7823-0001
P,FS,U12,B,PFSU12B,PFSU12B,10/19/2013,10/19/2013,1,0,0,0,46,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7823-0001
P,FS,U12,C,PFSU12C,PFSU12C,12/04/2013,12/05/2013,2,444,428,4,-1,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7823-0001
P,FS,U12,D,PFSU12D,PFSU12D,12/04/2013,12/05/2013,2,0,0,0,-50,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7823-0001
P,FS,U13,A,PFSU13A,PFSU13A,10/16/2013,10/16/2013,1,416,428,2,0,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7824-0001
P,FS,U13,B,PFSU13B,PFSU13B,10/16/2013,10/16/2013,1,0,0,0,52,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7824-0001
P,FS,U13,C,PFSU13C,PFSU13C,12/07/2013,12/07/2013,1,422,428,2,0,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7824-0001
P,FS,U13,D,PFSU13D,PFSU13D,12/07/2013,12/07/2013,1,0,0,0,-58,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7824-0001
P,FS,U14,A,PFSU14A,PFSU14A,10/10/2013,10/11/2013,2,432,428,4,-1,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7825-0001
P,FS,U14,B,PFSU14B,PFSU14B,10/10/2013,10/11/2013,2,0,0,0,50,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7825-0001
P,FS,U14,C,PFSU14C,PFSU14C,11/30/2013,11/30/2013,1,414,428,2,0,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7825-0001
P,FS,U14,D,PFSU14D,PFSU14D,11/30/2013,11/30/2013,1,0,0,0,-78,Construct,Code 03.,"Lift ""C+D"" will be divided into ""C"" and ""D"".  All quantities will be assigned to ""C"".",Code 03a.,P-P-S-7825-0001
P,FS,U15,A,PFSU15A,PFSU15A,09/13/2013,09/14/2013,2,368,344,4,-1,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7826-0001
P,FS,U15,B,PFSU15B,PFSU15B,09/13/2013,09/14/2013,2,0,0,0,82,Construct,Code 03.,"Lift ""A+B"" will be divided into ""A"" and ""B"".  All quantities will be assigned to ""A"".",Code 03a.,P-P-S-7826-0001
