Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M01,F02,PUWM01F02,PUWM01F02,02/24/2012,02/25/2012,2,568,530,2,5,Construct,.,,,,"model has wrong name, correct.",,
P,UW,M01,F01,PUWM01F01,PUWM01F01,03/01/2012,03/01/2012,1,764,790,1,26,Construct,,,,,,,
P,UW,M01,C10,PUWM01C10,PUWM01C10,03/27/2012,03/28/2012,2,927,927,2,29,Construct,,,,,,,
P,UW,M01,C09,PUWM01C09,PUWM01C09,04/26/2012,04/26/2012,1,370,350,1,40,Construct,,,,,,,
P,UW,M01,C08,PUWM01C08,PUWM01C08,06/05/2012,06/07/2012,3,528,805,3,12,Construct,,,,,,,
P,UW,M01,C07,PUWM01C07,PUWM01C07,06/19/2012,06/21/2012,3,873,755,3,26,Construct,,,,,,,
P,UW,M01,C06b,PUWM01C06b,PUWM01C06b,07/17/2012,07/17/2012,1,288,265,1,13,Construct,Code 05.,"Lift ""C06"" will be renamed as ""C06b"".",Code 05a.,P-P-S-1203-0001,"Model has C06a and b, changing name to C06 b",,
P,UW,M01,C06a,PUWM01C06a,PUWM01C06a,07/30/2012,07/30/2012,1,73,0,1,10,Construct,,,,,,,
P,UW,M01,C05a,PUWM01C05a,PUWM01C05a,08/09/2012,08/09/2012,1,128,128,1,61,Construct,,,,,,,
P,UW,M01,C05b,PUWM01C05b,PUWM01C05b,10/09/2012,10/10/2012,2,462,457,2,-50,Construct,,,,,,,
P,UW,M01,C04a,PUWM01C04a,PUWM01C04a,08/21/2012,08/22/2012,2,123,123,2,57,Construct,,,,,,,
P,UW,M01,C04b,PUWM01C04b,PUWM01C04b,10/18/2012,10/19/2012,2,509,482,2,-52,Construct,,,,,,,
P,UW,M01,C03a,PUWM01C03a,PUWM01C03a,08/28/2012,08/28/2012,1,61,61,1,60,Construct,,,,,,,
P,UW,M01,C03b,PUWM01C03b,PUWM01C03b,10/27/2012,10/27/2012,1,190,190,1,117,Construct,,,,,"Model has wrong name (capital b), correct.",,
P,UW,M01,C02,PUWM01C02,PUWM01C02,02/21/2013,02/21/2013,1,390,370,1,18,Construct,,,,,,,
P,UW,M01,C01,PUWM01C01,PUWM01C01,03/11/2013,03/12/2013,2,1055,1092,2,267,Construct,Code 05.,"Lift ""C01b"" will be renamed as ""C01"".",Code 05a.,P-P-S-1203-0001,"model has conly C01, chaning name.",,
P,UW,M01,W08,PUWM01W08,PUWM01W08,12/04/2013,12/04/2013,1,120,105,1,12,Construct,,,,,,,
