Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,VS1,,C05b1,PVS1C05b1,PVS1C05b1,10/27/2012,10/27/2012,1,536.28,536,1,0,Construct,Code 03.,"Lift ""1&2&3"" will be divided into ""1"", ""2"" and ""3"".  All quantities will be assigned to ""1"".",Code 03a.,P-P-S-6700-0003
P,VS1,,C05b2,PVS1C05b2,PVS1C05b2,10/27/2012,10/27/2012,1,0,0,0,0,Construct,Code 03.,"Lift ""1&2&3"" will be divided into ""1"", ""2"" and ""3"".  All quantities will be assigned to ""1"".",Code 03a.,P-P-S-6700-0003
P,VS1,,C05b3,PVS1C05b3,PVS1C05b3,10/27/2012,10/27/2012,1,0,0,0,18,Construct,Code 03.,"Lift ""1&2&3"" will be divided into ""1"", ""2"" and ""3"".  All quantities will be assigned to ""1"".",Code 03a.,P-P-S-6700-0003
P,VS1,,C05a1,PVS1C05a1,PVS1C05a1,11/14/2012,11/14/2012,1,184,174,1,5,Construct,,,,
P,VS1,,C05a2,PVS1C05a2,PVS1C05a2,11/19/2012,11/19/2012,1,160,168,1,3,Construct,,,,
P,VS1,,C05a3,PVS1C05a3,PVS1C05a3,11/22/2012,11/23/2012,2,168,174,2,19,Construct,,,,
P,VS1,,C04a1,PVS1C04a1,PVS1C04a1,12/12/2012,12/13/2012,2,648,568,2,-1,Construct,Code 04.,"Lift ""C04a&b 1"" will be separated into ""C04a"" for lift 1 and ""C04b"" for lift 1.  All quantities will be assigned to ""C04b"" for lift 1. ",Code 04a.,P-P-S-6700-0001
P,VS1,,C04b1,PVS1C04b1,PVS1C04b1,12/12/2012,12/13/2012,2,0,0,0,7,Construct,Code 04.,"Lift ""C04a&b 1"" will be separated into ""C04a"" for lift 1 and ""C04b"" for lift 1.  All quantities will be assigned to ""C04a"" for lift 1. ",Code 04a.,P-P-S-6700-0003
P,VS1,,C04a2,PVS1C04a2,PVS1C04a2,12/20/2012,12/20/2012,1,596,544,1,0,Construct,Code 04.,"Lift ""C04a&b 2"" will be separated into ""C04a"" for lift 2 and ""C04b"" for lift 2.  All quantities will be assigned to ""C04a"" for lift 2. ",Code 04a.,P-P-S-6700-0001
P,VS1,,C04b2,PVS1C04b2,PVS1C04b2,12/20/2012,12/20/2012,1,0,0,0,14,Construct,Code 04.,"Lift ""C04a&b 2"" will be separated into ""C04a"" for lift 2 and ""C04b"" for lift 2.  All quantities will be assigned to ""C04a"" for lift 2. ",Code 04a.,P-P-S-6700-0003
P,VS1,,C04a3,PVS1C04a3,PVS1C04a3,01/03/2013,01/04/2013,2,647.12,576,2,-1,Construct,Code 04.,"Lift ""C04a&b 3"" will be separated into ""C04a"" for lift 3 and ""C04b"" for lift 3.  All quantities will be assigned to ""C04a"" for lift 3. ",Code 04a.,P-P-S-6700-0001
P,VS1,,C04b3,PVS1C04b3,PVS1C04b3,01/03/2013,01/04/2013,2,0,0,0,40,Construct,Code 04.,"Lift ""C04a&b 3"" will be separated into ""C04a"" for lift 3 and ""C04b"" for lift 3.  All quantities will be assigned to ""C04a"" for lift 3. ",Code 04a.,P-P-S-6700-0003
P,VS1,,C03a1,PVS1C03a1,PVS1C03a1,02/13/2013,02/13/2013,1,116,107,1,0,Construct,Code 04.,"Lift ""C03a&b 1"" will be separated into ""C03a"" for lift 1 and ""C03b"" for lift 1.  All quantities will be assigned to ""C03a"" for lift 1. ",Code 04a.,P-P-S-6700-0003
