Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,VS2,,C01a,PVS2C01a,PVS2C01a,06/19/2013,06/26/2013,8,571,547,3,-7,Construct,Code 03.,"Lift ""C1a&b"" will be separated into ""C1"" and ""C1b"".  All quantities will be assigned to ""C1"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C01b1,PVS2C01b1,PVS2C01b1,06/19/2013,06/26/2013,8,0,0,0,20,Construct,Code 03.,"Lift ""C1a&b"" will be separated into ""C1a"" and ""C1b"".  All quantities will be assigned to ""C1a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C01b3,PVS2C01b3,PVS2C01b3,07/16/2013,07/18/2013,3,617,569,4,9,Construct,"Code 05.

Code 02.","Lift ""C1a&b"" will be renamed as ""C1b"".

Joining Lift ""C1b 3"" with ""C1a&b (1st stage) 3"" under the name of ""C1b 3"".","Code 05a.

Code 02a.",P-P-S-6710-0003
P,VS2,,C01b2,PVS2C01b2,PVS2C01b2,07/27/2013,08/03/2013,8,498,594,2,-106,Construct,Code 05.,"Lift ""C1a&b"" will be renamed as ""C1b"".",Code 05a.,P-P-S-6710-0003
P,VS2,,C02a1,PVS2C02a1,PVS2C02a1,04/19/2013,04/20/2013,2,141,110,2,-1,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C02b1,PVS2C02b1,PVS2C02b1,04/19/2013,04/20/2013,2,0,0,0,16,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C02a3,PVS2C02a3,PVS2C02a3,05/06/2013,05/07/2013,2,185,168,2,-1,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C02b3,PVS2C02b3,PVS2C02b3,05/06/2013,05/07/2013,2,0,0,0,3,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C02a2,PVS2C02a2,PVS2C02a2,05/10/2013,05/11/2013,2,136,131,2,-1,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
P,VS2,,C02b2,PVS2C02b2,PVS2C02b2,05/10/2013,05/11/2013,2,0,0,0,17,Construct,Code 03.,"Lift ""C2a&b"" will be separated into ""C2a"" and ""C2b"".  All quantities will be assigned to ""C2a"".",Code 03a.,P-P-S-6710-0003
