Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,VS5,,C05a1,PVS5C05a1,PVS5C05a1,08/01/2013,08/02/2013,2,352,362,2,-1,Construct,Code 03.,"Lift ""C05a&b1"" will be separated into ""C05a1"" and ""C05b1"". All quantities will be assigned to ""C05a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C05b1,PVS5C05b1,PVS5C05b1,08/01/2013,08/02/2013,2,0,0,0,3,Construct,Code 03.,"Lift ""C05a&b1"" will be separated into ""C05a1"" and ""C05b1"". All quantities will be assigned to ""C05a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C05a3,PVS5C05a3,PVS5C05a3,08/05/2013,08/06/2013,2,355,362,2,-1,Construct,Code 03.,"Lift ""C05a&b3"" will be separated into ""C05a3"" and ""C05b3"". All quantities will be assigned to ""C05a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C05b3,PVS5C05b3,PVS5C05b3,08/05/2013,08/06/2013,2,0,0,0,2,Construct,Code 03.,"Lift ""C05a&b3"" will be separated into ""C05a3"" and ""C05b3"". All quantities will be assigned to ""C05a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C05a2,PVS5C05a2,PVS5C05a2,08/08/2013,08/09/2013,2,312,341,2,-1,Construct,Code 03.,"Lift ""C05a&b2"" will be separated into ""C05a2"" and ""C05b2"". All quantities will be assigned to ""C05a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C05b2,PVS5C05b2,PVS5C05b2,08/08/2013,08/09/2013,2,0,0,0,15,Construct,Code 03.,"Lift ""C05a&b2"" will be separated into ""C05a2"" and ""C05b2"". All quantities will be assigned to ""C05a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04a1,PVS5C04a1,PVS5C04a1,08/24/2013,08/25/2013,2,448,568,2,-1,Construct,Code 03.,"Lift ""C04a&b1"" will be separated into ""C04a1"" and ""C04b1"". All quantities will be assigned to ""C04a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04b1,PVS5C04b1,PVS5C04b1,08/24/2013,08/25/2013,2,0,0,0,5,Construct,Code 03.,"Lift ""C04a&b1"" will be separated into ""C04a1"" and ""C04b1"". All quantities will be assigned to ""C04a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04a2,PVS5C04a2,PVS5C04a2,08/30/2013,08/31/2013,2,532,544,2,-1,Construct,Code 03.,"Lift ""C04a&b2"" will be separated into ""C04a2"" and ""C04b2"". All quantities will be assigned to ""C04a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04b2,PVS5C04b2,PVS5C04b2,08/30/2013,08/31/2013,2,0,0,0,4,Construct,Code 03.,"Lift ""C04a&b2"" will be separated into ""C04a2"" and ""C04b2"". All quantities will be assigned to ""C04a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04a3,PVS5C04a3,PVS5C04a3,09/04/2013,09/16/2013,13,635,576,4,-12,Construct,Code 03.,"Lift ""C04a&b3"" will be separated into ""C04a3"" and ""C04b3"". All quantities will be assigned to ""C04a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C04b3,PVS5C04b3,PVS5C04b3,09/04/2013,09/16/2013,13,0,0,0,-6,Construct,Code 03.,"Lift ""C04a&b3"" will be separated into ""C04a3"" and ""C04b3"". All quantities will be assigned to ""C04a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a1,PVS5C03a1,PVS5C03a1,09/10/2013,09/10/2013,1,110,107,1,0,Construct,Code 03.,"Lift ""C03a&b1"" will be separated into ""C03a1"" and ""C03b1"". All quantities will be assigned to ""C03a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b1,PVS5C03b1,PVS5C03b1,09/10/2013,09/10/2013,1,0,0,0,8,Construct,Code 03.,"Lift ""C03a&b1"" will be separated into ""C03a1"" and ""C03b1"". All quantities will be assigned to ""C03a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a2,PVS5C03a2,PVS5C03a2,09/18/2013,09/18/2013,1,129,121,1,0,Construct,Code 03.,"Lift ""C03a&b2"" will be separated into ""C03a2"" and ""C03b2"". All quantities will be assigned to ""C03a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b2,PVS5C03b2,PVS5C03b2,09/18/2013,09/18/2013,1,0,0,0,2,Construct,Code 03.,"Lift ""C03a&b2"" will be separated into ""C03a2"" and ""C03b2"". All quantities will be assigned to ""C03a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a3,PVS5C03a3,PVS5C03a3,09/20/2013,09/21/2013,2,161,161,2,-1,Construct,Code 03.,"Lift ""C03a&b3"" will be separated into ""C03a3"" and ""C03b3"". All quantities will be assigned to ""C03a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b3,PVS5C03b3,PVS5C03b3,09/20/2013,09/21/2013,2,0,0,0,13,Construct,Code 03.,"Lift ""C03a&b3"" will be separated into ""C03a3"" and ""C03b3"". All quantities will be assigned to ""C03a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a5,PVS5C03a5,PVS5C03a5,10/04/2013,10/05/2013,2,175,174,2,-1,Construct,Code 03.,"Lift ""C03a&b5"" will be separated into ""C03a5"" and ""C03b5"". All quantities will be assigned to ""C03a5"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b5,PVS5C03b5,PVS5C03b5,10/04/2013,10/05/2013,2,0,0,0,6,Construct,Code 03.,"Lift ""C03a&b5"" will be separated into ""C03a5"" and ""C03b5"". All quantities will be assigned to ""C03a5"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a6,PVS5C03a6,PVS5C03a6,10/11/2013,10/12/2013,2,129,117,2,-1,Construct,Code 03.,"Lift ""C03a&b6"" will be separated into ""C03a6"" and ""C03b6"". All quantities will be assigned to ""C03a6"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b6,PVS5C03b6,PVS5C03b6,10/11/2013,10/12/2013,2,0,0,0,10,Construct,Code 03.,"Lift ""C03a&b6"" will be separated into ""C03a6"" and ""C03b6"". All quantities will be assigned to ""C03a6"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a4,PVS5C03a4,PVS5C03a4,10/22/2013,10/22/2013,1,145,121,1,0,Construct,Code 03.,"Lift ""C03a&b4"" will be separated into ""C03a4"" and ""C03b4"". All quantities will be assigned to ""C03a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b4,PVS5C03b4,PVS5C03b4,10/22/2013,10/22/2013,1,0,0,0,2,Construct,Code 03.,"Lift ""C03a&b4"" will be separated into ""C03a4"" and ""C03b4"". All quantities will be assigned to ""C03a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a7,PVS5C03a7,PVS5C03a7,10/24/2013,10/24/2013,1,114,106,1,0,Construct,Code 03.,"Lift ""C03a&b7"" will be separated into ""C03a7"" and ""C03b7"". All quantities will be assigned to ""C03a7"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b7,PVS5C03b7,PVS5C03b7,10/24/2013,10/24/2013,1,0,0,0,-27,Construct,Code 03.,"Lift ""C03a&b7"" will be separated into ""C03a7"" and ""C03b7"". All quantities will be assigned to ""C03a7"".",Code 03a.,P-P-S-6740-0003
