Activity ID,Activity Name,Start,Finish,Remaining Units,WBS Path,WBS Name,Resource Type,Resource Name
  UW-M23-W09-40,Concrete Placement,3-May-11,3-May-11,1,2.2.3.23.3.9,UW-M23-W09,Material,BTB1
  UW-M23-W08-40,Concrete Placement,12-May-11,12-May-11,1,2.2.3.23.3.8,UW-M23-W08,Material,BTB1
  UW-M23-W07-40,Concrete Placement,18-May-11,18-May-11,1,2.2.3.23.3.7,UW-M23-W07,Material,BTB1
  UW-M23-W06-40,Concrete Placement,26-May-11,26-May-11,1,2.2.3.23.3.6,UW-M23-W06,Material,BTB1
  UW-M23-W05-40,Concrete Placement,2-Jun-11,2-Jun-11,1,2.2.3.23.3.5,UW-M23-W05,Material,BTB1
  UW-M23-W04-40,Concrete Placement,8-Jun-11,8-Jun-11,1,2.2.3.23.3.4,UW-M23-W04,Material,BTB1
  UW-M23-W03-40,Concrete Placement,16-Jun-11,16-Jun-11,1,2.2.3.23.3.3,UW-M23-W03,Material,BTB1
  UW-M23-W02-40,Concrete Placement,22-Jun-11,22-Jun-11,1,2.2.3.23.3.2,UW-M23-W02,Material,BTB1
  UW-M23-W01-40,Concrete Placement,28-Jun-11,28-Jun-11,1,2.2.3.23.3.1,UW-M23-W01,Material,BTB1
  UW-M22-W09-40,Concrete Placement,18-May-11,18-May-11,1,2.2.3.22.3.9,UW-M22-W09,Material,BTB1
  UW-M22-W08-40,Concrete Placement,26-May-11,26-May-11,1,2.2.3.22.3.8,UW-M22-W08,Material,BTB1
  UW-M22-W07-40,Concrete Placement,3-Jun-11,3-Jun-11,1,2.2.3.22.3.7,UW-M22-W07,Material,BTB1
  UW-M22-W06-40,Concrete Placement,10-Jun-11,10-Jun-11,1,2.2.3.22.3.6,UW-M22-W06,Material,BTB1
  UW-M22-W05-40,Concrete Placement,17-Jun-11,17-Jun-11,1,2.2.3.22.3.5,UW-M22-W05,Material,BTB1
  UW-M22-W04-40,Concrete Placement,24-Jun-11,24-Jun-11,1,2.2.3.22.3.4,UW-M22-W04,Material,BTB1
  UW-M22-W03-40,Concrete Placement,2-Jul-11,2-Jul-11,1,2.2.3.22.3.3,UW-M22-W03,Material,BTB1
  UW-M22-W02-40,Concrete Placement,8-Jul-11,8-Jul-11,1,2.2.3.22.3.2,UW-M22-W02,Material,BTB1
  UW-M22-W01-40,Concrete Placement,14-Jul-11,14-Jul-11,1,2.2.3.22.3.1,UW-M22-W01,Material,BTB1
  UE-M21-C04-40,Concrete Placement,4-May-11,4-May-11,1,2.2.1.21.2.1,UE-M21-C04,Material,BTB1
  UE-M21-C03-40,Concrete Placement,12-May-11,12-May-11,1,2.2.1.21.2.2,UE-M21-C03,Material,BTB1
  UE-M21-C02-40,Concrete Placement,21-May-11,21-May-11,1,2.2.1.21.2.3,UE-M21-C02,Material,BTB1
  UE-M21-C01-40,Concrete Placement,27-May-11,27-May-11,1,2.2.1.21.2.4,UE-M21-C01,Material,BTB1
  UE-M21-W09-40,Concrete Placement,4-Jun-11,4-Jun-11,1,2.2.1.21.3.1,UE-M21-W09,Material,BTB1
  UE-M21-W08-40,Concrete Placement,10-Jun-11,10-Jun-11,1,2.2.1.21.3.2,UE-M21-W08,Material,BTB1
  UE-M21-W07-40,Concrete Placement,18-Jun-11,18-Jun-11,1,2.2.1.21.3.3,UE-M21-W07,Material,BTB1
  UE-M21-W06-40,Concrete Placement,24-Jun-11,24-Jun-11,1,2.2.1.21.3.4,UE-M21-W06,Material,BTB1
  UE-M21-W05-40,Concrete Placement,2-Jul-11,2-Jul-11,1,2.2.1.21.3.5,UE-M21-W05,Material,BTB1
  UE-M21-W04-40,Concrete Placement,8-Jul-11,8-Jul-11,1,2.2.1.21.3.6,UE-M21-W04,Material,BTB1
  UE-M21-W03-40,Concrete Placement,14-Jul-11,14-Jul-11,1,2.2.1.21.3.7,UE-M21-W03,Material,BTB1
  UE-M21-W02-40,Concrete Placement,20-Jul-11,20-Jul-11,1,2.2.1.21.3.8,UE-M21-W02,Material,BTB1
  UE-M21-W01-40,Concrete Placement,26-Jul-11,26-Jul-11,1,2.2.1.21.3.9,UE-M21-W01,Material,BTB1
  UE-M22-C01-40,Concrete Placement,6-May-11,6-May-11,1,2.2.1.22.2.4,UE-M22-C01,Material,BTB1
  UE-M22-W09-40,Concrete Placement,13-May-11,13-May-11,1,2.2.1.22.3.1,UE-M22-W09,Material,BTB1
  UE-M22-W08-40,Concrete Placement,21-May-11,21-May-11,1,2.2.1.22.3.2,UE-M22-W08,Material,BTB1
  UE-M22-W06-40,Concrete Placement,3-Jun-11,3-Jun-11,1,2.2.1.22.3.4,UE-M22-W06,Material,BTB1
  UE-M22-W04-40,Concrete Placement,17-Jun-11,17-Jun-11,1,2.2.1.22.3.6,UE-M22-W04,Material,BTB1
  UE-M22-W03-40,Concrete Placement,24-Jun-11,24-Jun-11,1,2.2.1.22.3.7,UE-M22-W03,Material,BTB1
  UE-M22-W02-40,Concrete Placement,30-Jun-11,30-Jun-11,1,2.2.1.22.3.8,UE-M22-W02,Material,BTB1
  UE-M22-W01-40,Concrete Placement,6-Jul-11,6-Jul-11,1,2.2.1.22.3.9,UE-M22-W01,Material,BTB1
  UE-M23-W06-40,Concrete Placement,7-May-11,7-May-11,1,2.2.1.23.3.4,UE-M23-W06,Material,BTB1
  UE-M23-W05-40,Concrete Placement,14-May-11,14-May-11,1,2.2.1.23.3.5,UE-M23-W05,Material,BTB1
  UE-M23-W04-40,Concrete Placement,20-May-11,20-May-11,1,2.2.1.23.3.6,UE-M23-W04,Material,BTB1
  UE-M23-W03-40,Concrete Placement,28-May-11,28-May-11,1,2.2.1.23.3.7,UE-M23-W03,Material,BTB1
  UE-M23-W02-40,Concrete Placement,3-Jun-11,3-Jun-11,1,2.2.1.23.3.8,UE-M23-W02,Material,BTB1
  UE-M23-W01-40,Concrete Placement,10-Jun-11,10-Jun-11,1,2.2.1.23.3.9,UE-M23-W01,Material,BTB1
  MW-M01-C04-40,Concrete Placement,22-Dec-11,22-Dec-11,1,2.5.3.1.2.1,MW-M01-C04,Material,BTB1
  MW-M01-C03-40,Concrete Placement,29-Dec-11,29-Dec-11,1,2.5.3.1.2.2,MW-M01-C03,Material,BTB1
  MW-M01-C02-40,Concrete Placement,7-Jan-12,7-Jan-12,1,2.5.3.1.2.3,MW-M01-C02,Material,BTB1
  MW-M01-C01-40,Concrete Placement,13-Jan-12,14-Jan-12,1,2.5.3.1.2.4,MW-M01-C01,Material,BTB1
  MW-M01-C05-40,Concrete Placement,16-Dec-11,16-Dec-11,1,2.5.3.1.2.5,MW-M01-C05,Material,BTB1
  MW-M01-W08-40,Concrete Placement,18-Jan-12,18-Jan-12,1,2.5.3.1.3.2,MW-M01-W08,Material,BTB1
  MW-M01-W07-40,Concrete Placement,24-Jan-12,24-Jan-12,1,2.5.3.1.3.3,MW-M01-W07,Material,BTB1
