Activity ID,Structure,Main structure,Activity Name,Start,Finish,Budgeted Units,Remaining Units,WBS Path,WBS Name,Resource Type,Resource Name
TRF3-SL-01b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,1-Aug-12,1-Aug-12,0,0,2.13.2.1.1.1.27,TRF3-SL-01b,Material,Rebar
TRF3-SL-06b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,14-Jun-12,14-Jun-12,0,0,2.13.2.1.1.1.12,TRF3-SL-06b,Material,Rebar
TRF3-SL-01a-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,6-Aug-12,9-Aug-12,52906,52906,2.13.2.1.1.1.26,TRF3-SL-01a,Material,Rebar
TRF3-SL-06c-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,23-Jun-12,23-Jun-12,0,0,2.13.2.1.1.1.13,TRF3-SL-06c,Material,Rebar
TRF3-SL-03c-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,23-Jul-12,23-Jul-12,0,0,2.13.2.1.1.1.22,TRF3-SL-03c,Material,Rebar
TRF3-SL-11-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,2-May-12,4-May-12,37064,37064,2.13.2.1.1.1.2,TRF3-SL-11,Material,Rebar
TRF3-SL-08a-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,28-May-12,31-May-12,68220,68220,2.13.2.1.1.1.5,TRF3-SL-08a,Material,Rebar
TRF3-SL-08c-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,4-Jun-12,4-Jun-12,0,0,2.13.2.1.1.1.7,TRF3-SL-08c,Material,Rebar
TRF3-SL-02a-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,24-Jul-12,30-Jul-12,110073,110073,2.13.2.1.1.1.23,TRF3-SL-02a,Material,Rebar
TRF3-SL-03b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,14-Jul-12,14-Jul-12,0,0,2.13.2.1.1.1.21,TRF3-SL-03b,Material,Rebar
TRF3-SL-08b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,26-May-12,26-May-12,0,0,2.13.2.1.1.1.6,TRF3-SL-08b,Material,Rebar
TRF3-SL-03a-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,16-Jul-12,20-Jul-12,64378,64378,2.13.2.1.1.1.20,TRF3-SL-03a,Material,Rebar
TRF3-SL-02b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,23-Jul-12,23-Jul-12,0,0,2.13.2.1.1.1.24,TRF3-SL-02b,Material,Rebar
TRF3-SL-10-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,8-May-12,14-May-12,55735,55735,2.13.2.1.1.1.3,TRF3-SL-10,Material,Rebar
TRF3-SL-09-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,19-May-12,24-May-12,61174,61174,2.13.2.1.1.1.4,TRF3-SL-09,Material,Rebar
TRF3-SL-12-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,24-Apr-12,27-Apr-12,70009,70009,2.13.2.1.1.1.1,TRF3-SL-12,Material,Rebar
TRF3-SL-05b-20,WSB-TR,TRIFURCATION 3,Steel Reinforcement,23-Jun-12,23-Jun-12,0,0,2.13.2.1.1.1.15,TRF3-SL-05b,Material,Rebar
