DESTINATION_CODE_LINE1,description_mix,QUANTITY
UE-M01-W03 , IMC P18 ,56.080002307891846
UE-M01-W03 , SMC P56 ,160.0800061225891
UE-M01-W04 , IMC P18 ,88.06000137329102
UE-M01-W04 , SMC P56 ,187.92000007629395
UE-M01-W01 , SMC P3 P ,66
UE-M01-W01 ,Grout,0.5
UE-M01-W02 , IMC P18 ,38
UE-M01-W02 , SMC P56 ,128.00000047683716
UE-M01-W05 , IMC P18 ,112
UE-M01-W05 , SMC P56 ,184.00000047683716
UE-M01-W06 , IMC P18 ,104.0000045
UE-M01-W06 , SMC P56 ,152.12000727653503
UE-M01-W07 ,IMC P9 P1,136.08000373840332
UE-M01-W07 ,SMC P11 P1,248.06001019477844
UE-M01-W08 , IMC P23 P ,16
UE-M01-W08 ,Grout,0.5
UE-M01-W08 ,IMC P9 P1,120.26000595092773
UE-M01-W08 ,SMC P11 P1,317.26001501083374
UE-M01-C01A,Grout,1.5
UE-M01-C01A,IMC P7,160.06000661849976
UE-M01-C01A,IMC-P9-P1,504.2800188064575
UE-M01-C01A,SMC P3,96.16000413894653
UE-M01-C01A,SMC-P11-P1,344.2200105190277
UE-M01-C02,Grout,0.5
UE-M01-C02,IMC P7,180.00000762939453
UE-M01-C02,IMC-P9-P1,96.00000429153442
UE-M01-C02,SMC P50,8
UE-M01-C02,SMC-P11-P1,48.060001850128174
UE-M01-C02,SMC-P12,16
UE-M01-C02,SMC-P15-P1,8
UE-M01-C03,Grout,1.5
UE-M01-C03,IMC-P9-P1,80.12000418
UE-M01-C03,SMC-P11-P1,296.3600158691406
UE-M01-C04a,IMC P7,24.000000476837158
UE-M01-C04a,SMC-P11,40.000000953674316
UE-M01-C04b,4000 C. NORMAL,8
UE-M01-C04b,IMC P7,280.0600094795227
UE-M01-C04b,SMC-P11,296.04001092910767
UE-M01-C04b,SMC-P11-P1,80.00000143051147
UE-M01-C05A,Grout,0.5
UE-M01-C05A,SMC-P11-P1,100.00000047683716
UE-M01-C06A,Grout,1
UE-M01-C06A,SMC-P11-P1,166.0000081062317
UE-M01-C06B,IMC P7,424.06000900268555
UE-M01-C06B,SMC-P11,267.0600075721741
UE-M01-C07A,Grout,1
UE-M01-C07A,SMC-P11-P1,72.00000047683716
UE-M01-C07B,IMC P7,32.00000047683716
UE-M01-C07B,SMC-P11,20
UE-M01-F01A,IMC-P7 mass concrete,216.00000619888306
UE-M01-F01A,SMC-P11,256.0000081062317
UE-M01-F01A,SMC-P12,16.000000476837158
UE-M01-F01B,IMC-P7 mass concrete,296.00000858306885
UE-M01-F01B,SMC-P11,220.02000522613525
UE-M01-F01B,SMC-P11-P1,11
UE-M01-F01B,SMC-P12,40.000000953674316
UE-M01-F02,IMC-P7 mass concrete,120.00000190734863
UE-M01-F02,SMC-P12,548.1300187110901
UE-M01-W09,Grout,0.5
UE-M01-W09,IMC P9 P1,296.3200144767761
UE-M01-W09,SMC P11 P1,272.0000081062317
UE -M02 -C01A ,Grout,0.5
UE -M02 -C01A ,IMC P7,56.00000190734863
UE -M02 -C01A ,IMC P9 P1,256.0000091
UE -M02 -C01A ,SMC P11,120.04000425338745
UE -M02 -C01A ,SMC P11 P1,176.0000057220459
UE -M02 -W07 , IMC P14 P ,76.00000047683716
UE -M02 -W07 , SMC P56 ,160.01000142097473
UE -M02 -W07 ,SMC P11,72.06000185012817
UE-M02-W09 ,Grout,1.5
UE-M02-W09 ,IMC P9 P1,128.0800018310547
UE-M02-W09 ,SMC P11 P1,344.5600178
UE-M02-C01B,Grout,0.5
 UE-M02-C01B ,IMC P9 P1,80.06000185012817
 UE-M02-C01B ,SMC P11 P1,316.110014
UE-M02-W01 , SMC P3 P ,60
UE-M02-W02 , SMC P56P ,200.18000507354736
UE-M02-W02 ,Grout,1
UE-M02-W03 , IMC P14 P ,18
UE-M02-W03 , IMC P18 ,16
UE-M02-W03 , SMC P56P ,204.16000509262085
UE-M02-W03 ,Grout,0.5
UE-M02-W04 , IMC P14 P ,56
UE-M02-W04 , SMC P50 P ,144.1400032043457
UE-M02-W04 ,Grout,0.5
UE-M02-W05 , SMC P56 ,56.060001850128174
UE-M02-W05 , SMC-P50 ,152.14000749588013
UE-M02-W05 ,IMC P7,48
UE-M02-W06 , IMC P18 ,88
UE-M02-W06 , SMC P56 ,176.00000095367432
UE-M02-W08 , IMC P23 P ,16.040000915527344
UE-M02-W08 , SMC P3 P ,371.23001074790955
UE-M02-W08 ,Grout,5.5
UE-M02-W08 ,IMC P7,72.1400032
UE-M02-W08 ,SMC-P3,72.18000411987305
UE-M02,LC-P2 LEVELING,38.93000078201294
UE-M02-C02,Grout,0.5
UE-M02-C02,IMC P9 P1,8.020000457763672
UE-M02-C02,SMC P11 P1,200.0400037765503
UE-M02-C03A,SMC-P21,160.0000057220459
UE-M02-C03B/C,IMC-P7 mass concrete,198.00000476837158
UE-M02-C03B/C,SMC-P11,206.08000469207764
UE-M02-C03B/C,SMC-P21,120.00000047683716
UE-M02-C04B/C,IMC-P7 mass concrete,32.040000915527344
UE-M02-C04B/C,SMC-P11,448.0400171279907
UE-M02-C04B/C,SMC-P21,64.00000143051147
UE-M02-C06, SMC P56P ,8
UE-M02-F01,IMC-P7 mass concrete,280.0400071144104
UE-M02-F01,SMC-P12,680.2200241088867
UE-M02-F02,IMC-P7 mass concrete,208.0400037765503
UE-M02-F02,SMC-P12,488.04001235961914
UE -M03 -W09, IMC P14 P ,192.04000186920166
UE -M03 -W09, SMC P56P ,331.1400087
UE -M03 -W09,Grout,0.75
UE-M03-C01A, SMC P3 P ,32
UE-M03-C01A, SMC P31P1 ,80
UE-M03-C01A,IMC P7,264.3800129890442
UE-M03-C01A,SMC-P3,232.30001139640808
UE-M03-C01B, SMC P3 P ,96.22000503540039
UE-M03-C01B,Grout,1
UE-M03-C01B,IMC P7,224.24001002311707
UE-M03-C01B,IMC P9 P1,52.02000045776367
UE-M03-C01B,SMC-P3,48.10000228881836
UE-M03-C02, SMC P3 P ,328.5800175666809
UE-M03-C02,Grout,1.5
UE-M03-W01, SMC P3 P ,74.00000047683716
UE-M03-W01,Grout,0.5
UE-M03-W02, SMC P56P ,128.20000457763672
UE-M03-W02,Grout,0.5
UE-M03-W03, SMC P56P ,205.06000232696533
UE-M03-W03,Grout,0.75
UE-M03-W04, SMC P56P ,216.3600082397461
UE-M03-W04,Grout,0.5
UE-M03-W05, IMC P14 P ,64
UE-M03-W05, SMC P56P ,201.12000370025635
UE-M03-W05,Grout,0.5
UE-M03-W06, IMC P14 P ,104
UE-M03-W06, IMC P18 ,8
UE-M03-W06, SMC P56P ,158.02000093460083
UE-M03-W07, IMC P18 ,128.14000511169434
UE-M03-W07, SMC P56 ,216.1400089263916
UE-M03-W07, SMC P56P ,24
UE-M03-W07,Grout,0.75
UE-M03-W08, IMC P18 ,176.20000505447388
UE-M03-W08, SMC P56 ,260.2200069
UE-M03-W08, SMC P56P ,8
UE-M03-C03A,Grout,1
UE-M03-C03A,SMC-P11-P1,160.08000564575195
UE-M03-C03B,IMC-P7 mass concrete,64.00000190734863
UE-M03-C03B,SMC-P11,152.00000524520874
UE-M03-C03C,Grout,2
UE-M03-C03C,SMC-P11-P1,80.00000381469727
UE-M03-C03C,SMC-P15-P1,28.05000114440918
UE-M03-C04a,SMC-P21,174
UE-M03-C04B,IMC-P7 mass concrete,48
UE-M03-C04B,SMC-P11,184.0200047492981
UE-M03-C04C,SMC-P11-P1,128.06000518798828
UE-M03-F01,IMC-P7 mass concrete,264.0400071144104
UE-M03-F01,SMC-P12,688.0600224
UE-M03-F02,IMC-P7 mass concrete,192.0000023841858
UE-M03-F02,LC-P2 LEVELING,112.00000286102295
UE-M03-F02,SMC-P12,492.0200123786926
UE-M04-C01A, IMC P14 P ,112.00000095367432
UE-M04-C01A, IMC P18 ,24.000000476837158
UE-M04-C01A, SMC P56 ,160.02000188827515
UE-M04-C01A, SMC P56P ,72.00000047683716
UE-M04-C01A,Grout,0.5
UE-M04-W08 , IMC P14 P ,160.1400032043457
UE-M04-W08 , SMC P56P ,208.20000457763672
UE-M04-W08 ,Grout,1.25
UE-M04-C01B, IMC P14 P ,94.08000373840332
UE-M04-C01B, SMC P56 ,96.04000425338745
UE-M04-C01B, SMC P56P ,56.060001850128174
UE-M04-C01B,Grout,0.5
UE-M04-C02, SMC P3 P ,40
UE-M04-C02,Grout,0.5
UE-M04-C02,SMC P11 P1,136.24000549316406
UE-M04-W01, SMC P3 P ,42
UE-M04-W01,Grout,1
UE-M04-W02, SMC P56P ,120.0400013923645
UE-M04-W02,Grout,1.25
UE-M04-W03, IMC P14 P ,16
UE-M04-W03, SMC P56 ,8
UE-M04-W03, SMC P56P ,200.00000095367432
UE-M04-W03,Grout,1
UE-M04-W04, IMC P14 P ,40
UE-M04-W04, SMC P56P ,112.02000045776367
UE-M04-W04,Grout,0.5
UE-M04-W05, IMC P14 P ,36
UE-M04-W05, SMC P56P ,139.0800018310547
UE-M04-W05,Grout,1
UE-M04-W06, IMC P14 P ,88
UE-M04-W06, SMC P56P ,96.20000457763672
UE-M04-W06,Grout,1
UE-M04-W07, IMC P14 P ,80.00000047683716
UE-M04-W07, SMC P56P ,120
UE-M04-W07,Grout,0.5
UE-M04-W09, IMC P14 P ,152.0200014
UE-M04-W09, SMC P56P ,208.00000286102295
UE-M04-W09,Grout,0.5
UE-M04-02, SMC P3 P ,16.040000915527344
UE-M04-02,SMC P11 P1,48.10000228881836
UE-M04-C03a,Grout,1
UE-M04-C03a,SMC-P11-P1,102.00000190734863
UE-M04-C03a,SMC-P15-P1,6
UE-M04-C04a,SMC-P11-P,100.00000047683716
UE-M04-C04b,Grout,2
UE-M04-C04b,SMC-P21,264.0000091
UE-M04-C0EC,Grout,1
UE-M04-C0EC,SMC-P11-P1,56.00000238418579
UE-M04-F01,IMC-P7 mass concrete,144.02000379562378
UE-M04-F01,SMC-P12,283.0000081062317
UE-M04-F02,IMC-P7 mass concrete,176.0000033378601
UE-M04-F02,SMC-P12,403.00000762939453
UE-M05-3 ,SMC P9,7
UE-M05-C01A, IMC P18 ,4
UE-M05-C01A, SMC P3 P ,328.0000014305115
UE-M05-C01A,Grout,1.25
UE-M05-C01A,IMC P7,316.00000047683716
UE-M05-C01A,IMC P9 P1,96
UE-M05-C01A,SMC-P3,112.00000143051147
UE-M05-C01B, IMC P14 P ,116.2500057220459
UE-M05-C01B, IMC P18 ,224.02000904083252
UE-M05-C01B, SMC P56 ,120.08000230789185
UE-M05-C01B, SMC P56P ,80.02000045776367
UE-M05-C01B,Grout,0.5
UE-M05-C02, SMC P56 ,32.000001430511475
UE-M05-C02, SMC P56P ,380.0600018501282
UE-M05-C02,Grout,0.5
UE-M05-C03a, IMC P18 ,8
UE-M05-C03a, SMC P56P ,216.16000366210938
UE-M05-C03a,Grout,1
UE-M05-C03b, SMC P56P ,260.25000619888306
UE-M05-C04b, SMC P56P ,356.1700096130371
UE-M05-C04b,Grout,2
UE-M05-W01, SMC P3 P ,88
UE-M05-W01,Grout,0.5
UE-M05-W02, SMC P3 P ,214.0100007
UE-M05-W03, SMC P3 P ,277
UE-M05-W03,Grout,1
UE-M05-W04, SMC P3 P ,317.08001136779785
UE-M05-W04,Grout,1
UE-M05-W05, SMC P3 P ,357
UE-M05-W05,Grout,0.5
UE-M05-W05,IMC P9 P1,14
UE-M05-W06, SMC P3 P ,274.00000047683716
UE-M05-W06,IMC P9 P1,56
UE-M05-W07, SMC P3 P ,451.0400028
UE-M05-W07,Grout,1.75
UE-M05-W07,IMC P9 P1,32
UE-M05-W08, IMC P18 ,192
UE-M05-W08, SMC P3 P ,402.0000014305115
UE-M05-W08,Grout,0.5
UE-M05-W09, IMC P18 ,280.0000009536743
UE-M05-W09, SMC P3 P ,392.0000023841858
UE-M05-W09,Grout,0.5
UE-M05,SMC P9,6
UE-M05-C03c, SMC P56P ,120.18000411987305
UE-M05-C03c,Grout,0.5
UE-M05-C04a, SMC P56P ,264.1400098800659
UE-M05-C04c, SMC P50 P ,8
UE-M05-C04c, SMC P56P ,128
UE-M05-C04c,Grout,0.5
UE-M05-F01, IMC P18 ,480.58002376556396
UE-M05-F01, SMC P56 ,648.2800242900848
UE-M05-F01, SMC P56P ,32.00000047683716
UE-M05-F02, IMC P18 ,280.0000023841858
UE-M05-F02, SMC P56 ,560.2300243377686
UE-M05-F03,IMC P7,184.22000694274902
UE-M05-F03,IMC-P9-P1,40.040000915527344
UE-M05-F03,SMC P3,408.68001890182495
UE-M05-F05,LC-P2 LEVELING,24.040000915527344
UE-M06-C01A, IMC P18 ,112.12000274658203
UE-M06-C01A, SMC P3 P ,152.18000411987305
UE-M06-C01A,Grout,0.5
UE-M06-C01A,IMC P9 P1,64
UE-M06-C01A,SMC-P3,64.00000047683716
UE-M06-C01B, IMC P18 ,96
UE-M06-C01B, SMC P3 P ,96
UE-M06-C01B,Grout,0.5
UE-M06-C01B,IMC P9 P1,24
UE-M06-C02, SMC P3 P ,192.00000047683716
UE-M06-C03a, SMC P56P ,116.19000434875488
UE-M06-C03a,Grout,1.25
UE-M06-C03b, SMC P56P ,116.18000602722168
UE-M06-C03b,Grout,0.75
UE-M06-C03c, SMC P56P ,56
UE-M06-C03c,Grout,0.75
UE-M06-C04a , IMC P14 P ,24.020000457763672
UE-M06-C04a , SMC P56P ,120.14000511169434
UE-M06-C04a ,Grout,1
UE-M06-C04b , IMC P14 P ,16
UE-M06-C04b , SMC P56P ,128.00000143051147
UE-M06-C04b ,Grout,0.75
UE-M06-C04c , SMC P56P ,64.00000047683716
UE-M06-C04c ,Grout,0.75
UE-M06-W01, SMC P3 P ,42
UE-M06-W02, SMC P3 P ,98
UE-M06-W02,Grout,0.5
UE-M06-W03, SMC P3 P ,115
UE-M06-W03,Grout,0.5
UE-M06-W04, SMC P3 P ,113.00000047683716
UE-M06-W04,Grout,0.5
UE-M06-W05, SMC P3 P ,119
UE-M06-W05,Grout,0.5
UE-M06-W05,IMC P9 P1,20
UE-M06-W06, SMC P3 P ,140
UE-M06-W06,Grout,0.5
UE-M06-W06,IMC P9 P1,15
UE-M06-W07, SMC P3 P ,193.1400032043457
UE-M06-W07,Grout,1
UE-M06-W07,IMC P9 P1,32
UE-M06-W08, IMC P18 ,112
UE-M06-W08, SMC P3 P ,120
UE-M06-W08,IMC P9 P1,8
UE-M06-W09, IMC P18 ,127
UE-M06-W09, SMC P3 P ,159.00000047683716
UE-M06-W09,Grout,0.5
UE-M06-W09,IMC P9 P1,7
UE-M06-W09,SMC-P3,16
UE-M06-F01, IMC P14 P ,304.0200014
UE-M06-F01, IMC P18 ,32
UE-M06-F01, SMC P56P ,72.04000139
UE-M06-F01, SMC-P50 ,152.00000047683716
UE-M06-F01,Grout,0.5
UE-M06-F02, IMC P14 P ,128.0400013923645
UE-M06-F02, IMC P18 ,32
UE-M06-F02, SMC P56 ,160.16000366210938
UE-M06-F02, SMC P56P ,160.0800028
UE-M06-F02,Grout,0.75
UE-M07-F01 , IMC P14 P ,96.18000411987305
UE-M07-F01 , IMC P18 ,188.14000749588013
UE-M07-F01 , SMC P56 ,456.2800168991089
UE-M07-F01 , SMC P56P ,380.1300063
UE-M07-F01 ,Grout,1
UE-M07-W08, IMC P18 ,172.00000095367432
UE-M07-W08, SMC P3 P ,326.0000009536743
UE-M07-W08,Grout,0.5
UE-M07-W08,IMC P9 P1,16
UE-M07-C01, IMC P14 P ,24
UE-M07-C01, SMC P3 P ,8
UE-M07-C01, SMC P56P ,16
UE-M07-C01A, IMC P14 P ,264.0400104522705
UE-M07-C01A, IMC P18 ,160.24000549316406
UE-M07-C01A, SMC P56 ,24
UE-M07-C01A, SMC P56P ,264.1500062942505
UE-M07-C01A,Grout,1
UE-M07-C01B, IMC P14 P ,200.04000186920166
UE-M07-C01B, IMC P18 ,168.02000045776367
UE-M07-C01B, SMC P56 ,72.06000137329102
UE-M07-C01B, SMC P56P ,96
UE-M07-C01B,Grout,0.5
UE-M07-C02, SMC P56 ,128.0800018310547
UE-M07-C02, SMC P56P ,288.1400046348572
UE-M07-C02,Grout,0.5
UE-M07-C03a, SMC P56P ,64
UE-M07-C03b, SMC P56P ,280.0200004577637
UE-M07-C03b,Grout,0.5
UE-M07-C03c, SMC P56P ,112
UE-M07-C03c,Grout,0.5
UE-M07-C04, SMC P56P ,8
UE-M07-C04a, SMC P56P ,476.2800154685974
UE-M07-C04a,Grout,0.75
UE-M07-C04b, SMC P56P ,224.0400059223175
UE-M07-C04c, SMC P56P ,96.02000093460083
UE-M07-C04c,Grout,0.5
UE-M07-F02,Grout,0.5
UE-M07-F02,IMC P12,24.000000953674316
UE-M07-F02,IMC P7,72.04000186920166
UE-M07-F02,IMC P9 P1,184.0000033378601
UE-M07-F02,SMC P11,64.02000093460083
UE-M07-F02,SMC P11 P1,488.08001613616943
UE-M07-W01, SMC P3 P ,112
UE-M07-W01,Grout,1
UE-M07-W02, SMC P3 P ,255.00000095367432
UE-M07-W02,Grout,1.5
UE-M07-W03, SMC P3 P ,243
UE-M07-W03,IMC P9 P1,7
UE-M07-W03,SMC-P3,8
UE-M07-W031, SMC P3 P ,8
UE-M07-W031,Grout,0.25
