original_lift,lift,rebar_units,actual_start
TRF3-SL-01b-20,PTRF3SL01b,0,12/04/2013
TRF3-SL-06b-20,PTRF3SL06b,0,08/12/2013
TRF3-SL-01a-20,PTRF3SL01a,52906,12/04/2013
TRF3-SL-06c-20,PTRF3SL06c,0,08/12/2013
TRF3-SL-03c-20,PTRF3SL03c,0,10/18/2013
TRF3-SL-11-20,PTRF3SL11,37064,05/10/2013
TRF3-SL-08a-20,PTRF3SL08a,68220,07/11/2013
TRF3-SL-08c-20,PTRF3SL08c,0,07/11/2013
TRF3-SL-02a-20,PTRF3SL02a,110073,12/04/2013
TRF3-SL-03b-20,PTRF3SL03b,0,10/18/2013
TRF3-SL-08b-20,PTRF3SL08b,0,07/11/2013
TRF3-SL-03a-20,PTRF3SL03a,64378,10/18/2013
TRF3-SL-02b-20,PTRF3SL02b,0,12/04/2013
TRF3-SL-10-20,PTRF3SL10,55735,05/28/2013
TRF3-SL-09-20,PTRF3SL09,61174,06/22/2013
TRF3-SL-12-20,PTRF3SL12,70009,05/10/2013
TRF3-SL-05b-20,PTRF3SL05b,0,08/31/2013
TRF3-SL-07b-20,PTRF3SL07b,0,07/26/2013
TRF3-SL-07c-20,PTRF3SL07c,0,07/26/2013
TRF3-SL-06a-20,PTRF3SL06a,78079,08/12/2013
TRF3-SL-05a-20,PTRF3SL05a,75295,08/31/2013
TRF3-SL-05c-20,PTRF3SL05c,0,08/31/2013
TRF3-SL-04a-20,PTRF3SL04a,67206,09/24/2013
TRF3-SL-04b-20,PTRF3SL04b,0,09/24/2013
TRF3-SL-07a-20,PTRF3SL07a,76052,07/26/2013
TRF3-SL-04c-20,PTRF3SL04c,0,09/24/2013
TRF3-SL-02c-20,PTRF3SL02c,0,12/04/2013
TRF3-SL-01c-20,PTRF3SL01c,0,12/04/2013
TRF3-P2-02-20,PTRF3P202,6861,06/17/2014
TRF3-P2-01-20,PTRF3P201,1722,06/17/2014
TRF3-P2-03-20,PTRF3P203,2519,05/14/2014
TRF3-P5-03-20,PTRF3P503,4994,06/09/2014
TRF3-P5-04-20,PTRF3P504,6478,04/15/2014
TRF3-P5-01-20,PTRF3P501,3411,06/20/2014
TRF3-P5-02-20,PTRF3P502,19983,06/20/2014
TRF3-P4-01-20,PTRF3P401,1722,06/20/2014
TRF3-P4-02-20,PTRF3P402,6861,06/20/2014
TRF3-P4-03-20,PTRF3P403,2519,04/11/2014
TRF3-P3-08-20,PTRF3P308,5854,11/26/2013
TRF3-P3-05-20,PTRF3P305,6272,04/14/2014
TRF3-P3-04-20,PTRF3P304,4337,05/17/2014
