original_lift,lift,rebar_units
T4-C3-10-R03-20,PT4C310R03,6650
VS4-C01a-1-20,PVS4C01a1,81430
T1-C3-10-R03-20,PT1C310R03,5321
T2-C3-10-R03-20,PT2C310R03,5321
VS2-C01a-1-20,PVS2C01a1,78036
VS1-C01a-1-20,PVS1C01a1,76382
VS5-C01a-1-20,PVS5C01a1,81324
VS6-C01a-1-20,PVS6C01a1,81181
T6-C2-05-R03-20,PT6C205R03,8832
T5-C2-05-R03-20,PT5C205R03,7373
H3E-3A-F04-20,PH3E3AF04,42309
H3E-3A-W07-20,PH3E3AW07,20863
H3E-3B-W07-20,PH3E3BW07,29189
H3E-3B-W02-20,PH3E3BW02,19874
H3E-3B-F04-20,PH3E3BF04,46558
H3E-3C-W09-20,PH3E3CW09,34252
H3E-3C-F05-20,PH3E3CF05,40526
H3W-6C-W08-20,PH3W6CW08,30866
H3W-6C-W09-20,PH3W6CW09,25652
H3W-6E-W14-20,PH3W6EW14,7260
H3W-6E-W08-20,PH3W6EW08,2609
H3W-6A-W13-20,PH3W6AW13,5167
H3W-6A-W04-20,PH3W6AW04,8008
H3W-6A-W09-20,PH3W6AW09,6204
H3W-6B-W13-20,PH3W6BW13,8204
H3W-6B-W09-20,PH3W6BW09,7608
H3W-6D-W09-20,PH3W6DW09,9262
H3W-6D-W08-20,PH3W6DW08,7613
H3W-6D-W14-20,PH3W6DW14,19482
UW-M05-C03-20,PUWM05C03,20104
UW-M19-C03-20,PUWM19C03,53640
UW-M06-C03-20,PUWM06C03,24536
UW-M18-C04-20,PUWM18C04,29602
UW-M17-C04-20,PUWM17C04,41283
UW-M04-C03-20,PUWM04C03,20104
UW-M03-C04-20,PUWM03C04,27797
UW-M16-C03-20,PUWM16C03,53278
UW-M02-C05-20,PUWM02C05,9796
UW-M02-F01-20,PUWM02F01,32094
UW-M01-C03-20,PUWM01C03,1302
UW-M01-C05-20,PUWM01C05,3533
UW-M15-C04-20,PUWM15C04,33896
UW-M14-C03-20,PUWM14C03,40139
UW-M14-F01-20,PUWM14F01,44102
UW-M13-C03-20,PUWM13C03,44014
UW-M12-C03-20,PUWM12C03,30406
UW-M12-F01-20,PUWM12F01,40925
UW-M23-C04-20,PUWM23C04,30448
UW-M11-C04-20,PUWM11C04,11665
UW-M09-C04-20,PUWM09C04,27797
UW-M07-C04-20,PUWM07C04,71269
UW-M20-C04-20,PUWM20C04,29780
UW-M22-C04-20,PUWM22C04,24514
UW-M21-C04-20,PUWM21C04,29014
UW-M10-C04-20,PUWM10C04,27824
UW-M08-C04-20,PUWM08C04,46481
UE-M04-C04-20,PUEM04C04,14928
UE-M03-C03-20,PUEM03C03,20072
UE-CC2-A04-20,PCC2A04,28102
UE-M02-C04-20,PUEM02C04,28580
UE-M01-C07-20,PUEM01C07,4873
UE-M01-C05-20,PUEM01C05,5365
UE-M01-F02-20,PUEM01F02,43567
UE-CC1-A04-20,PCC1A04,21810
CU2-2E-02-20,PCU22E02,8450
UE-M15-C04-20,PUEM15C04,33896
UE-M07-C04-20,PUEM07C04,64211
UE-M21-C03-20,PUEM21C03,32446
UE-M21-C06-20,PUEM21C06,51481
UE-M21-F01-20,PUEM21F01,0
UE-M11-C03-20,PUEM11C03,21543
UE-M22-C04-20,PUEM22C04,11196
UE-M22-C05-20,PUEM22C05,21015
UE-M22-F01-20,PUEM22F01,21015
UE-M23-F05-20,PUEM23F05,6907
UE-M20-C04-20,PUEM20C04,49164
