lift,actual_start,actual_quantity
ACC5A05,01/14/2013,872
ACC5A04a,03/02/2013,168
ACC5A03a,03/14/2013,168
ACC5A04b,03/18/2013,160
ACC5A03b,04/01/2013,176
ACC5B05,01/31/2013,613
ACC5B04a,04/05/2013,80
ACC5B04c,04/09/2013,72
ACC5B03a,04/12/2013,72
ACC5B03c,04/15/2013,64
ACC5B04b,04/17/2013,156
ACC5B03b,04/24/2013,144
ACC5B02,06/22/2013,632
ACC5B01,06/25/2013,699
ACC5C05,02/08/2013,630
ACC5C04c,04/24/2013,72
ACC5C04a,04/26/2013,72
ACC5C04b,05/01/2013,144
ACC5C03c,05/02/2013,72
ACC5C03a,05/08/2013,72
ACC5C03b,05/09/2013,120
ACC5C02,06/05/2013,640
ACC5C01,06/08/2013,702
ACC5D05,02/22/2013,898
ACC5D04b,03/26/2013,80
ACC5D04c,03/26/2013,320
ACC5D04a,03/28/2013,68
ACC5D03b,04/01/2013,72
ACC5D03a,04/03/2013,72
ACC5D03c,04/05/2013,280
ACC5D02,04/25/2013,856
ACC5D01,05/02/2013,992
ACC5E05,07/06/2012,188
ACC5E04c,07/19/2012,56
ACC5E04b,07/20/2012,56
ACC5E03b,07/25/2012,40
ACC5E03c,07/25/2012,48
ACC5E02,08/03/2012,191
ACC5E01,08/10/2012,230
ACC5F05,01/02/2013,544
ACC5F04,04/20/2013,559
ACC5F03,05/06/2013,533
ACC5F02,08/06/2013,532
ACC5G05,11/16/2012,104
ACC5G04,12/01/2012,68
ACC5G03,12/10/2012,56
ACC5G02,12/19/2012,64
ACC5H05,12/03/2012,104
ACC5H04,12/07/2012,48
ACC5H03,12/18/2012,56
ACC5H02,01/21/2013,72
ACC5I05,03/22/2013,320
ACC5I04a,05/28/2013,0
ACC5I04c,05/28/2013,0
ACC5I03a,06/03/2013,32
ACC5I03c,06/03/2013,72
ACC5I02,06/26/2013,208
ACC5I01,06/29/2013,216
ACC5J05,04/18/2013,504
ACC5J04,09/02/2013,522
ACC5J03,09/06/2013,645
ACC5J02,10/25/2013,649
ACC5K05,05/09/2013,104
ACC5K04,06/11/2013,72
ACC5K03,06/18/2013,64
ACC5K02,06/25/2013,56
ACC5L05,03/21/2013,120
ACC5L04,04/01/2013,72
ACC5L03,04/16/2013,72
ACC5L02,05/02/2013,56
ACC6A05,08/03/2012,878
ACC6A04b,08/29/2012,176
ACC6A04a,09/03/2012,168
ACC6A03b,09/06/2012,204
ACC6A03a,09/13/2012,200
ACC6B05,09/17/2012,619
ACC6B04b,01/10/2013,136
ACC6B04a,01/16/2013,96
ACC6B03b,01/17/2013,160
ACC6B03a,01/25/2013,104
ACC6B04c,01/30/2013,80
ACC6B03c,02/02/2013,72
ACC6B02,02/08/2013,860
ACC6B01,02/14/2013,688
ACC6C05,08/21/2012,629
ACC6C04b,10/10/2012,128
ACC6C03b,10/17/2012,176
ACC6C04c,11/17/2012,72
ACC6C03c,12/04/2012,72
ACC6C04a,12/06/2012,84
ACC6C03a,01/08/2013,72
ACC6C02,01/24/2013,680
ACC6C01,01/31/2013,696
ACC6D05,10/01/2012,904
ACC6D04c,01/28/2013,336
ACC6D03c,02/04/2013,344
ACC6D04b,02/13/2013,80
ACC6D04a,02/16/2013,80
ACC6D03b,02/19/2013,80
ACC6D03a,02/23/2013,68
ACC6D02,03/02/2013,1024
ACC6D01,03/07/2013,956
ACC6E05,08/10/2012,191
ACC6E04b,09/10/2012,40
ACC6E04c,09/10/2012,64
ACC6E03b,09/14/2012,48
ACC6E03c,09/14/2012,80
