name,type
PUMP 5,Pump
TELEBELT2,Telebelt
ROTEC,Rotec
Terex B,BTB
Bomba #7,Pump
BTB 1,BTB
Putzmeister Amarilla,Pump
TELEBELT 4 ROTEC 3,Telebelt
Augermac / Telebelt terex A,Telebelt
Rotec Ferer #2,Rotec
"Telebelt 02, Augermac 02",Telebelt
BOMBA 1,Pump
Augermac / Telebelt 3,Telebelt
Telebelt  4,Telebelt
Bomba Entrena,Pump
BTB M #2,BTB
Telebelt 03 / Augermac 367.06,Telebelt
Telebelt 4/Rotec,Telebelt
Telebelt 01 y 02,Telebelt
Telebelt 02,Telebelt
BTB D4,BTB
BTB 5,BTB
Telebelt 200 / Augermac 6,Telebelt
"Telebelt 01, 2 y 3",Telebelt
Bomba 04,Pump
AUGERMAC/TELEBELT 5,Telebelt
Pump 15,Pump
  BTB 04,BTB
Augermac 377.06,Pump
Telebelt 05 y Trasmoya 02,Telebelt
TELEBELT 03,Telebelt
Bomba Telescopica #5,Pump
 TELEBELT 01,Telebelt
TEREX,BTB
Telebet 01,Telebelt
1T,Telebelt
Bomba telescopica,Pump
BTB,BTB
ROTEC TEREX,Rotec
"BTB 36,7,06 / Telebelt #3",BTB
BTB 03,BTB
 Bomba Telescopica 377-06,Pump
377-04 Amarilla,Pump
Bomba 1,Pump
Schwing 01,Pump
Telebelt 1 / Tramoya 4,Telebelt
PUMP AZUL,Pump
 BOMBA #06,Pump
Telescopic Pump SECEYCO,Pump
Pump 04,Pump
Baby Tower ,BTB
Pump entrena,Pump
PUMP AZUL 7,Pump
PUMP 71,Pump
PUMP 37704,Pump
Seceyco 71,Pump
Augermac Bomba Telescópica,Pump
TELEBELT 6,Telebelt
Pump Celeste,Pump
bomba ce,Pump
PUMP 01,Pump
Terex,BTB
TELEBELT 4,Telebelt
     BTB 04,BTB
TELEBELT #,Telebelt
TEREX A,BTB
"BTB 7715, Bomba alquilada ",BTB
BAB,BTB
Pump #4,Pump
Pump,Pump
BTB 2 (b),BTB
BOMBA  ,Pump
Telebelt 4,Telebelt
BTB 377.07,BTB
BTB 3,BTB
TELEBELT3,Telebelt
Pump 01,Pump
Bomba 01,Pump
PUMP 6 PUTZ,Pump
Rotec-Tramoya 6,Rotec
Telebelt 377 04 Putzmeister 58,Telebelt
PUMP 7,Pump
Telebelt 01 & 02,Telebelt
Rotec 365.01 / Tell 0546,Rotec
PUMP BLUE,Pump
Telebelt 03 /377.04/Putzmeister ,Telebelt
Telebelt #1,Telebelt
BTB 07,BTB
Bomba #07,Pump
Pump 66,Pump
BOMBA AZUL,Pump
Seyco Pump,Pump
TELEBELT 05,Telebelt
Bomba Telescópica 1,Pump
bomba celeste,Pump
PUMP 07,Pump
Seceyco / Bomba azul,Pump
Telebelt 1 - 3,Telebelt
Telebelt #4,Telebelt
BTB 3C,BTB
TELEBELT 3 & 2,Telebelt
Telebelt 7,Telebelt
Telebelt 1,Telebelt
Bomba Telescópica,Pump
"     Telebelt 07, Augermac 04",Telebelt
Bomba,Pump
ROTEC 365.01,Rotec
Telebelt 377.06 - Bomba telescopica 6,Pump
Pump #01 - #04,Pump
Telebelt 366.05,Telebelt
Terex 2,BTB
Telebelt 01/ BTB 06,BTB
BTB #7,BTB
BTB3 TELEBELT 4,BTB
Telescopica 04,Pump
Pump Roja Entrena,Pump
Pump Schwing H01,Pump
Rotec 165-01,Rotec
BOMBA 66,Pump
Pump 6 / Telebelt 5 / BTB 05,BTB
Rotec 365.01  y Tramoya,Rotec
PUMP 377-6 ,Pump
Bomba blanca,Pump
Entrena Pump 9,Pump
Bomba #04,Pump
Telebet 377-06,Telebelt
Telebelt 2,Telebelt
Yellow Pump,Pump
PUMP (TELESCOPIC) TELEBELT,Pump
BTB #1A,BTB
BOMBA ALQUILADA,Pump
Rotec,Rotec
Teleblet 2 - BTB 2,BTB
BTB Bomba/Telebelt 377-06,BTB
Pump ,Pump
"Rotec 40, Telebelt 56",Telebelt
BTB   ,BTB
BTB 2 / Telebelt 2,BTB
Telescopica 377.07,Pump
Telebelt ,Telebelt
Pump 7,Pump
TELEBELT  3,Telebelt
PUMP Putzmeister,Pump
   Bomba # 07,Pump
Teleblet 2,Telebelt
Pump 6,Pump
   Bomba 04,Pump
Baby Tower,BTB
BTB4 TELEBELT 3,BTB
  TELEBELT 377.06,Telebelt
Telebelt 2-1,Telebelt
PUMP 2,Pump
Pump #3,Pump
bomba 04,Pump
Bomba azul,Pump
BOMBA SESEYCO,Pump
Bomba telescopica 06,Pump
TELEBELT 2,Telebelt
Telebelt 01,Telebelt
  Bomba 07,Pump
*pump,Pump
Telebelt #5,Telebelt
Bomba Seceyco,Pump
Pump #1,Pump
Telebelt 02  y 03,Telebelt
BTB #2 ,BTB
Augermac / Telebelt,Telebelt
BTB #2 / Telebelt #4,BTB
Telebelt 07,Telebelt
Telebelt 5,Telebelt
Pump Roja,Pump
Bomba 0377.07,Pump
AUGERMAC 01 MIXER PUMP (TELESCOPIC),Pump
AUGERMAC/TELEBELT 2,Telebelt
Pump 6 / Telebelt 5,Pump
Telebelt / Rotec,Telebelt
Augermac / Telebelt 2,Telebelt
BTB #47,BTB
Bomba # 04,Pump
Pump Putz 06,Pump
BTB#01,BTB
ROTEC 3,Rotec
Telebelt Seceyco,Telebelt
PUMP TRAMOYA,Pump
PUMP 377-06,Pump
Telebelt Bomba 07,Pump
 BTB 07,BTB
GRUA,BTB
 Bomba telescopica#4,Pump
Putzmesiter/Telebet/ Augermac,Pump
BOMBA 06,Pump
Telebelt 2 / Tramolla 1,Telebelt
  Telebelt 02 y Trasmoya,Telebelt
BOMBA TELESCOPICA ,Pump
TELEBELT 04,Telebelt
    Telebelt,Telebelt
Rotec/Pump,Pump
BTB C,BTB
PUMP 377-04,Pump
BTB C/TELEBELT 2,BTB
Pump 5,Pump
Augermac Bom,Pump
 Telebelt 377.04,Telebelt
BTB1 A,BTB
Putzmeizter 58 /Bomba 07,Pump
PUMP putzmeister m58,Pump
377-04  bombleable,Pump
BTB / TELEBELT 02,BTB
PUMP 71 SECEYCO,Pump
ROTEC  ,Rotec
TELEBELT 01/TRAMOYA 05,Telebelt
    Telebelt 377.07,Telebelt
BOMBA PUTZMEISTER 04,Pump
PUMP C6,Pump
Telebelt 6,Telebelt
PUMP Putzmeister 7,Pump
Seceyco PL 071,Pump
Bomba #4,Pump
  BTB,BTB
 BOMBA 06,Pump
Pump 377-04,Pump
PUMP Secayco,Pump
BTB  ,BTB
Telescopic Pump - Augermac,Pump
Telebelt 1-3,Telebelt
Bomba Azul,Pump
Augermac / Telebelt ,Telebelt
BTB 2B,BTB
BTB M58,BTB
BTB/AUGERMAC,BTB
Rotec # 1A,Rotec
BTB 06,BTB
BTB #2 (B),BTB
BTB C ,BTB
BOMBA TELESCOPICA,Pump
BTB 377-07,BTB
BTB / No info,BTB
BTB 2(B),BTB
BOMBA TELESCOPICA 4,Pump
GRUA D,BTB
