id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
1,1/3/2013 0:00,LH4,Lock Head 4,H4W,1A,W09,A,AH4W1AW09,Yes,4,0,0,3,1
2,1/4/2013 0:00,LH4,Lock Head 4,H4W,1A,W08a,A,AH4W1AW08a,Yes,5,0,0,1,4
3,1/5/2013 0:00,LH4,Lock Head 4,H4W,2A,W12,A,AH4W2AW12,Yes,0,0,0,0,0
4,1/8/2013 0:00,LH4,Lock Head 4,H4C,5A,F04,A,AH4C5AF04,Yes,2,0,0,1,1
5,1/8/2013 0:00,LH4,Lock Head 4,H4E,6D,F01,A,AH4E6DF01,Yes,8,0,0,5,2
6,1/10/2013 0:00,LH4,Lock Head 4,H4W,2A,W11,A,AH4W2AW11,Yes,6,0,0,4,2
7,1/11/2013 0:00,LH4,Lock Head 4,H4W,3A,F03,A,AH4W3AF03,Yes,15,0,0,7,5
8,1/11/2013 0:00,LH4,Lock Head 4,H4E,6D,F02 S,A,AH4E6DF02S,Yes,5,0,0,2,2
9,1/11/2013 0:00,LH4,Lock Head 4,H4E,6D,F02 N,A,AH4E6DF02N,Yes,5,0,0,3,1
10,1/12/2013 0:00,LH4,Lock Head 4,H4C,5A,F03,A,AH4C5AF03,Yes,0,0,0,0,0
11,1/15/2013 0:00,LH4,Lock Head 4,H4C,5C,F04,A,AH4C5CF04,Yes,3,0,0,2,1
12,1/15/2013 0:00,LH4,Lock Head 4,H4E,6B,F02,A,AH4E6BF02,Yes,5,0,0,3,2
13,1/16/2013 0:00,LH4,Lock Head 4,H4W,1A,W07,A,AH4W1AW07,Yes,6,0,0,1,5
14,1/17/2013 0:00,LH4,Lock Head 4,H4W,1A,W08,A,AH4W1AW08,Yes,0,0,0,0,0
15,1/18/2013 0:00,LH4,Lock Head 4,H4W,1C,W13,A,AH4W1CW13,Yes,9,0,1,3,6
16,1/19/2013 0:00,LH4,Lock Head 4,H4W,2A,W10,A,AH4W2AW10,Yes,9,0,0,4,5
17,1/21/2013 0:00,LH4,Lock Head 4,H4C,5C,F03,A,AH4C5CF03,Yes,3,0,0,2,1
18,1/24/2013 0:00,LH4,Lock Head 4,H4W,1B,F02,A,AH4W1BF02,Yes,2,0,0,0,1
19,1/24/2013 0:00,LH4,Lock Head 4,H4C,5B,F04,A,AH4C5BF04,Yes,2,0,0,0,2
