id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
1,10/15/2011 0:00,LUC,Conduit 2,CC2,G,5,P,PCC2G05,Yes,0,0,0,0,0
2,11/17/2011 0:00,LUC,Conduit 2,CC2,G,4,P,PCC2G04,Yes,1,0,0,0,1
3,11/29/2011 0:00,LUC,Conduit 2,CC2,G,3,P,PCC2G03,Yes,1,0,0,0,1
4,12/9/2011 0:00,LUC,Conduit 2,CC2,G,2,P,PCC2G02,Yes,2,0,0,0,2
5,10/25/2011 0:00,LUC,Conduit 2,CC2,H,5,P,PCC2H05,Yes,0,0,0,0,0
6,11/18/2011 0:00,LUC,Conduit 2,CC2,H,4,P,PCC2H04,Yes,2,0,0,0,2
7,12/5/2011 0:00,LUC,Conduit 2,CC2,H,3,P,PCC2H03,Yes,0,0,0,0,0
8,12/15/2011 0:00,LUC,Conduit 2,CC2,H,2,P,PCC2H02,Yes,0,0,0,0,0
9,12/3/2011 0:00,LUC,Crossunder 1,CU1,C,04a,P,PCU1C04a,Yes,0,0,0,0,0
10,12/9/2011 0:00,LUC,Crossunder 1,CU1,C,04b,P,PCU1C04b,Yes,0,0,0,0,0
11,12/22/2011 0:00,LUC,Crossunder 1,CU1,1E,4,P,PCU11E4,Yes,0,1,0,0,0
12,8/16/2011 0:00,LUC,Crossunder 1,CU1,2E,16,P,PCU12E16,Yes,1,0,0,0,1
13,8/20/2011 0:00,LUC,Crossunder 1,CU1,2E,15,P,PCU12E15,Yes,1,0,0,1,0
14,9/10/2011 0:00,LUC,Crossunder 1,CU1,2E,14,P,PCU12E14,Yes,1,1,0,0,1
15,11/9/2011 0:00,LUC,Crossunder 1,CU1,2E,13a,P,PCU12E13a,Yes,1,0,0,0,1
16,10/4/2011 0:00,LUC,Crossunder 1,CU1,2E,13b,P,PCU12E13b,Yes,4,0,0,2,2
17,9/27/2011 0:00,LUC,Crossunder 2,CU2,C,04a,P,PCU2C04a,Yes,0,1,0,0,0
18,10/12/2011 0:00,LUC,Crossunder 2,CU2,C,04b,P,PCU2C04b,Yes,0,0,0,0,0
19,9/30/2011 0:00,LUC,Crossunder 2,CU2,C,04c,P,PCU2C04c,Yes,0,2,0,0,0
20,10/12/2011 0:00,LUC,Crossunder 2,CU2,C,04d,P,PCU2C04d,Yes,0,0,0,0,0
21,11/22/2011 0:00,LUC,Crossunder 2,CU2,C,03a-N,P,PCU2C03a-N,Yes,2,0,0,0,2
22,12/14/2011 0:00,LUC,Crossunder 2,CU2,C,03a-S,P,PCU2C03a-S,No,0,0,0,0,0
23,11/1/2011 0:00,LUC,Crossunder 2,CU2,C,03b-N,P,PCU2C03b-N,Yes,1,1,0,0,0
